,density,energysStab,atomMean,transition,metalloid,other,BulkModulus wstd,BoilingT wmean,BCCfermi wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wstd,BCCenergy_p wstd,AtomicVolum wmean,HeatFusion wstd,IsNonm wmean,MeltingT wstd,BCCenergydiff wmean,GSmagmom wmean,GSmagmom wstd,phi wmean,SpaceGroupNumber wstd,BCCvolume_p wstd,Crystal System,NNdiststd,oct,q6,tet,bent,sq_pyr,numberDensity,ShannonRadii,deltaShannon,angle anisotropy,oxidation flexibility Std,deltaShannonstd,chargedensityvoldens,deltacrystal1,deltacrystal4,Unit Cell Mass,total_magnetization,BCCvolume_padiff wmean,VegardVolume,bcc,volumeshannonflex,AtomicWeigh wstd,BCCvolume_padiff wstd,deltacrystal3,NdValenc wmean,HeatCapacityMass wstd,meanValenceOcc,GSenergy_p wstd,NsUnfilled wstd,MeltingT wmean
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,0.28384010833333306,19.0,1.0,0.0,2.0,28.33333333333333,866.1999999999997,0.2075408216666668,0.0,0.0,0.0,0.8623030516666668,6200.399410993186,4.926666666666667,0.3333333333333333,440.06666666666666,0.7656800983333333,0.0,0.0,0.6749999999999999,34.166666666666664,0.5866666666666664,5.0,0.03161263812211272,1.3320666144990698,0.18956763221430475,-0.5469308909666422,4.021033880885732,1.2027895713639574,0.07361685668259631,0.5299954710811147,0.3881091267806104,14.141948069938623,0.15713484026367722,0.10841917341471533,1.3575841205330577,0.3788822122105165,0.385407819840329,249.81036,1.1342821,-0.5916666666666666,1.064192912351852,-0.017542665230083968,0.0,10.151263333333333,0.5916666666666666,0.36583099695089183,0.6666666666666666,0.2618333333333333,29890.33333333333,0.09662295333333336,0.16666666666666666,476.6
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",3.5314848916100865,0.17869182333333278,12.666666666666664,1.0,0.0,2.0,18.33333333333333,623.3666666666667,0.5284860083333333,0.0,0.0,0.0,0.456960815,6200.338441689601,2.285,0.3333333333333333,305.23333333333335,0.7846732666666666,3.75555555555e-06,3.75555555555e-06,0.6333333333333333,28.33333333333333,0.3633333333333333,7.0,0.013643331907155836,0.3269477248792041,0.3834063009223736,-0.7755728321425227,4.693943387778452,0.6079232401825184,0.07988563683524816,0.4422091657429311,0.3837370851316121,1.03107376672013e-08,0.03928371006591929,0.18344694365265685,0.9821253529274228,0.3557097972035864,0.4384377837194168,319.4632,0.0,-0.5666666666666668,1.2071668820637784,-0.02716920625733495,146.16493456779654,2.6447000000000003,0.6166666666666665,0.3143458039456712,0.3333333333333333,0.21866666666666665,30077.0,0.2897261150000001,0.0,341.76666666666665
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",3.059342109633916,0.039459981388889176,10.888888888888893,1.0,1.0,3.0,9.087291960285404,386.91111111111104,0.8487108396313587,0.0,0.0,0.0,0.3302515703312939,4133.73526190846,4.889440457101314,0.2222222222222222,138.21277844758157,0.5534080003703704,8.345679012333334e-07,1.1802572446454296e-06,0.4888888888888889,17.700759091857716,1.232672273065569,1.0,0.018472750800438847,-0.3916105924085105,0.30411325690917346,-0.5191051320667396,2.9215995868083082,0.539086187170116,0.08289279941408745,0.5431206852362924,0.22730555946128675,12.36671711455983,0.09072184232530288,0.13731348738464993,0.8760648417394064,0.2355423114697407,0.3877575437859291,400.0688,0.0,-0.8207407407407407,0.9101470183181248,-0.0209114961082608,172.19673771306628,2.3340557510476536,0.5939061829816333,0.032032528921073763,0.07407407407407407,0.2409665949106344,30455.444444444438,1.0167518065228969,0.0,209.0296296296296
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",3.5476434031701705,0.020420569166667242,18.666666666666668,1.0,0.0,2.0,24.1,729.9066666666665,1.2590215649999998,0.0,0.0,0.0,0.5832048799999998,11.071004843872666,2.926333333333333,0.3333333333333333,233.88,0.36496068291666667,0.0,0.0,0.775,14.833333333333332,3.345,2.0,0.02405603473536813,1.0930828648115485,0.3287138806768479,-0.7550347111485899,5.94676666788754,1.8977596296683628,0.0551927856550113,0.1920257558989028,2.4271947811038186,0.30823689814437605,0.0,1.342423011552904,0.9999653812108088,2.9772499754314983,4.2953699550469135,464.5044,8.0154018,-3.3922916666666665,1.184652491908012,0.05306155021116902,0.0,2.0223166666666668,3.385625,0.3410100162006655,0.8333333333333333,0.16116666666666665,3819.666666666666,0.21854718375,0.16666666666666666,492.78666666666663
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",3.5373010650254666,0.012788893333333108,19.0,1.0,0.0,2.0,17.433333333333334,628.24,1.3260382299999998,0.0,0.0,0.0,0.4774720766666667,11.090966009156816,1.5779999999999996,0.3333333333333333,123.71333333333334,0.3898349379733333,5.1686781609166664e-05,5.1686781609166664e-05,0.7416666666666667,12.833333333333332,3.455,2.0,0.024906862151287158,0.8089570558578275,0.3548992847486591,-0.7689038062187943,5.4791577348902765,1.5031657986353222,0.05367215057389359,0.2238086118922055,2.5197434217075183,0.12979572153121124,0.07856742013183861,1.1672779591469422,0.9897795507370932,3.0349960610923215,4.255554297177788,476.27218,11.9422587,-3.38522270115,1.19002431889168,0.021178631530187408,0.0,1.5319924999999994,3.392693965516666,0.5938795889213876,0.8333333333333333,0.15616666666666665,3849.666666666666,0.13768863547333332,0.0,382.62
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",4.593394641387274,0.15721317062499995,18.5,1.0,0.0,2.0,35.0,822.525,0.32630154999999994,0.0,0.0,0.0,0.2957839175,4651.0067771053245,3.345,0.25,325.7425,0.58370195875,0.0,0.0,1.1125,53.25,0.9375,3.0,0.020078806032461486,0.7099211106107103,0.2456589491488104,-0.1861030341919848,3.0978068979899485,0.5746795889808769,0.06955039897140318,0.6568464840590913,0.29211650784357274,0.0,0.03125,0.07173955448998033,1.2488412424824966,0.25791787844305564,0.2727125117296106,636.3632,0.0,-0.44125,0.8739676593214502,0.17330389836500948,95.79830222990576,11.88665,0.4462499999999999,0.2431232451565007,2.5,0.13325,22809.0,0.26903427125,0.25,353.1425
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",5.73257235072325,0.05187435893091852,23.315789473684212,1.0,0.0,3.0,12.20504414138166,433.4070175438597,0.6772215203448657,0.07017543859649122,0.09924305700863824,0.0,0.5511520562044847,3919.6535004125,1.9285630326446028,0.21052631578947367,163.5240896371509,0.4835874305263158,0.0,0.0,0.3759649122807017,17.038998954754266,4.599499778762397,1.0,0.018662229007534045,0.21777828881877528,0.3653775766298393,-0.9318759594567276,4.786576816552016,1.1790344285273124,0.06430510097533677,0.38097575214420776,0.35924358634706044,14.142802764979795,0.05077646199397051,0.3406692877526349,1.455229293599596,0.333831211728812,0.8465540831670619,2040.03988,1.9946475,-0.3736842105263158,0.9513891287840476,-0.04121839268675494,251.89030415054137,8.009188731817341,0.5284692785709987,0.18901333140580587,0.21052631578947367,0.25333071024544696,309.7368421052632,1.0624629875075269,0.07443229275647867,226.44912280701752
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",5.341143320887457,0.05537752045454525,22.454545454545453,1.0,0.0,3.0,17.602103555733812,437.169696969697,0.5743217166915853,0.060606060606060615,0.08570991287109668,0.0,0.4109130125100231,3385.4124663054995,1.4941054674426624,0.1818181818181818,139.23864516980765,0.4210771027272727,0.0,0.0,0.5451515151515152,22.670514986881784,3.816535383356882,3.0,0.012216087428575705,0.6359344213971132,0.22975352329888798,-0.4704789236813092,2.6911934794249044,0.1803777135571893,0.06303645630670858,0.4850836585698477,0.4106854127193083,10.91516449448442,0.06714081326145421,0.3797996345118449,1.373826652048727,0.3706172553593521,1.008998381057879,1122.5768,1.8966477,-0.3218181818181818,1.3025380363891197,0.06420209241541704,0.0,6.63451328461326,0.4570494665526183,0.21158732089259244,0.9090909090909092,0.2044424387053765,8847.727272727272,0.9426890299955988,0.128564869306645,194.00333333333333
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",4.0871712706275565,0.04259218499999928,23.857142857142854,1.0,0.0,3.0,7.975654566218196,218.2095238095238,0.6643633375024106,0.09523809523809523,0.13468700594029476,0.0,0.5182324973123865,3553.138733430431,0.7250362411772313,0.19047619047619047,77.89240431736677,0.44487453954,1.4767651888333332e-05,2.0884613584885644e-05,0.3976190476190475,24.034272581116362,14.597241857325988,3.0,0.027393031191463663,-0.6878076280888459,0.2985706023766426,-0.9046507559375792,2.6301804449045716,0.2989014752390466,0.044781339980242016,0.4641123600999482,0.6284739032730291,15.448258019832089,0.22168939777959626,0.5333996367208244,1.036934667871735,0.5635087136548711,1.2143218155267348,769.4930975999997,2.0000001,-0.12131362889999996,0.9895390552524186,-0.21237569242672588,133.1427660876818,13.905907300015704,0.6839660446491863,0.24620764381568425,0.23809523809523805,0.21485964410904776,25943.285714285717,1.0140705657493194,0.13468700594029476,111.49428571428572
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",4.157517139858353,0.13752982229166744,14.0,1.0,0.0,2.0,28.33333333333333,552.3666666666667,0.05073773833333338,0.0,0.0,0.0,0.5609968566666665,6199.361949658057,2.228333333333333,0.3333333333333333,283.56666666666666,0.7656800983333333,0.3517771333333333,0.3517771333333333,0.8216666666666665,34.166666666666664,0.655,4.0,0.00126042721457038,0.6542771566851839,0.252454097821356,-0.9239734964948468,3.059840877680552,1.2815396496532518,0.08550571229492249,0.4719892109841548,0.5975613182208295,38.04202971877796,0.31426968052735443,0.3820918361781134,1.161874027229824,0.5258390384216524,0.7672594699340908,175.6876,7.9999999000000015,-0.5916666666666666,2.0627200199624682,-0.172799266855982,68.74951566656445,3.9743666666666666,0.5916666666666666,0.4051288226654333,1.0,0.23116666666666666,29860.0,0.20468324166666685,0.0,320.1
