,density,nelements,energysStab,atomMean,transition,metalloid,other,BulkModulus wstd,BoilingT wstd,BCCfermi wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,AtomicVolum wmean,NsUnfilled wstd,HeatFusion wmean,HeatFusion wstd,BCCvolume_padiff wmean,MeltingT wstd,NpUnfilled wmean,BCCenergydiff wmean,GSmagmom wmean,GSmagmom wstd,BCCvolume_p wstd,meanValenceOcc,VegardVolume,strainlatticemean,NNdiststd,oct,q6,numberDensity,avgIonicRadVol,deltaShannon,oxidation flexibility Std,deltashannonmax,chargedensityvoldens,deltacrystal1,deltacrystal3,deltacrystal4,Unit Cell Mass,total_magnetization,BoilingT wmean,HeatCapacityMass wstd,volumeshannonflex,n_ws^third wmean,SpaceGroup,Number wstd,AtomicVolum wstd,rare,NdValenc wmean
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,2.0,0.28384010833333306,19.0,1.0,0.0,2.0,28.33333333333333,806.1333333333333,0.2075408216666668,0.0,0.0,0.0,0.0,0.3501666666666667,6200.399410993186,0.16666666666666666,5.073333333333333,4.926666666666667,-0.5916666666666666,440.06666666666666,0.6666666666666666,0.7656800983333333,0.0,0.0,0.5866666666666664,29890.33333333333,1.064192912351852,-0.0642006506002805,0.03161263812211272,1.3320666144990698,0.18956763221430475,0.07361685668259631,0.5320943099266652,0.3881091267806104,0.15713484026367722,0.5414369922449813,1.3575841205330577,0.3788822122105165,0.36583099695089183,0.385407819840329,249.81036,1.1342821,866.1999999999997,0.2618333333333333,0.0,0.2733333333333333,164.0,4.166666666666667,6194.398699999749,0.0,0.6666666666666666
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",3.5314848916100865,2.0,0.17869182333333278,12.666666666666664,1.0,0.0,2.0,18.33333333333333,563.3,0.5284860083333333,0.0,0.0,0.0,0.0,0.3933333333333333,6200.338441689601,0.0,2.4316666666666658,2.285,-0.5666666666666668,305.23333333333335,0.6666666666666666,0.7846732666666666,3.75555555555e-06,3.75555555555e-06,0.3633333333333333,30077.0,1.2071668820637784,-0.14551096106935782,0.013643331907155836,0.3269477248792041,0.3834063009223736,0.07988563683524816,0.4848464661288364,0.3837370851316121,0.03928371006591929,0.6431702408210924,0.9821253529274228,0.3557097972035864,0.3143458039456712,0.4384377837194168,319.4632,0.0,623.3666666666667,0.21866666666666665,146.16493456779654,0.2533333333333333,227.0,1.0,6194.459669303333,0.0,0.3333333333333333
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",3.059342109633916,3.0,0.039459981388889176,10.888888888888893,1.0,1.0,3.0,9.087291960285404,263.4092236324503,0.8487108396313587,0.0,0.0,0.0,0.0,0.2761481481481481,4133.73526190846,0.0,4.292222222222224,4.889440457101314,-0.8207407407407407,138.21277844758157,0.7407407407407408,0.5534080003703704,8.345679012333334e-07,1.1802572446454296e-06,1.232672273065569,30455.444444444438,0.9101470183181248,-0.031783450082168464,0.018472750800438847,-0.3916105924085105,0.30411325690917346,0.08289279941408745,0.5009696700224413,0.22730555946128675,0.09072184232530288,0.5688244081093929,0.8760648417394064,0.2355423114697407,0.032032528921073763,0.3877575437859291,400.0688,0.0,386.91111111111104,0.2409665949106344,172.19673771306628,0.16740740740740742,15.0,1.235061629669116,5841.453648738601,0.0,0.07407407407407407
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",3.5476434031701705,2.0,0.020420569166667242,18.666666666666668,1.0,0.0,2.0,24.1,251.42666666666665,1.2590215649999998,0.0,0.0,0.0,0.0,0.3108333333333333,11.071004843872666,0.16666666666666666,4.073666666666667,2.926333333333333,-3.3922916666666665,233.88,0.6666666666666666,0.36496068291666667,0.0,0.0,3.345,3819.666666666666,1.184652491908012,-0.18480324285621386,0.02405603473536813,1.0930828648115485,0.3287138806768479,0.0551927856550113,0.8309586894376785,2.4271947811038186,0.0,3.3764311957937445,0.9999653812108088,2.9772499754314983,0.3410100162006655,4.2953699550469135,464.5044,8.0154018,729.9066666666665,0.16116666666666665,0.0,0.2883333333333333,1.0,1.333333333333333,7.040025685908133,0.0,0.8333333333333333
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",3.5373010650254666,2.0,0.012788893333333108,19.0,1.0,0.0,2.0,17.433333333333334,149.76,1.3260382299999998,0.0,0.0,0.0,0.0,0.3158333333333333,11.090966009156816,0.0,2.725333333333333,1.5779999999999996,-3.38522270115,123.71333333333334,0.6666666666666666,0.3898349379733333,5.1686781609166664e-05,5.1686781609166664e-05,3.455,3849.666666666666,1.19002431889168,-0.19050338152936952,0.024906862151287158,0.8089570558578275,0.3548992847486591,0.05367215057389359,0.8472245443292828,2.5197434217075183,0.07856742013183861,3.345133582149915,0.9897795507370932,3.0349960610923215,0.5938795889213876,4.255554297177788,476.27218,11.9422587,628.24,0.15616666666666665,0.0,0.2683333333333333,12.0,1.166666666666667,7.020064520623982,0.0,0.8333333333333333
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",4.593394641387274,2.0,0.15721317062499995,18.5,1.0,0.0,2.0,35.0,777.475,0.32630154999999994,0.0,0.0,0.0,0.0,0.32575,4651.0067771053245,0.25,3.455,3.345,-0.44125,325.7425,0.5,0.58370195875,0.0,0.0,0.9375,22809.0,0.8739676593214502,1.9539925233402755e-14,0.020078806032461486,0.7099211106107103,0.2456589491488104,0.06955039897140318,0.6282976202831245,0.29211650784357274,0.03125,0.3638560623335531,1.2488412424824966,0.25791787844305564,0.2431232451565007,0.2727125117296106,636.3632,0.0,822.525,0.13325,95.79830222990576,0.3675,62.0,5.25,4645.091806139375,0.0,2.5
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",5.73257235072325,3.0,0.05187435893091852,23.315789473684212,1.0,0.0,3.0,12.20504414138166,300.4279484244457,0.6772215203448657,0.07017543859649122,0.09924305700863824,0.0,0.0,0.22152631578947368,3919.6535004125,0.07443229275647867,2.124912280701754,1.9285630326446028,-0.3736842105263158,163.5240896371509,0.42105263157894735,0.4835874305263158,0.0,0.0,4.599499778762397,309.7368421052632,0.9513891287840476,-0.2357151935750749,0.018662229007534045,0.21777828881877528,0.3653775766298393,0.06430510097533677,0.4486555884564775,0.35924358634706044,0.05077646199397051,1.0138577695536548,1.455229293599596,0.333831211728812,0.18901333140580587,0.8465540831670619,2040.03988,1.9946475,433.4070175438597,0.25333071024544696,251.89030415054137,0.1431578947368421,186.0,2.899464507293561,5531.547373550645,0.0,0.21052631578947367
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",5.341143320887457,3.0,0.05537752045454525,22.454545454545453,1.0,0.0,3.0,17.602103555733812,337.9016781483934,0.5743217166915853,0.060606060606060615,0.08570991287109668,0.0,0.0,0.21427272727272725,3385.4124663054995,0.128564869306645,1.7078787878787878,1.4941054674426624,-0.3218181818181818,139.23864516980765,0.3636363636363636,0.4210771027272727,0.0,0.0,3.816535383356882,8847.727272727272,1.3025380363891197,-0.3353879851158084,0.012216087428575705,0.6359344213971132,0.22975352329888798,0.06303645630670858,0.51338012873539,0.4106854127193083,0.06714081326145421,1.2084057810878357,1.373826652048727,0.3706172553593521,0.21158732089259244,1.008998381057879,1122.5768,1.8966477,437.169696969697,0.2044424387053765,0.0,0.1827272727272727,69.0,2.394131177588325,4777.063370531598,0.0,0.9090909090909092
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",4.0871712706275565,3.0,0.04259218499999928,23.857142857142854,1.0,0.0,3.0,7.975654566218196,120.72696204692372,0.6643633375024106,0.09523809523809523,0.13468700594029476,0.0,0.0,0.22071428571428567,3553.138733430431,0.13468700594029476,0.8557142857142858,0.7250362411772313,-0.12131362889999996,77.89240431736677,0.3809523809523809,0.44487453954,1.4767651888333332e-05,2.0884613584885644e-05,14.597241857325988,25943.285714285717,0.9895390552524186,-0.760879602818712,0.027393031191463663,-0.6878076280888459,0.2985706023766426,0.044781339980242016,0.4496770756660391,0.6284739032730291,0.22168939777959626,1.4131991099822745,1.036934667871735,0.5635087136548711,0.24620764381568425,1.2143218155267348,769.4930975999997,2.0000001,218.2095238095238,0.21485964410904776,133.1427660876818,0.12904761904761905,36.0,5.503657823039744,4999.950486952861,0.0,0.23809523809523805
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",4.157517139858353,2.0,0.13752982229166744,14.0,1.0,0.0,2.0,28.33333333333333,492.29999999999984,0.05073773833333338,0.0,0.0,0.0,0.0,0.38083333333333336,6199.361949658057,0.0,2.375,2.228333333333333,-0.5916666666666666,283.56666666666666,0.6666666666666666,0.7656800983333333,0.3517771333333333,0.3517771333333333,0.655,29860.0,2.0627200199624682,-0.19522286551773296,0.00126042721457038,0.6542771566851839,0.252454097821356,0.08550571229492249,0.448387931456536,0.5975613182208295,0.31426968052735443,1.1379207750159563,1.161874027229824,0.5258390384216524,0.4051288226654333,0.7672594699340908,175.6876,7.9999999000000015,552.3666666666667,0.23116666666666666,68.74951566656445,0.295,141.0,1.6666666666666663,6195.4361613348765,0.0,1.0
