,ShannonRadii,AtomicVolum wmean,Electronegativity wmean,metalloid,HeatFusion wmean,lin,q6,Crystal System,strainlatticemean,total_magnetization
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",0.5299954710811147,6200.399410993186,1.413333333333333,0.0,5.073333333333333,4.021033880885732,0.18956763221430475,5.0,-0.0642006506002802,1.1342821
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",0.4422091657429311,6200.338441689601,1.403333333333333,0.0,2.4316666666666658,4.693943387778452,0.3834063009223736,7.0,-0.14551096106935782,0.0
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",0.5431206852362924,4133.73526190846,0.9622222222222221,1.0,4.292222222222224,2.9215995868083082,0.30411325690917346,1.0,-0.031783450082168464,0.0
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",0.1920257558989028,11.071004843872666,1.1366666666666667,0.0,4.073666666666667,5.94676666788754,0.3287138806768479,2.0,-0.18480324285621416,8.0154018
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",0.2238086118922055,11.090966009156816,1.1183333333333332,0.0,2.725333333333333,5.4791577348902765,0.3548992847486591,2.0,-0.1905033815293701,11.9422587
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",0.6568464840590913,4651.0067771053245,1.335,0.0,3.455,3.0978068979899485,0.2456589491488104,3.0,1.9539925233402755e-14,0.0
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",0.38097575214420776,3919.6535004125,0.8708771929824559,0.0,2.124912280701754,4.786576816552016,0.3653775766298393,1.0,-0.2357151935750749,1.9946475
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",0.4850836585698477,3385.4124663054995,0.8521212121212121,0.0,1.7078787878787878,2.6911934794249044,0.22975352329888798,3.0,-0.3353879851158072,1.8966477
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",0.4641123600999482,3553.138733430431,0.8042857142857142,0.0,0.8557142857142858,2.6301804449045716,0.2985706023766426,3.0,-0.7608796028187115,2.0000001
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",0.4719892109841548,6199.361949658057,1.4516666666666664,0.0,2.375,3.059840877680552,0.252454097821356,4.0,-0.19522286551773296,7.9999999000000015
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",0.4417487713241296,6199.41454507545,1.4233333333333331,0.0,3.5733333333333333,5.2570699808897565,0.3769424311641055,2.0,-0.24030077224806445,-0.0024283
"mp-300018878, FeAs2O7, LiFeAs2O7, mp-25524, mp-18878",0.5531423742040128,4340.020182062323,1.009,1.0,2.1410000000000005,2.48758711713391,0.28385516320363,1.0,-0.016352230481919992,3.9999998
"mp-300018915, CoPO4, LiCoPO4, mp-510669, mp-18915",0.5160462799837287,4133.777702692075,0.9905555555555554,0.0,1.9788888888888885,2.7981204487997133,0.2782022692905988,3.0,-4.322468309207277e-14,15.899219699999998
"mp-300018932, Pr(WO4)2, LiPr(WO4)2, mp-25655, mp-18932",0.5607748186788127,4509.228302318072,1.0112121212121212,0.0,3.432424242424243,1.93025511636008,0.2756105619014749,2.0,-0.2299956009087793,-1.9999999
"mp-300018939, Co(CO)4, LiCo(CO)4, mp-543072, mp-18939",0.8330517562050536,2756.114255018588,0.9570370370370368,0.0,18.025185185185183,4.334239806121239,0.3066965672929171,7.0,1.5099033134902132e-14,1.0
"mp-300018951, FePO4, LiFePO4, mp-25527, mp-18951",0.5011279328257856,4133.821119596877,0.9877777777777776,0.0,1.8461111111111108,4.908316303884337,0.2817504162619435,3.0,4.026408835973901e-14,59.8792741
"mp-300018987, MoP2O7, LiMoP2O7, mp-25577, mp-18987",0.5927390551505866,4340.576976324896,1.0206666666666668,0.0,2.536666666666666,2.706559043354024,0.26881912598341035,1.0,-0.03825083569310432,3.9999998
"mp-300018997, MnPO4, LiMnPO4, mp-540007, mp-18997",0.5286687275664768,4133.845305124435,0.972222222222222,0.0,1.7961111111111108,2.5519039993405057,0.2302317657128684,3.0,-3.4046839421838127e-15,15.999924300000002
"mp-300019043, V(SiO3)2, LiV(SiO3)2, mp-25633, mp-19043",0.5343353958389396,4133.594838984837,0.9655555555555554,1.0,4.564444444444447,2.959905414327058,0.29475316727183576,1.0,-0.03179641551139885,1.9999999
"mp-300019107, MnVO4, LiMnVO4, mp-25559, mp-19107",0.5346006662105892,4133.047014924678,0.9411111111111108,0.0,1.960555555555556,5.161016597680164,0.2842619150430212,3.0,-0.0351088468124748,8.0000011
"mp-300019131, MnBO3, Li2Mn3(BO3)3, mp-510766, mp-849566",0.5882503293922842,3719.7401314132726,0.9273333333333332,1.0,4.251333333333334,2.7510643756277395,0.2776329347989258,1.0,-0.05285000707812992,11.9999773
"mp-300019206, La4CoO8, LiLa4CoO8, mp-25479, mp-19206",0.4569485735874593,3817.915276335221,0.8666666666666667,0.0,1.0964102564102565,4.500797663317795,0.24390357240231514,3.0,-0.1734823055909477,0.9999997
