,ShannonRadii,AtomicVolum wmean,density,HeatFusion wmean,metalloid,VegardVolume,BulkModulus wstd,NfValenc wstd,energysStab,SpaceGroupNumber wstd,q6,HeatCapacityMass wstd,n_ws^third wmean
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",0.5299954710811147,6200.399410993186,5.089621942317269,5.073333333333333,0.0,1.064192912351852,28.33333333333333,0.0,0.28384010833333306,34.166666666666664,0.18956763221430475,0.2618333333333333,0.2733333333333333
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",0.4422091657429311,6200.338441689601,3.5314848916100865,2.4316666666666658,0.0,1.2071668820637784,18.33333333333333,0.0,0.17869182333333278,28.33333333333333,0.3834063009223736,0.21866666666666665,0.2533333333333333
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",0.5431206852362924,4133.73526190846,3.059342109633916,4.292222222222224,1.0,0.9101470183181248,9.087291960285404,0.0,0.039459981388889176,17.700759091857716,0.30411325690917346,0.2409665949106344,0.16740740740740742
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",0.1920257558989028,11.071004843872666,3.5476434031701705,4.073666666666667,0.0,1.184652491908012,24.1,0.0,0.020420569166667242,14.833333333333332,0.3287138806768479,0.16116666666666665,0.2883333333333333
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",0.2238086118922055,11.090966009156816,3.5373010650254666,2.725333333333333,0.0,1.19002431889168,17.433333333333334,0.0,0.012788893333333108,12.833333333333332,0.3548992847486591,0.15616666666666665,0.2683333333333333
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",0.6568464840590913,4651.0067771053245,4.593394641387274,3.455,0.0,0.8739676593214502,35.0,0.0,0.15721317062499995,53.25,0.2456589491488104,0.13325,0.3675
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",0.38097575214420776,3919.6535004125,5.73257235072325,2.124912280701754,0.0,0.9513891287840476,12.20504414138166,0.0,0.05187435893091852,17.038998954754266,0.3653775766298393,0.25333071024544696,0.1431578947368421
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",0.4850836585698477,3385.4124663054995,5.341143320887457,1.7078787878787878,0.0,1.3025380363891197,17.602103555733812,0.0,0.05537752045454525,22.670514986881784,0.22975352329888798,0.2044424387053765,0.1827272727272727
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",0.4641123600999482,3553.138733430431,4.0871712706275565,0.8557142857142858,0.0,0.9895390552524186,7.975654566218196,0.0,0.04259218499999928,24.034272581116362,0.2985706023766426,0.21485964410904776,0.12904761904761905
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",0.4719892109841548,6199.361949658057,4.157517139858353,2.375,0.0,2.0627200199624682,28.33333333333333,0.0,0.13752982229166744,34.166666666666664,0.252454097821356,0.23116666666666666,0.295
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",0.4417487713241296,6199.41454507545,3.989574461114087,3.5733333333333333,0.0,1.0867546360024338,26.666666666666664,0.0,0.19124211833333504,34.166666666666664,0.3769424311641055,0.23116666666666666,0.2883333333333333
"mp-300018878, FeAs2O7, LiFeAs2O7, mp-25524, mp-18878",0.5531423742040128,4340.020182062323,3.997930651108777,2.1410000000000005,1.0,0.9135606522637983,7.204319691839211,0.0,0.08697577989583394,10.172839655999043,0.28385516320363,0.2769637641762305,0.155
"mp-300018915, CoPO4, LiCoPO4, mp-510669, mp-18915",0.5160462799837287,4133.777702692075,3.606221140423988,1.9788888888888885,0.0,0.846122616628518,13.730429394524586,0.0,0.036101164583333116,13.641802132859821,0.2782022692905988,0.2429087747272753,0.18888888888888888
"mp-300018932, Pr(WO4)2, LiPr(WO4)2, mp-25655, mp-18932",0.5607748186788127,4509.228302318072,6.24696188168362,3.432424242424243,0.0,1.1394883430880556,25.970987556772126,1.141101235379559,0.08945500903409176,13.897962141940319,0.2756105619014749,0.3049458275815761,0.14606060606060606
"mp-300018939, Co(CO)4, LiCo(CO)4, mp-543072, mp-18939",0.8330517562050536,2756.114255018588,1.48156222979313,18.025185185185183,0.0,0.8581908361414416,8.456132262417977,0.0,0.5179632777083318,34.94114196646181,0.3066965672929171,0.15315664359078426,0.32703703703703696
"mp-300018951, FePO4, LiFePO4, mp-25527, mp-18951",0.5011279328257856,4133.821119596877,3.714562779454384,1.8461111111111108,0.0,0.8183832798870211,12.945994184770004,0.0,0.022519999583334286,16.330498620225445,0.2817504162619435,0.24163497876541584,0.19
"mp-300018987, MoP2O7, LiMoP2O7, mp-25577, mp-18987",0.5927390551505866,4340.576976324896,3.1172555035542566,2.536666666666666,0.0,0.8792798649975018,10.362753816754823,0.0,0.0,9.312476696465996,0.26881912598341035,0.2659981996597387,0.16899999999999998
"mp-300018997, MnPO4, LiMnPO4, mp-540007, mp-18997",0.5286687275664768,4133.845305124435,3.349994326171457,1.7961111111111108,0.0,0.8443634664050798,9.027051252817149,0.0,0.0025792862500004787,15.406227697001354,0.2302317657128684,0.2402850544819785,0.18111111111111108
