mp-300003731, Li17Nb18O54
mp-300004226, LiCrS2
mp-300006944, LiTiO2
mp-300007543, LiVS2
mp-300007554, LiMgSnAu
mp-300007955, Li3Sb
mp-300010179, LiMgSbPd
mp-300010189, LiTiTe2
mp-300011977, LiSnAu
mp-300018162, Li(CuO)2
mp-300018767, LiMnO2
mp-300018793, LiCrO2
mp-300018939, LiCo(CO)4
mp-300018951, LiFePO4
mp-300018997, LiMnPO4
mp-300019013, LiV2O5
mp-300019107, LiMnVO4
mp-300019183, Li2NiO2
mp-300019377, LiLa2MoO6
mp-300019492, LiMn(PO3)3
mp-300019615, Li2V2(PO4)3
mp-300019682, LiFe(WO4)2
mp-300024850, Li(CoO2)4
mp-300024850, Li3(CoO2)4
mp-300024850, LiCoO2
mp-300025044, LiMnAsO4
mp-300025372, LiCuO2
mp-300025385, Li(CuO2)2
mp-300025401, LiTiPO4F
mp-300025405, LiCuPO4F
mp-300025462, Li2TiPCO7
mp-300025488, Li2CoPO4F
mp-300025507, LiCrPO4
mp-300025508, LiCrPO4F
mp-300025508, Li2CrPO4F
mp-300025510, Li3CrPCO7
mp-300025562, LiMnPO4F
mp-300025562, Li2MnPO4F
mp-300025605, Li2NiPO4F
mp-300025612, Li2NiPCO7
mp-300025613, LiNiAsO4
mp-300025630, LiVPO4F
mp-300025630, Li2VPO4F
mp-300025638, Li2VPCO7
mp-300025647, LiWO2
mp-300025656, Li2PWCO7
mp-300025656, Li3PWCO7
mp-300025688, Li2FePO4F
mp-300025885, LiCuPO4
mp-300025907, LiSn(PO3)4
mp-300026157, LiSb(PO3)4
mp-300026299, LiSnPO4
mp-300026341, LiSbP2O7
mp-300026407, Li2SnP2O7
mp-300026513, LiCuPO4
mp-300026541, LiSb(PO3)4
mp-300026585, Li3Sb2P5O18
mp-300026649, Li2SnP2O7
mp-300026675, LiSb(PO3)4
mp-300026695, LiCuPO4
mp-300026695, Li2CuPO4
mp-300026701, Li3Sn2(PO4)3
mp-300026855, Li2Sn(PO3)4
mp-300026897, LiSn(PO3)3
mp-300026949, LiSn2(PO3)5
mp-300027017, LiSnPO4
mp-300027033, Li2SnP2O7
mp-300030404, Li2SbAu
mp-300031540, LiCoPO4
mp-300031553, LiCoPO4
mp-300031555, LiCoP2O7
mp-300031557, LiCo6P7O24
mp-300031560, Li2Co(PO3)4
mp-300031571, LiCoP2O7
