mp-300003731, Li17Nb18O54
mp-300006944, LiTiO2
mp-300018793, LiCrO2
mp-300018988, Li2MnO3
mp-300019615, Li2V2(PO4)3
mp-300019615, Li3V2(PO4)3
mp-300024850, Li3(CoO2)4
mp-300024850, LiCoO2
mp-300025401, Li2TiPO4F
mp-300025456, Li2CuPCO7
mp-300025462, Li2TiPCO7
mp-300025462, Li3TiPCO7
mp-300025488, Li2CoPO4F
mp-300025490, Li2CoPCO7
mp-300025490, Li3CoPCO7
mp-300025508, Li2CrPO4F
mp-300025510, Li3CrPCO7
mp-300025562, Li2MnPO4F
mp-300025605, Li2NiPO4F
mp-300025612, Li2NiPCO7
mp-300025612, Li3NiPCO7
mp-300025630, Li2VPO4F
mp-300025638, Li2VPCO7
mp-300025638, Li3VPCO7
mp-300025656, Li2PWCO7
mp-300025656, Li3PWCO7
mp-300025666, Li2MnPCO7
mp-300025688, Li2FePO4F
mp-300025839, Li3Ti2(PO4)3
mp-300025871, Li3Cu2P5O16
mp-300025943, Li2CuP2O7
mp-300026223, Li4Cu(PO4)2
mp-300026261, Li2Cu(PO3)4
mp-300026267, Li2Cu(PO3)4
mp-300026311, Li4Cu(PO4)2
mp-300026311, Li5Cu(PO4)2
mp-300026377, Li3Bi2P5O18
mp-300026377, Li5Bi2P5O18
mp-300026585, Li3Sb2P5O18
mp-300026585, Li5Sb2P5O18
mp-300026695, Li2CuPO4
mp-300026701, Li3Sn2(PO4)3
mp-300026721, Li2Nb(PO4)2
mp-300026855, Li2Sn(PO3)4
mp-300026875, Li2CuPO4
mp-300027033, Li2SnP2O7
mp-300030404, Li2SbAu
mp-300031539, Li4Co(PO4)2
mp-300031549, Li2CoP2O7
mp-300031560, Li2Co(PO3)4
mp-300031580, Li2CoP2O7
mp-300031585, LiCoPO4
mp-300031604, Li2CoP2O7
mp-300031612, Li2Co(PO3)4
mp-300031618, Li3Co2P5O16
mp-300031663, Li3Cr(PO4)2
mp-300031705, Li3Cr(PO4)2
mp-300031706, Li3Cr2(PO4)3
mp-300031713, Li5Cr2P5O18
mp-300031721, Li2CrP2O7
mp-300031722, Li4Cr(PO4)2
mp-300031723, Li3Cr(PO4)2
mp-300031724, Li3Cr2(PO4)3
mp-300031730, Li3Cr2P5O16
mp-300031735, Li2CrP2O7
mp-300031739, Li2CrP4O13
mp-300031779, Li3Fe2(PO4)3
mp-300031817, Li2Fe(PO3)4
mp-300031882, Li3Fe(PO4)2
mp-300031885, Li3Fe2P5O16
mp-300031890, Li4Fe(PO4)2
mp-300031913, Li3Mn2(PO4)3
mp-300031953, Li2MnP2O7
mp-300031959, Li2MnP2O7
mp-300031979, Li2Mn(PO3)4
mp-300031986, Li3Mn2P5O16
mp-300031994, LiMnPO4
mp-300032315, Li2Ni(PO3)4
mp-300032320, Li3Ni(PO4)2
mp-300032320, Li4Ni(PO4)2
mp-300032366, Li3Ni2(PO4)3
mp-300032375, Li3Ni2P5O16
mp-300032383, Li2NiP2O7
mp-300032398, Li3Ni(PO4)2
mp-300032420, Li2VP2O7
mp-300032491, Li3V6O16
mp-300032491, Li4V3O8
mp-300032508, Li3V2P5O16
mp-300032510, Li5V2P5O18
mp-300032525, Li2V(PO4)2
mp-300504123, Li3Ni2(PO4)3
mp-300504263, Li14Co9(P2O7)8
mp-300504366, Li4V3P8O29
mp-300504383, Li7Mo4P9O32
mp-300504389, Li7Cr4P9O32
mp-300504399, Li7V4P9O32
mp-300540011, Li2Ni(PO3)5
mp-300540026, Li2FeP2O7
mp-300540045, Li2Mn(PO3)4
mp-300540098, Li2FeP2O7
mp-300540113, Li3Cr2(PO4)3
mp-300540132, Li2CoP2O7
mp-300540135, Li2Mn(PO3)4
mp-300540140, Li3Mo2(PO4)3
mp-300540149, Li2Fe(PO3)4
mp-300540171, Li2Ni(PO3)4
mp-300540192, Li2MnP2O7
mp-300540223, Li2MnP2O7
mp-300540231, Li2FeP2O7
mp-300540234, Li2NiP2O7
mp-300540237, Li14Ni9(P2O7)8
mp-300540296, Li2Mo(PO4)2
mp-300540311, Li2V(PO4)2
mp-300540311, Li3V(PO4)2
mp-300540344, Li2V(PO4)2
mp-300540344, Li3V(PO4)2
