,x,y,z,x2,y2,z2,avg,max
mp-300002074,inf,inf,inf,-0.4982743735797501,-0.4982743741686623,-0.3418472562663837,inf,inf
mp-300003731,0.6583349853690592,0.8744889200659642,-2.712909603872806,-4.886610200677553,-6.4910517778092185,20.13706097720021,-0.3933618994792612,0.8744889200659642
mp-300003731,-0.6587860501819222,-0.8754174663815677,-0.2532406076645937,9.060158712614305,12.039449200573475,3.4827697054096936,-0.5958147080760279,-0.2532406076645937
mp-300003924,-inf,inf,inf,0.05107945730050378,-4.3332812830775085,-2.8791078840680804,,inf
mp-300003924,2.9762582207684987,-0.009134598122469306,-0.43825805987918187,-30.61294169933317,0.09395586640254157,4.507797187328733,0.8429551875889493,2.9762582207684987
mp-300003924,-0.8553240632847269,-0.3155229207184265,-0.061989551911352685,1.0025193671988424,0.3698222140513649,0.07265752131005059,-0.41094551197150203,-0.061989551911352685
mp-300004226,inf,inf,-inf,-0.18957242000000016,-0.19125633862397687,0.04043376228533102,,inf
mp-300004711,-0.016546997536149854,-0.5191024971430773,0.3130627900969457,0.0458224547154919,1.437514607473137,-0.8669431110376957,-0.07419556819409383,0.3130627900969457
mp-300004711,-0.4745051046837815,-0.5715729546939277,0.09018652816202337,1.5251949793407251,1.8371987829447656,-0.2898852690922177,-0.3186305104052285,0.09018652816202337
mp-300005127,-inf,-inf,-inf,3.657525222618434,0.17373186631484214,0.17370721048302565,-inf,-inf
mp-300005127,0.05317951620750186,-0.00980565980256968,-0.009811824537047244,-0.11602803536182225,0.021394166841970208,0.021407617171739446,0.011187343955961649,0.05317951620750186
mp-300006944,inf,inf,inf,-0.04414419463261037,-47.91642121582857,-11.726074369329073,inf,inf
mp-300006944,0.9977559028703312,-1.3501106689172646,0.0003577042760672573,-10.642729630616863,14.401180468450825,-0.0038155122780507453,-0.11733235392362208,0.9977559028703312
mp-300006944,-0.8548387461058679,-1.4069679536284716,-0.6257436920221153,5.222287612574027,8.59529513489393,3.822725100353285,-0.9625167972521516,-0.6257436920221153
mp-300006944,-0.02693809659679225,-0.02693809884012444,-0.026938094999999773,0.046179594165929566,0.046179598011641884,0.04617959142857104,-0.026938096812305485,-0.026938094999999773
mp-300007543,inf,inf,-inf,-0.28730572,-0.28730572677874555,0.4889324400000001,,inf
mp-300007554,inf,inf,inf,-0.13388889247878222,-0.1338888907930258,-0.13388887999999974,inf,inf
mp-300007936,inf,inf,-inf,-3.8721279548289553,-13.732742031593355,0.01830137542638926,,inf
mp-300007936,0.7032874890598024,-0.7044024366733392,-0.0017427823728723981,-5.212601389502062,5.2208651188729815,0.012917092881289527,-0.0009525766621364026,0.7032874890598024
mp-300007936,-0.8796319685356837,-0.2466076550354785,-0.04186425987271837,3.55235987293257,0.995915529950971,0.16906720333213188,-0.3893679611479602,-0.04186425987271837
mp-300007955,inf,inf,inf,-0.4319732533333334,-0.4319732523442652,-0.9508556299999998,inf,inf
mp-300009158,-inf,-inf,-inf,0.018710781188349124,0.7935385564194428,6.604213637780801,-inf,-inf
mp-300009615,inf,inf,-inf,-0.024443600000000117,-0.024443606247123828,0.19080261999999948,,inf
mp-300010179,inf,inf,inf,-0.14702465952994714,-0.1470246571875462,-0.1470246599999996,inf,inf
mp-300010189,inf,inf,inf,-0.2101336600000004,-0.21013366194838226,-0.07778156999999998,inf,inf
mp-300011206,-inf,inf,inf,1.2617090536487705,-0.03195277030420929,-1.2480713089933078,,inf
mp-300011977,inf,inf,inf,-0.3346637000000001,-0.3346636898692381,-0.4708338899999998,inf,inf
mp-300016730,inf,inf,inf,-0.5584207040733276,-0.472885319681085,-0.7132000453073246,inf,inf
mp-300018162,-inf,inf,inf,7.4438292,-5.8067465600000014,-0.5431023199999991,,inf
mp-300018713,-inf,-inf,inf,2.1780867038352945,1.3507523295105548,-1.2116318925973557,,inf
mp-300018722,-inf,inf,-inf,0.5795180738361285,-0.2418166817515166,0.07226765000000057,,inf
mp-300018767,-inf,-inf,inf,0.07637939000000005,0.7785019058942417,-1.44788271,,inf
mp-300018782,inf,-inf,-inf,-10.003793299673394,0.30959596276414025,0.30902040848815737,,inf
mp-300018782,-2.363957037825256,-0.6450558095404824,-0.06625097783167623,2.1275613340427304,0.5805502285864341,0.059625880048508585,-1.0250879417324714,-0.06625097783167623
mp-300018793,inf,-inf,inf,-3.5739880810499103,5.778315631520487,-6.223889747291873,,inf
