,density,nelements,energysStab,atomMean,transition,other,NdValenc wmean,BulkModulus wstd,Number wstd,AtomicWeigh wstd,BoilingT wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,BCCenergy_p wstd,HeatFusion wmean,HeatFusion wstd,BCCvolume_padiff wmean,IsNonm wmean,MeltingT wstd,BCCenergydiff wmean,phi wmean,SpaceGroupNumber wstd,numberDensity,oxidation flexibility,ShannonRadii,avgIonicRadVol,deltaShannon,oxidation flexibility Std,deltaShannonstd,deltashannonmax,chargedensityvoldens,HeatFusion wmean,numberDensity,NfValenc wmean,atomMean,AtomicWeigh wstd,AtomicWeigh wmean,metalloid,GSmagmom wmean,AtomicVolum wmean,deltashannonmax
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,2.0,0.28384010833333306,19.0,1.0,2.0,0.6666666666666666,28.33333333333333,4.166666666666667,10.151263333333333,806.1333333333333,0.0,0.0,0.0,0.0,0.8623030516666668,5.073333333333333,4.926666666666667,-0.5916666666666666,0.3333333333333333,440.06666666666666,0.7656800983333333,0.6749999999999999,34.166666666666664,0.07361685668259631,4.666666666666667,0.5320943099266652,0.5320943099266652,0.0202392829112291,0.9428090415820634,0.005653890033311267,0.028235090876503964,1.357584121,5.073333333,0.07361685700000001,0.0,19.0,10.15126333,20.817529999999998,0,0.0,6200.399411,0.028235091
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",3.5314848916100865,2.0,0.17869182333333278,12.666666666666664,1.0,2.0,0.3333333333333333,18.33333333333333,1.0,2.6447000000000003,563.3,0.0,0.0,0.0,0.0,0.456960815,2.4316666666666658,2.285,-0.5666666666666668,0.3333333333333333,305.23333333333335,0.7846732666666666,0.6333333333333333,28.33333333333333,0.07988563683524816,4.333333333333333,0.4848464661288364,0.4848464661288364,0.013312184512986257,0.4714045207910317,0.006363939418078369,0.022312153948153432,0.9821253529999999,2.431666667,0.079885637,0.0,12.66666667,2.6447,13.31096667,0,3.76e-06,6200.338442,0.022312154
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",3.059342109633916,3.0,0.039459981388889176,10.888888888888893,1.0,3.0,0.07407407407407407,9.087291960285404,1.235061629669116,2.3340557510476536,263.4092236324503,0.0,0.0,0.0,0.0,0.3302515703312939,4.2922222222222235,4.889440457101314,-0.8207407407407407,0.2222222222222222,138.21277844758157,0.5534080003703704,0.4888888888888889,17.700759091857716,0.08289279941408745,5.0,0.5009696700224413,0.5009696700224413,0.006167798514157314,1.6329931618554518,0.0037259182110283813,0.015434705369584484,0.876064842,4.2922222219999995,0.082892799,0.0,10.88888889,2.3340557509999997,7.408681481,1,8.35e-07,4133.735262,0.015434705
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",3.5476434031701705,2.0,0.020420569166667242,18.666666666666668,1.0,2.0,0.8333333333333333,24.1,1.333333333333333,2.0223166666666668,251.42666666666665,0.0,0.0,0.0,0.0,0.5832048799999998,4.073666666666667,2.926333333333333,-3.3922916666666665,0.3333333333333333,233.88,0.36496068291666667,0.775,14.833333333333332,0.0551927856550113,8.0,0.9727097519866659,0.8309586894376785,0.06580556072494398,0.0,0.036395471716173015,0.0915410455799331,0.999965381,4.0736666669999995,0.055192785999999994,0.0,18.66666667,2.0223166669999997,19.35435,0,0.0,11.07100484,0.091541046
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",3.5373010650254666,2.0,0.012788893333333108,19.0,1.0,2.0,0.8333333333333333,17.433333333333334,1.166666666666667,1.5319924999999994,149.76,0.0,0.0,0.0,0.0,0.4774720766666667,2.725333333333333,1.5779999999999996,-3.38522270115,0.3333333333333333,123.71333333333334,0.3898349379733333,0.7416666666666667,12.833333333333332,0.05367215057389359,8.666666666666666,0.9718962785093485,0.8472245443292828,0.0670541106302724,0.9428090415820632,0.031062998214269368,0.08901896731156789,0.9897795509999999,2.725333333,0.053672150999999994,0.0,19.0,1.5319924999999999,19.84467417,0,5.17e-05,11.09096601,0.08901896699999999
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",4.593394641387274,2.0,0.15721317062499995,18.5,1.0,2.0,2.5,35.0,5.25,11.88665,777.475,0.0,0.0,0.0,0.0,0.2957839175,3.455,3.345,-0.44125,0.25,325.7425,0.58370195875,1.1125,53.25,0.06955039897140318,3.5,0.6282976202831245,0.6282976202831245,0.007627223065032894,0.5,0.0018731347595534425,0.009500357824586336,1.2488412420000001,3.455,0.069550399,0.0,18.5,11.88665,19.88635,0,0.0,4651.0067770000005,0.009500358
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",5.73257235072325,3.0,0.05187435893091852,23.315789473684212,1.0,3.0,0.21052631578947367,12.20504414138166,2.899464507293561,8.009188731817341,300.4279484244457,0.07017543859649122,0.09924305700863824,0.0,0.0,0.5511520562044847,2.124912280701754,1.9285630326446028,-0.3736842105263158,0.21052631578947367,163.5240896371509,0.4835874305263158,0.3759649122807017,17.038998954754266,0.06430510097533677,3.4736842105263164,0.4486555884564775,0.4486555884564775,0.005000968983578997,1.92950555577088,0.004742399325851781,0.014113741906585044,1.455229294,2.124912281,0.06430510099999999,0.0,23.31578947,8.009188732,17.89508667,0,0.0,3919.6535,0.014113742
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",5.341143320887457,3.0,0.05537752045454525,22.454545454545453,1.0,3.0,0.9090909090909092,17.602103555733812,2.394131177588325,6.63451328461326,337.9016781483934,0.060606060606060615,0.08570991287109668,0.0,0.0,0.4109130125100231,1.7078787878787878,1.4941054674426624,-0.3218181818181818,0.1818181818181818,139.23864516980765,0.4210771027272727,0.5451515151515152,22.670514986881784,0.06303645630670858,3.0,0.51338012873539,0.51338012873539,0.008121681164278319,1.4770978917519928,0.007510886538166098,0.023897333986327603,1.373826652,1.7078787880000001,0.06303645599999999,0.0,22.45454545,6.634513285,17.00873939,0,0.0,3385.4124659999998,0.023897334
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",4.0871712706275565,3.0,0.04259218499999928,23.857142857142854,1.0,3.0,0.23809523809523805,7.975654566218196,5.5036578230397435,13.905907300015704,120.72696204692372,0.09523809523809523,0.13468700594029476,0.0,0.0,0.5182324973123865,0.8557142857142858,0.7250362411772313,-0.12131362889999996,0.19047619047619047,77.89240431736677,0.44487453953999995,0.3976190476190475,24.034272581116362,0.044781339980242016,3.7142857142857135,0.4496770756660391,0.4496770756660391,0.013374899700531887,3.103651568914348,0.011351571806382329,0.030075069552541918,1.036934668,0.855714286,0.04478134,0.0,23.85714286,13.9059073,18.32126423,0,1.4800000000000002e-05,3553.138733,0.03007507
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",4.157517139858353,2.0,0.13752982229166744,14.0,1.0,2.0,1.0,28.33333333333333,1.6666666666666663,3.9743666666666666,492.29999999999984,0.0,0.0,0.0,0.0,0.5609968566666665,2.375,2.228333333333333,-0.5916666666666666,0.3333333333333333,283.56666666666666,0.7656800983333333,0.8216666666666665,34.166666666666664,0.08550571229492249,5.333333333333333,0.448387931456536,0.448387931456536,0.03443253373148087,1.8856180831641267,0.022016803358185896,0.06556899564072886,1.161874027,2.375,0.085505712,0.0,14.0,3.974366667,14.64063333,0,0.35177713299999996,6199.36195,0.06556899599999999
