,density,nelements,other,BoilingT wstd,HeatCapacityMass wmean,AtomicVolum wmean,HeatFusion wmean,HeatFusion wstd,MeltingT wstd,BCCenergydiff wmean,GSmagmom wstd,ionicitymean,q4,sq_pyr,numberDensity,ShannonRadii,deltaShannonstd,deltashannonmax,chargedensityvoldens,negativeoxdensity,energysStab,volumeshannonflex,metalloid,BulkModulus wstd,IsAlkali wstd,deltaShannon,lin,bent
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,2.0,2.0,806.1333333333333,0.3501666666666667,6200.399410993186,5.073333333333333,4.926666666666667,440.06666666666666,0.7656800983333333,0.0,1.2266666666666666,0.13101880126250565,1.2027895713639574,0.07361685668259631,0.5299954710811147,0.10841917341471533,0.5414369922449813,1.3575841205330577,0.049077904455064214,0.28384010833333306,0.0,0.0,28.33333333333333,0.0,0.3881091267806104,4.021033880885732,4.021033880885732
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",3.5314848916100865,2.0,2.0,563.3,0.3933333333333333,6200.338441689601,2.4316666666666658,2.285,305.23333333333335,0.7846732666666666,3.75555555555e-06,1.3299999999999998,0.2708115158669914,0.6079232401825184,0.07988563683524816,0.4422091657429311,0.18344694365265685,0.6431702408210924,0.9821253529274228,0.053257091223498775,0.17869182333333278,146.16493456779654,0.0,18.33333333333333,0.0,0.3837370851316121,4.693943387778452,4.693943387778452
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",3.059342109633916,3.0,3.0,263.4092236324503,0.2761481481481481,4133.73526190846,4.2922222222222235,4.889440457101314,138.21277844758157,0.5534080003703704,1.1802572446454296e-06,1.356666666666667,0.2692571469625742,0.539086187170116,0.08289279941408745,0.5431206852362924,0.13731348738464993,0.5688244081093929,0.8760648417394064,0.05526186627605829,0.039459981388889176,172.19673771306628,1.0,9.087291960285404,0.0,0.22730555946128675,2.921599586808308,2.921599586808308
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",3.5476434031701705,2.0,2.0,251.42666666666665,0.3108333333333333,11.071004843872666,4.073666666666667,2.926333333333333,233.88,0.36496068291666667,0.0,0.18400000000000005,0.22650803098053504,1.8977596296683628,0.0551927856550113,0.1920257558989028,1.3424230115529039,3.3764311957937445,0.9999653812108088,0.0367951904366742,0.020420569166667242,0.0,0.0,24.1,0.0,2.4271947811038186,5.94676666788754,5.94676666788754
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",3.5373010650254666,2.0,2.0,149.76,0.3158333333333333,11.090966009156816,2.725333333333333,1.5779999999999996,123.71333333333334,0.3898349379733333,5.1686781609166664e-05,0.20600000000000002,0.2896648057604904,1.5031657986353222,0.05367215057389359,0.2238086118922055,1.1672779591469422,3.345133582149915,0.9897795507370932,0.03578143371592905,0.012788893333333108,0.0,0.0,17.433333333333334,0.0,2.5197434217075183,5.4791577348902765,5.4791577348902765
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",4.593394641387274,2.0,2.0,777.475,0.32575,4651.0067771053245,3.455,3.345,325.7425,0.58370195875,0.0,0.7294736842105263,0.3032181854577206,0.5746795889808769,0.06955039897140318,0.6568464840590913,0.07173955448998033,0.3638560623335531,1.2488412424824966,0.03477519948570158,0.15721317062499995,95.79830222990576,0.0,35.0,0.0,0.29211650784357274,3.0978068979899485,3.0978068979899485
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",5.73257235072325,3.0,3.0,300.4279484244457,0.22152631578947368,3919.6535004125,2.124912280701754,1.9285630326446028,163.5240896371509,0.4835874305263158,0.0,0.926153846153846,0.19257234702452225,1.1790344285273124,0.06430510097533677,0.38097575214420776,0.3406692877526349,1.0138577695536548,1.455229293599596,0.04061374798442323,0.05187435893091852,251.89030415054137,0.0,12.20504414138166,0.09924305700863824,0.35924358634706044,4.786576816552016,4.786576816552016
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",5.341143320887457,3.0,3.0,337.9016781483934,0.21427272727272725,3385.4124663054995,1.7078787878787878,1.4941054674426624,139.23864516980765,0.4210771027272727,0.0,2.0366666666666657,0.20826625043275354,0.1803777135571893,0.06303645630670858,0.4850836585698477,0.3797996345118449,1.2084057810878357,1.373826652048727,0.03438352162184104,0.05537752045454525,0.0,0.0,17.602103555733812,0.08570991287109668,0.4106854127193083,2.6911934794249044,2.6911934794249044
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",4.0871712706275565,3.0,3.0,120.72696204692372,0.22071428571428567,3553.138733430431,0.8557142857142858,0.7250362411772313,77.89240431736677,0.44487453953999995,2.0884613584885644e-05,1.1646153846153846,0.1500016181575723,0.2989014752390466,0.044781339980242016,0.4641123600999482,0.5333996367208244,1.4131991099822745,1.036934667871735,0.025589337131566862,0.04259218499999928,133.1427660876818,0.0,7.975654566218196,0.13468700594029476,0.6284739032730291,2.630180444904572,2.630180444904572
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",4.157517139858353,2.0,2.0,492.29999999999984,0.38083333333333336,6199.361949658057,2.375,2.228333333333333,283.56666666666666,0.7656800983333333,0.3517771333333333,1.0245454545454544,0.2738624997855014,1.2815396496532518,0.08550571229492249,0.4719892109841548,0.3820918361781134,1.1379207750159563,1.161874027229824,0.05700380819661498,0.13752982229166744,68.74951566656445,0.0,28.33333333333333,0.0,0.5975613182208295,3.059840877680552,3.059840877680552
