,density,nelements,energysStab,atomMean,atomStd,transition,metalloid,other,NdValenc wmean,BulkModulus wstd,AtomicWeigh wstd,BoilingT wstd,BCCfermi wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,BCCenergy_p wstd,AtomicVolum wmean,AtomicVolum wstd,HeatFusion wmean,HeatFusion wstd,BCCvolume_padiff wmean,MeltingT wmean,MeltingT wstd,BCCenergydiff wmean,GSmagmom wmean,GSmagmom wstd,SpaceGroupNumber wstd,Crystal System,meanbv,meanValenceOcc,Hall Number,ionicitymean,NNdiststd,oct,q4,q6,tet,lin,bent,sq_pyr,numberDensity,ShannonRadii,avgIonicRadVol,SpaceGroup,deltaShannon,oxidation flexibility Std,deltaShannonstd,deltashannonmin,deltashannonmax,chargedensityvoldens,positiveoxpopdens,deltacrystal1,deltacrystal2,deltacrystal3,deltacrystal4,negativeoxdensity,nsites,Unit Cell Mass,energy,total_magnetization,Electronegativity wmean,IsNonm wmean,phi wmean,VegardVolume,bcc,volumeshannonflex,strainlatticemean,AtomicWeigh wmean,BCCvolume_padiff wstd,Polarizability wstd,symmetry ops,strainlatticestd,q2
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,2.0,0.28384010833333306,19.0,15.556349186104045,1.0,0.0,2.0,0.6666666666666666,28.33333333333333,10.151263333333333,806.1333333333333,0.2075408216666668,0.0,0.0,0.0,0.0,0.3501666666666667,0.8623030516666668,6200.399410993186,6194.398699999749,5.073333333333333,4.926666666666667,-0.5916666666666666,476.6,440.06666666666666,0.7656800983333333,0.0,0.0,34.166666666666664,5.0,0.046050974306401336,29890.33333333333,456.0,1.2266666666666666,0.03161263812211272,1.3320666144990698,0.13101880126250565,0.18956763221430475,-0.5469308909666422,4.021033880885732,4.021033880885732,1.2027895713639574,0.07361685668259631,0.5299954710811147,0.5320943099266652,164.0,0.3881091267806104,0.15713484026367722,0.10841917341471533,0.311445194048425,0.5414369922449813,1.3575841205330577,0.024538952227532104,0.3788822122105165,0.009228602812806031,0.36583099695089183,0.385407819840329,0.049077904455064214,6.0,249.81036,-52.93304055,1.1342821,1.413333333333333,0.3333333333333333,0.6749999999999999,1.064192912351852,-0.017542665230083968,0.0,-0.0642006506002802,20.81753,0.5916666666666666,2.349333333333333,12.0,18.580171069619862,0.16106769809267785
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",3.5314848916100865,2.0,0.17869182333333278,12.666666666666664,6.599663291074443,1.0,0.0,2.0,0.3333333333333333,18.33333333333333,2.6447000000000003,563.3,0.5284860083333333,0.0,0.0,0.0,0.0,0.3933333333333333,0.456960815,6200.338441689601,6194.459669303333,2.4316666666666658,2.285,-0.5666666666666668,341.76666666666665,305.23333333333335,0.7846732666666666,3.75555555555e-06,3.75555555555e-06,28.33333333333333,7.0,-0.1358972374237708,30077.0,525.0,1.3299999999999998,0.013643331907155836,0.3269477248792041,0.2708115158669914,0.3834063009223736,-0.7755728321425227,4.693943387778452,4.693943387778452,0.6079232401825184,0.07988563683524816,0.4422091657429311,0.4848464661288364,227.0,0.3837370851316121,0.03928371006591929,0.18344694365265685,0.254020507286872,0.6431702408210924,0.9821253529274228,0.026628545611749387,0.3557097972035864,0.05849752025925292,0.3143458039456712,0.4384377837194168,0.053257091223498775,12.0,319.4632,-105.53608265,0.0,1.403333333333333,0.3333333333333333,0.6333333333333333,1.2071668820637784,-0.02716920625733495,146.16493456779654,-0.14551096106935782,13.310966666666666,0.6166666666666665,2.1659999999999995,48.0,22.75468227429653,0.07502104973304123
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",3.059342109633916,3.0,0.039459981388889176,10.888888888888893,4.629481479111035,1.0,1.0,3.0,0.07407407407407407,9.087291960285404,2.3340557510476536,263.4092236324503,0.8487108396313587,0.0,0.0,0.0,0.0,0.2761481481481481,0.3302515703312939,4133.73526190846,5841.453648738601,4.2922222222222235,4.889440457101314,-0.8207407407407407,209.0296296296296,138.21277844758157,0.5534080003703704,8.345679012333334e-07,1.1802572446454296e-06,17.700759091857716,1.0,0.05129630622175737,30455.444444444438,90.0,1.356666666666667,0.018472750800438847,-0.3916105924085105,0.2692571469625742,0.30411325690917346,-0.5191051320667396,2.921599586808308,2.921599586808308,0.539086187170116,0.08289279941408745,0.5431206852362924,0.5009696700224413,15.0,0.22730555946128675,0.09072184232530288,0.13731348738464993,0.06449009742976126,0.5688244081093929,0.8760648417394064,0.027630933138029147,0.2355423114697407,0.11393117552200024,0.032032528921073763,0.3877575437859291,0.05526186627605829,18.0,400.0688,-148.11304219999997,0.0,0.962222222222222,0.2222222222222222,0.4888888888888889,0.9101470183181248,-0.0209114961082608,172.19673771306628,-0.031783450082168464,7.408681481481483,0.5939061829816333,0.44962116045474254,4.0,26.16987153863762,0.06433707406306431
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",3.5476434031701705,2.0,0.020420569166667242,18.666666666666668,3.771236166328253,1.0,0.0,2.0,0.8333333333333333,24.1,2.0223166666666668,251.42666666666665,1.2590215649999998,0.0,0.0,0.0,0.0,0.3108333333333333,0.5832048799999998,11.071004843872666,7.040025685908133,4.073666666666667,2.926333333333333,-3.3922916666666665,492.7866666666666,233.88,0.36496068291666667,0.0,0.0,14.833333333333332,2.0,-0.08573035228906628,3819.666666666666,1.0,0.18400000000000005,0.02405603473536813,1.0930828648115485,0.22650803098053504,0.3287138806768479,-0.7550347111485899,5.94676666788754,5.94676666788754,1.8977596296683628,0.0551927856550113,0.1920257558989028,0.8309586894376785,1.0,2.4271947811038186,0.0,1.3424230115529039,0.5287219517239674,3.3764311957937445,0.9999653812108088,0.0183975952183371,2.9772499754314983,1.8641031520070688,0.3410100162006655,4.2953699550469135,0.0367951904366742,12.0,464.5044,-77.72878849,8.0154018,1.1366666666666667,0.3333333333333333,0.775,1.1846524919080121,0.05306155021116902,0.0,-0.18480324285621416,19.35435,3.385625,0.9666666666666666,1.0,29.06514731913361,0.11907707844437647
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",3.5373010650254666,2.0,0.012788893333333108,19.0,4.242640687119285,1.0,0.0,2.0,0.8333333333333333,17.433333333333334,1.5319924999999994,149.76,1.3260382299999998,0.0,0.0,0.0,0.0,0.3158333333333333,0.4774720766666667,11.090966009156816,7.020064520623982,2.725333333333333,1.5779999999999996,-3.38522270115,382.62,123.71333333333334,0.3898349379733333,5.1686781609166664e-05,5.1686781609166664e-05,12.833333333333332,2.0,0.012189485435039468,3849.666666666666,1.0,0.20600000000000002,0.024906862151287158,0.8089570558578275,0.2896648057604904,0.3548992847486591,-0.7689038062187943,5.4791577348902765,5.4791577348902765,1.5031657986353222,0.05367215057389359,0.2238086118922055,0.8472245443292828,12.0,2.5197434217075183,0.07856742013183861,1.1672779591469422,0.8689631008227251,3.345133582149915,0.9897795507370932,0.017890716857964527,3.034996061092321,1.7261300111382492,0.5938795889213876,4.255554297177788,0.03578143371592905,12.0,476.27218,-76.07411716,11.9422587,1.1183333333333332,0.3333333333333333,0.7416666666666667,1.19002431889168,0.02117863153018741,0.0,-0.1905033815293701,19.844674166666664,3.392693965516666,0.6000000000000001,1.0,29.643246260604357,0.05231490120707935
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",4.593394641387274,2.0,0.15721317062499995,18.5,10.5,1.0,0.0,2.0,2.5,35.0,11.88665,777.475,0.32630154999999994,0.0,0.0,0.0,0.0,0.32575,0.2957839175,4651.0067771053245,4645.091806139375,3.455,3.345,-0.44125,353.1425,325.7425,0.58370195875,0.0,0.0,53.25,3.0,-0.5915502051566236,22809.0,292.0,0.7294736842105263,0.020078806032461486,0.7099211106107103,0.3032181854577206,0.2456589491488104,-0.1861030341919848,3.0978068979899485,3.0978068979899485,0.5746795889808769,0.06955039897140318,0.6568464840590913,0.6282976202831245,62.0,0.29211650784357274,0.03125,0.07173955448998033,0.2203769533535924,0.3638560623335531,1.2488412424824966,0.03477519948570158,0.25791787844305564,0.014794633286554938,0.2431232451565007,0.2727125117296106,0.03477519948570158,16.0,636.3632,-79.39868835,0.0,1.335,0.25,1.1125,0.8739676593214502,0.17330389836500948,95.79830222990576,1.9539925233402755e-14,19.88635,0.4462499999999999,1.337,8.0,36.92541247745551,0.16925378111473582
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",5.73257235072325,3.0,0.05187435893091852,23.315789473684212,20.55301906771324,1.0,0.0,3.0,0.21052631578947367,12.20504414138166,8.009188731817341,300.4279484244457,0.6772215203448657,0.07017543859649122,0.09924305700863824,0.0,0.0,0.22152631578947368,0.5511520562044847,3919.6535004125,5531.547373550645,2.124912280701754,1.9285630326446028,-0.3736842105263158,226.44912280701752,163.5240896371509,0.4835874305263158,0.0,0.0,17.038998954754266,1.0,-0.4104864213271099,309.7368421052632,30.0,0.926153846153846,0.018662229007534045,0.21777828881877528,0.19257234702452225,0.3653775766298393,-0.9318759594567276,4.786576816552016,4.786576816552016,1.1790344285273124,0.06430510097533677,0.38097575214420776,0.4486555884564775,186.0,0.35924358634706044,0.05077646199397051,0.3406692877526349,0.16091390332712202,1.0138577695536548,1.455229293599596,0.023691352990913548,0.333831211728812,0.26479335562416856,0.18901333140580587,0.8465540831670619,0.04061374798442323,38.0,2040.03988,-297.24184043,1.9946475,0.8708771929824559,0.21052631578947367,0.3759649122807017,0.9513891287840476,-0.04121839268675494,251.89030415054137,-0.2357151935750749,17.895086666666668,0.5284692785709987,3.334940496764382,2.0,68.34286031354826,0.06366799366499515
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",5.341143320887457,3.0,0.05537752045454525,22.454545454545453,18.172724998862922,1.0,0.0,3.0,0.9090909090909092,17.602103555733812,6.63451328461326,337.9016781483934,0.5743217166915853,0.060606060606060615,0.08570991287109668,0.0,0.0,0.21427272727272725,0.4109130125100231,3385.4124663054995,4777.063370531598,1.7078787878787878,1.4941054674426624,-0.3218181818181818,194.00333333333333,139.23864516980765,0.4210771027272727,0.0,0.0,22.670514986881784,3.0,-0.3419122928914112,8847.727272727272,334.0,2.0366666666666657,0.012216087428575705,0.6359344213971132,0.20826625043275354,0.229753523298888,-0.4704789236813092,2.6911934794249044,2.6911934794249044,0.1803777135571893,0.06303645630670858,0.4850836585698477,0.51338012873539,69.0,0.4106854127193083,0.06714081326145421,0.3797996345118449,0.19179148878398253,1.2084057810878357,1.373826652048727,0.028652934684867525,0.3706172553593521,0.3011360038275169,0.21158732089259244,1.008998381057879,0.03438352162184104,22.0,1122.5768,-121.2425726,1.8966477,0.8521212121212121,0.1818181818181818,0.5451515151515152,1.3025380363891197,0.06420209241541704,0.0,-0.3353879851158072,17.008739393939393,0.4570494665526183,2.948014115464349,8.0,41.15976794561034,0.10840990645380906
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",4.0871712706275565,3.0,0.04259218499999928,23.857142857142854,20.51778720614713,1.0,0.0,3.0,0.23809523809523805,7.975654566218196,13.905907300015704,120.72696204692372,0.6643633375024106,0.09523809523809523,0.13468700594029476,0.0,0.0,0.22071428571428567,0.5182324973123865,3553.138733430431,4999.950486952861,0.8557142857142858,0.7250362411772313,-0.12131362889999996,111.49428571428572,77.89240431736677,0.44487453953999995,1.4767651888333332e-05,2.0884613584885644e-05,24.034272581116362,3.0,-0.18815824185241464,25943.285714285717,176.0,1.1646153846153846,0.027393031191463663,-0.6878076280888459,0.1500016181575723,0.2985706023766426,-0.9046507559375792,2.630180444904572,2.630180444904572,0.2989014752390466,0.044781339980242016,0.4641123600999482,0.4496770756660391,36.0,0.6284739032730291,0.22168939777959626,0.5333996367208244,0.19895856663248088,1.4131991099822745,1.036934667871735,0.019192002848675147,0.5635087136548711,0.4227269371932462,0.24620764381568425,1.2143218155267348,0.025589337131566862,14.0,769.4930975999997,-76.2216444,2.0000001,0.8042857142857142,0.19047619047619047,0.3976190476190475,0.9895390552524186,-0.21237569242672588,133.1427660876818,-0.7608796028187115,18.321264228571426,0.6839660446491863,7.587167512131442,4.0,63.601377557387714,0.13355401045741042
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",4.157517139858353,2.0,0.13752982229166744,14.0,8.48528137423857,1.0,0.0,2.0,1.0,28.33333333333333,3.9743666666666666,492.29999999999984,0.05073773833333338,0.0,0.0,0.0,0.0,0.38083333333333336,0.5609968566666665,6199.361949658057,6195.4361613348765,2.375,2.228333333333333,-0.5916666666666666,320.1,283.56666666666666,0.7656800983333333,0.3517771333333333,0.3517771333333333,34.166666666666664,4.0,-0.3530163535780373,29860.0,426.0,1.0245454545454544,0.00126042721457038,0.6542771566851839,0.2738624997855014,0.252454097821356,-0.9239734964948468,3.059840877680552,3.059840877680552,1.2815396496532518,0.08550571229492249,0.4719892109841548,0.448387931456536,141.0,0.5975613182208295,0.31426968052735443,0.3820918361781134,0.3273815898232661,1.1379207750159563,1.161874027229824,0.02850190409830749,0.5258390384216524,0.17071002423942755,0.4051288226654333,0.7672594699340908,0.05700380819661498,6.0,175.6876,-36.99226012,7.9999999000000015,1.4516666666666664,0.3333333333333333,0.8216666666666665,2.062720019962468,-0.172799266855982,68.74951566656445,-0.19522286551773296,14.640633333333332,0.5916666666666666,1.1326666666666665,16.0,16.386321398495998,0.05979575343646264
