,BoilingT wstd,AtomicVolum wmean,HeatFusion wmean,HeatFusion wstd,BCCenergydiff wmean,GSmagmom wstd,ionicitymean,q4,sq_pyr,numberDensity,ShannonRadii,deltaShannonstd,chargedensityvoldens,negativeoxdensity
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",806.1333333333333,6200.399410993186,5.073333333333333,4.926666666666667,0.7656800983333333,0.0,1.2266666666666666,0.13101880126250565,1.2027895713639574,0.07361685668259631,0.5299954710811147,0.10841917341471533,1.3575841205330577,0.049077904455064214
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",563.3,6200.338441689601,2.4316666666666658,2.285,0.7846732666666666,3.75555555555e-06,1.3299999999999998,0.2708115158669914,0.6079232401825184,0.07988563683524816,0.4422091657429311,0.18344694365265685,0.9821253529274228,0.053257091223498775
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",263.4092236324503,4133.73526190846,4.2922222222222235,4.889440457101314,0.5534080003703704,1.1802572446454296e-06,1.356666666666667,0.2692571469625742,0.539086187170116,0.08289279941408745,0.5431206852362924,0.13731348738464993,0.8760648417394064,0.05526186627605829
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",251.42666666666665,11.071004843872666,4.073666666666667,2.926333333333333,0.36496068291666667,0.0,0.18400000000000005,0.22650803098053504,1.8977596296683628,0.0551927856550113,0.1920257558989028,1.3424230115529039,0.9999653812108088,0.0367951904366742
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",149.76,11.090966009156816,2.725333333333333,1.5779999999999996,0.3898349379733333,5.1686781609166664e-05,0.20600000000000002,0.2896648057604904,1.5031657986353222,0.05367215057389359,0.2238086118922055,1.1672779591469422,0.9897795507370932,0.03578143371592905
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",777.475,4651.0067771053245,3.455,3.345,0.58370195875,0.0,0.7294736842105263,0.3032181854577206,0.5746795889808769,0.06955039897140318,0.6568464840590913,0.07173955448998033,1.2488412424824966,0.03477519948570158
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",300.4279484244457,3919.6535004125,2.124912280701754,1.9285630326446028,0.4835874305263158,0.0,0.926153846153846,0.19257234702452225,1.1790344285273124,0.06430510097533677,0.38097575214420776,0.3406692877526349,1.455229293599596,0.04061374798442323
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",337.9016781483934,3385.4124663054995,1.7078787878787878,1.4941054674426624,0.4210771027272727,0.0,2.0366666666666657,0.20826625043275354,0.1803777135571893,0.06303645630670858,0.4850836585698477,0.3797996345118449,1.373826652048727,0.03438352162184104
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",120.72696204692372,3553.138733430431,0.8557142857142858,0.7250362411772313,0.44487453953999995,2.0884613584885644e-05,1.1646153846153846,0.1500016181575723,0.2989014752390466,0.044781339980242016,0.4641123600999482,0.5333996367208244,1.036934667871735,0.025589337131566862
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",492.29999999999984,6199.361949658057,2.375,2.228333333333333,0.7656800983333333,0.3517771333333333,1.0245454545454544,0.2738624997855014,1.2815396496532518,0.08550571229492249,0.4719892109841548,0.3820918361781134,1.161874027229824,0.05700380819661498
