,chargedensityvoldens,HeatFusion wmean,numberDensity,NfValenc wmean,atomMean,AtomicWeigh wstd,AtomicWeigh wmean,metalloid,GSmagmom wmean,AtomicVolum wmean,deltashannonmax
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",1.357584121,5.073333333,0.073616857,0,19,10.15126333,20.81753,0,0,6200.399411,0.028235091
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",0.982125353,2.431666667,0.079885637,0,12.66666667,2.6447,13.31096667,0,3.76E-06,6200.338442,0.022312154
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",0.876064842,4.292222222,0.082892799,0,10.88888889,2.334055751,7.408681481,1,8.35E-07,4133.735262,0.015434705
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",0.999965381,4.073666667,0.055192786,0,18.66666667,2.022316667,19.35435,0,0,11.07100484,0.091541046
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",0.989779551,2.725333333,0.053672151,0,19,1.5319925,19.84467417,0,5.17E-05,11.09096601,0.089018967
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",1.248841242,3.455,0.069550399,0,18.5,11.88665,19.88635,0,0,4651.006777,0.009500358
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",1.455229294,2.124912281,0.064305101,0,23.31578947,8.009188732,17.89508667,0,0,3919.6535,0.014113742
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",1.373826652,1.707878788,0.063036456,0,22.45454545,6.634513285,17.00873939,0,0,3385.412466,0.023897334
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",1.036934668,0.855714286,0.04478134,0,23.85714286,13.9059073,18.32126423,0,1.48E-05,3553.138733,0.03007507
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",1.161874027,2.375,0.085505712,0,14,3.974366667,14.64063333,0,0.351777133,6199.36195,0.065568996
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",1.110504872,3.573333333,0.085811571,0,13.33333333,3.332883333,13.99915,0,0,6199.414545,0.044573716
"mp-300018878, FeAs2O7, LiFeAs2O7, mp-25524, mp-18878",1.088650431,2.141,0.075786326,0,14.8,3.861634604,10.58946667,1,0.070355427,4340.020182,0.034869483
"mp-300018915, CoPO4, LiCoPO4, mp-510669, mp-18915",1.013489876,1.978888889,0.084664835,0,12.33333333,2.420305031,8.550253167,0,0.086026178,4133.777703,0.013874661
"mp-300018932, Pr(WO4)2, LiPr(WO4)2, mp-25655, mp-18932",1.554425928,3.432424242,0.065006614,0.939393939,24.63636364,10.00648245,19.29038939,0,0,4509.228302,0.015910856
"mp-300018939, Co(CO)4, LiCo(CO)4, mp-543072, mp-18939",0.420393281,18.02518519,0.046966079,0,9.222222222,0.739633009,6.33235537,0,0.057350785,2756.114255,0.02052449
"mp-300018951, FePO4, LiFePO4, mp-25527, mp-18951",1.05091822,1.846111111,0.088994145,0,12.16666667,2.341004086,8.378686778,0,0.117259044,4133.82112,0.005687005
