,ShannonRadii,AtomicVolum wmean,deltaShannonstd,bent,IsAlkali wstd,deltashannonmax,density,HeatFusion wmean,BulkModulus wstd,metalloid,deltaShannon,chargedensityvoldens
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",0.5299954710811147,6200.399410993186,0.10841917341471533,4.021033880885732,0.0,0.5414369922449813,5.089621942317269,5.073333333333333,28.33333333333333,0.0,0.3881091267806104,1.3575841205330577
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",0.4422091657429311,6200.338441689601,0.18344694365265685,4.693943387778452,0.0,0.6431702408210924,3.5314848916100865,2.4316666666666658,18.33333333333333,0.0,0.3837370851316121,0.9821253529274228
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",0.5431206852362924,4133.73526190846,0.13731348738464993,2.9215995868083082,0.0,0.5688244081093929,3.059342109633916,4.292222222222224,9.087291960285404,1.0,0.22730555946128675,0.8760648417394064
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",0.1920257558989028,11.071004843872666,1.342423011552904,5.94676666788754,0.0,3.3764311957937445,3.5476434031701705,4.073666666666667,24.1,0.0,2.4271947811038186,0.9999653812108088
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",0.2238086118922055,11.090966009156816,1.1672779591469422,5.4791577348902765,0.0,3.345133582149915,3.5373010650254666,2.725333333333333,17.433333333333334,0.0,2.5197434217075183,0.9897795507370932
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",0.6568464840590913,4651.0067771053245,0.07173955448998033,3.0978068979899485,0.0,0.3638560623335531,4.593394641387274,3.455,35.0,0.0,0.29211650784357274,1.2488412424824966
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",0.38097575214420776,3919.6535004125,0.3406692877526349,4.786576816552016,0.09924305700863824,1.0138577695536548,5.73257235072325,2.124912280701754,12.20504414138166,0.0,0.35924358634706044,1.455229293599596
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",0.4850836585698477,3385.4124663054995,0.3797996345118449,2.6911934794249044,0.08570991287109668,1.2084057810878357,5.341143320887457,1.7078787878787878,17.602103555733812,0.0,0.4106854127193083,1.373826652048727
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",0.4641123600999482,3553.138733430431,0.5333996367208244,2.6301804449045716,0.13468700594029476,1.4131991099822745,4.0871712706275565,0.8557142857142858,7.975654566218196,0.0,0.6284739032730291,1.036934667871735
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",0.4719892109841548,6199.361949658057,0.3820918361781134,3.059840877680552,0.0,1.1379207750159563,4.157517139858353,2.375,28.33333333333333,0.0,0.5975613182208295,1.161874027229824
