,ShannonRadii,AtomicVolum wmean,density,HeatFusion wmean,metalloid,VegardVolume,BulkModulus wstd,NfValenc wstd,energysStab,SpaceGroupNumber wstd,q6,HeatCapacityMass wstd,n_ws^third wmean,sq_pyr
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",0.529995471,6200.399411,5.089621942,5.073333333,0,1.064192912,28.33333333,0,0.283840108,34.16666667,0.189567632,0.261833333,0.273333333,1.202789571
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",0.442209166,6200.338442,3.531484892,2.431666667,0,1.207166882,18.33333333,0,0.178691823,28.33333333,0.383406301,0.218666667,0.253333333,0.60792324
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",0.543120685,4133.735262,3.05934211,4.292222222,1,0.910147018,9.08729196,0,0.039459981,17.70075909,0.304113257,0.240966595,0.167407407,0.539086187
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",0.192025756,11.07100484,3.547643403,4.073666667,0,1.184652492,24.1,0,0.020420569,14.83333333,0.328713881,0.161166667,0.288333333,1.89775963
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",0.223808612,11.09096601,3.537301065,2.725333333,0,1.190024319,17.43333333,0,0.012788893,12.83333333,0.354899285,0.156166667,0.268333333,1.503165799
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",0.656846484,4651.006777,4.593394641,3.455,0,0.873967659,35,0,0.157213171,53.25,0.245658949,0.13325,0.3675,0.574679589
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",0.380975752,3919.6535,5.732572351,2.124912281,0,0.951389129,12.20504414,0,0.051874359,17.03899895,0.365377577,0.25333071,0.143157895,1.179034429
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",0.485083659,3385.412466,5.341143321,1.707878788,0,1.302538036,17.60210356,0,0.05537752,22.67051499,0.229753523,0.204442439,0.182727273,0.180377714
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",0.46411236,3553.138733,4.087171271,0.855714286,0,0.989539055,7.975654566,0,0.042592185,24.03427258,0.298570602,0.214859644,0.129047619,0.298901475
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",0.471989211,6199.36195,4.15751714,2.375,0,2.06272002,28.33333333,0,0.137529822,34.16666667,0.252454098,0.231166667,0.295,1.28153965
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",0.441748771,6199.414545,3.989574461,3.573333333,0,1.086754636,26.66666667,0,0.191242118,34.16666667,0.376942431,0.231166667,0.288333333,0.895621587
"mp-300018878, FeAs2O7, LiFeAs2O7, mp-25524, mp-18878",0.553142374,4340.020182,3.997930651,2.141,1,0.913560652,7.204319692,0,0.08697578,10.17283966,0.283855163,0.276963764,0.155,0.613814228
"mp-300018915, CoPO4, LiCoPO4, mp-510669, mp-18915",0.51604628,4133.777703,3.60622114,1.978888889,0,0.846122617,13.73042939,0,0.036101165,13.64180213,0.278202269,0.242908775,0.188888889,0.547888933
"mp-300018932, Pr(WO4)2, LiPr(WO4)2, mp-25655, mp-18932",0.560774819,4509.228302,6.246961882,3.432424242,0,1.139488343,25.97098756,1.141101235,0.089455009,13.89796214,0.275610562,0.304945828,0.146060606,0.440085551
"mp-300018939, Co(CO)4, LiCo(CO)4, mp-543072, mp-18939",0.833051756,2756.114255,1.48156223,18.02518519,0,0.858190836,8.456132262,0,0.517963278,34.94114197,0.306696567,0.153156644,0.327037037,0.363945181
"mp-300018951, FePO4, LiFePO4, mp-25527, mp-18951",0.501127933,4133.82112,3.714562779,1.846111111,0,0.81838328,12.94599418,0,0.02252,16.33049862,0.281750416,0.241634979,0.19,0.539935425
"mp-300018987, MoP2O7, LiMoP2O7, mp-25577, mp-18987",0.592739055,4340.576976,3.117255504,2.536666667,0,0.879279865,10.36275382,0,0,9.312476696,0.268819126,0.2659982,0.169,0.255397966
"mp-300018997, MnPO4, LiMnPO4, mp-540007, mp-18997",0.528668728,4133.845305,3.349994326,1.796111111,0,0.844363466,9.027051253,0,0.002579286,15.4062277,0.230231766,0.240285054,0.181111111,0.531032311
"mp-300019043, V(SiO3)2, LiV(SiO3)2, mp-25633, mp-19043",0.534335396,4133.594839,3.159123046,4.564444444,1,0.908313039,9.601097331,0,0.069495624,17.41914498,0.294753167,0.242143044,0.171851852,0.484791487
"mp-300019107, MnVO4, LiMnVO4, mp-25559, mp-19107",0.534600666,4133.047015,3.707857324,1.960555556,0,0.930051079,11.33115447,0,0.023462588,13.77352085,0.284261915,0.25047386,0.180555556,0.328066365
"mp-300019131, MnBO3, Li2Mn3(BO3)3, mp-510766, mp-849566",0.588250329,3719.740131,3.016087158,4.251333333,1,1.002858257,26.39865316,0,0.221104329,15.24058908,0.277632935,0.193916569,0.224,0.53143535
"mp-300019206, La4CoO8, LiLa4CoO8, mp-25479, mp-19206",0.456948574,3817.915276,6.793979738,1.096410256,0,1.194709585,5.708685149,0,0.037274942,23.08729112,0.243903572,0.244791779,0.165897436,0.649340077
