,ShannonRadii,AtomicVolum wmean,chargedensityvoldens,HeatFusion wmean,Density wstd,energysStab,NfValenc wstd,VegardVolume,density
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",0.5299954710811147,6200.399410993186,1.3575841205330577,5.073333333333333,1427.8570000000002,0.28384010833333306,0.0,1.064192912351852,5.089621942317269
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",0.4422091657429311,6200.338441689601,0.9821253529274228,2.4316666666666658,750.6903333333332,0.17869182333333278,0.0,1.2071668820637784,3.5314848916100865
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",0.5431206852362924,4133.73526190846,0.8760648417394064,4.292222222222224,239.72723786565032,0.039459981388889176,0.0,0.9101470183181248,3.059342109633916
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",0.1920257558989028,11.071004843872666,0.9999653812108088,4.073666666666667,536.6666666666667,0.020420569166667242,0.0,1.184652491908012,3.5476434031701705
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",0.2238086118922055,11.090966009156816,0.9897795507370932,2.725333333333333,591.6666666666667,0.012788893333333108,0.0,1.19002431889168,3.5373010650254666
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",0.6568464840590913,4651.0067771053245,1.2488412424824966,3.455,2229.64275,0.15721317062499995,0.0,0.8739676593214502,4.593394641387274
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",0.38097575214420776,3919.6535004125,1.455229293599596,2.124912280701754,552.8270114218832,0.05187435893091852,0.0,0.9513891287840476,5.73257235072325
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",0.4850836585698477,3385.4124663054995,1.373826652048727,1.7078787878787878,1029.6194200856874,0.05537752045454525,0.0,1.3025380363891197,5.341143320887457
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",0.4641123600999482,3553.138733430431,1.036934667871735,0.8557142857142858,435.3279964703758,0.04259218499999928,0.0,0.9895390552524186,4.0871712706275565
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",0.4719892109841548,6199.361949658057,1.161874027229824,2.375,1311.8570000000002,0.13752982229166744,0.0,2.0627200199624682,4.157517139858353
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",0.4417487713241296,6199.41454507545,1.1105048722921946,3.5733333333333333,1189.5236666666667,0.19124211833333504,0.0,1.0867546360024338,3.989574461114087
"mp-300018878, FeAs2O7, LiFeAs2O7, mp-25524, mp-18878",0.5531423742040128,4340.020182062323,1.0886504308925509,2.1410000000000005,477.986420253428,0.08697577989583394,0.0,0.9135606522637983,3.997930651108777
"mp-300018915, CoPO4, LiCoPO4, mp-510669, mp-18915",0.5160462799837287,4133.777702692075,1.0134898760908424,1.9788888888888885,639.4797702601315,0.036101164583333116,0.0,0.846122616628518,3.606221140423988
