,chargedensityvoldens,HeatFusion wmean,numberDensity,BCCenergy_p wstd,energysStab,NfValenc wstd,metalloid,BCCvolume_padiff wstd,density,nelements
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",1.3575841205330577,5.073333333333333,0.07361685668259631,0.8623030516666668,0.28384010833333306,0.0,0.0,0.5916666666666666,5.089621942317269,2.0
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",0.9821253529274228,2.4316666666666658,0.07988563683524816,0.456960815,0.17869182333333278,0.0,0.0,0.6166666666666665,3.5314848916100865,2.0
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",0.8760648417394064,4.292222222222224,0.08289279941408745,0.3302515703312939,0.039459981388889176,0.0,1.0,0.5939061829816333,3.059342109633916,3.0
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",0.9999653812108088,4.073666666666667,0.0551927856550113,0.5832048799999998,0.020420569166667242,0.0,0.0,3.385625,3.5476434031701705,2.0
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",0.9897795507370932,2.725333333333333,0.05367215057389359,0.4774720766666667,0.012788893333333108,0.0,0.0,3.392693965516666,3.5373010650254666,2.0
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",1.2488412424824966,3.455,0.06955039897140318,0.2957839175,0.15721317062499995,0.0,0.0,0.4462499999999999,4.593394641387274,2.0
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",1.455229293599596,2.124912280701754,0.06430510097533677,0.5511520562044847,0.05187435893091852,0.0,0.0,0.5284692785709987,5.73257235072325,3.0
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",1.373826652048727,1.7078787878787878,0.06303645630670858,0.4109130125100231,0.05537752045454525,0.0,0.0,0.4570494665526183,5.341143320887457,3.0
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",1.036934667871735,0.8557142857142858,0.044781339980242016,0.5182324973123865,0.04259218499999928,0.0,0.0,0.6839660446491863,4.0871712706275565,3.0
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",1.161874027229824,2.375,0.08550571229492249,0.5609968566666665,0.13752982229166744,0.0,0.0,0.5916666666666666,4.157517139858353,2.0
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",1.1105048722921946,3.5733333333333333,0.08581157103206408,0.7642173933333332,0.19124211833333504,0.0,0.0,0.5883333333333333,3.989574461114087,2.0
"mp-300018878, FeAs2O7, LiFeAs2O7, mp-25524, mp-18878",1.0886504308925509,2.1410000000000005,0.07578632618912337,0.4177321966407958,0.08697577989583394,0.0,1.0,0.5072787421351522,3.997930651108777,3.0
"mp-300018915, CoPO4, LiCoPO4, mp-510669, mp-18915",1.0134898760908424,1.9788888888888885,0.08466483509402199,0.3515130098797233,0.036101164583333116,0.0,0.0,0.6309503696443203,3.606221140423988,3.0
"mp-300018932, Pr(WO4)2, LiPr(WO4)2, mp-25655, mp-18932",1.554425928378526,3.432424242424243,0.06500661429069213,0.8115276526066028,0.08945500903409176,1.141101235379559,0.0,0.6131992082954594,6.24696188168362,3.0
"mp-300018939, Co(CO)4, LiCo(CO)4, mp-543072, mp-18939",0.4203932806705349,18.025185185185183,0.04696607900256862,0.5945364287083565,0.5179632777083318,0.0,0.0,0.5053712185978794,1.48156222979313,3.0
"mp-300018951, FePO4, LiFePO4, mp-25527, mp-18951",1.0509182200866258,1.8461111111111108,0.08899414463617568,0.3599343763674861,0.022519999583334286,0.0,0.0,0.6157872324850229,3.714562779454384,3.0
"mp-300018987, MoP2O7, LiMoP2O7, mp-25577, mp-18987",0.8641579681483605,2.536666666666666,0.06955803271415814,0.34067207264817834,0.0,0.0,0.0,0.7122961737400054,3.1172555035542566,3.0
"mp-300018997, MnPO4, LiMnPO4, mp-540007, mp-18997",0.9404473801752872,1.7961111111111108,0.08074532302016486,0.37291110553608703,0.0025792862500004787,0.0,0.0,0.6175297263187887,3.349994326171457,3.0
"mp-300019043, V(SiO3)2, LiV(SiO3)2, mp-25633, mp-19043",0.9000354210497813,4.564444444444447,0.08430067221300099,0.28486858002896376,0.06949562388888708,0.0,1.0,0.586073165935708,3.1591230460285664,3.0
"mp-300019107, MnVO4, LiMnVO4, mp-25559, mp-19107",1.0206218629013273,1.960555555555556,0.07886607944768254,0.07354473566817854,0.023462587708333867,0.0,0.0,0.5587112613086969,3.7078573241888,3.0
"mp-300019131, MnBO3, Li2Mn3(BO3)3, mp-510766, mp-849566",0.8369192937484582,4.251333333333334,0.07984062826558615,0.3217060046684582,0.2211043293333325,0.0,1.0,0.46159519765985796,3.016087157962879,3.0
"mp-300019206, La4CoO8, LiLa4CoO8, mp-25479, mp-19206",1.705987663623943,1.0964102564102565,0.07162962490800112,0.4517510625427784,0.03727494225961614,0.0,0.0,0.5638257770830923,6.793979737722673,3.0
"mp-300019340, VO2, Li2V3O6, mp-714944, mp-762271",1.0228150121633577,3.6566666666666654,0.08106210229591687,0.6699595783333332,0.14459902000000113,0.0,0.0,0.5916666666666666,3.721442124519189,2.0
"mp-300019377, La2MoO6, LiLa2MoO6, mp-25581, mp-19377",1.410345631369963,1.896296296296296,0.0641064932799752,0.2444892678386614,0.059277114444441274,0.0,0.0,0.590105370609772,5.556136420264424,3.0
"mp-300019431, YMo3O8, LiYMo3O8, mp-25579, mp-19431",1.370583118906743,3.4886111111111107,0.07399719605202111,0.891324263902415,0.1106411443749984,0.0,0.0,0.5610976689809024,5.168142676775903,3.0
"mp-300019433, ScMo3O8, LiScMo3O8, mp-632694, mp-19433",1.3735474256137907,3.5638888888888887,0.08048344755397048,0.8970870656931647,0.14578880954860907,0.0,0.0,0.5571424904184114,5.131680720706706,3.0
"mp-300019445, La4NiO8, LiLa4NiO8, mp-543085, mp-19445",1.7156972649607276,1.1292307692307693,0.07181218719131854,0.5075993300998158,0.0781254961057698,0.0,0.0,0.5612062007292997,6.809095939055432,3.0
"mp-300019492, Mn(PO3)3, LiMn(PO3)3, mp-25697, mp-19492",0.86036312496182,1.8079487179487181,0.08115231580385032,0.41997146237054295,0.0192201557692302,0.0,0.0,0.8024067891876003,3.0253259451056884,3.0
"mp-300019615, V2(PO4)3, LiV2(PO4)3, mp-32518, mp-540147",0.8356128657658399,1.985490196078432,0.0782666155646737,0.3869136240460824,0.016002415294117608,0.0,0.0,0.6520100108664949,2.957058292750959,3.0
"mp-300019616, Na2Fe(Si2O5)3, Na2LiFe(Si2O5)3, mp-851041, mp-19616",0.7631126782751987,3.3705208333333334,0.07487959576567765,0.5948048267991258,0.08088812942708312,0.0,1.0,0.6527342504979867,2.643937377237088,4.0
"mp-300019623, VAsO5, LiVAsO5, mp-543108, mp-19623",0.9670085680128112,2.24,0.07264759648359556,0.4736908878179357,0.0,0.0,1.0,0.5246464093799589,3.5476800779000754,3.0
"mp-300019667, Ni2P3O10, LiNi2P3O10, mp-25610, mp-19667",0.9995970174960944,2.0617777777777784,0.08534965249087655,0.3909725504696681,0.04559649970833314,0.0,0.0,0.7059998804447785,3.4987725942393726,3.0
"mp-300019682, Fe(WO4)2, LiFe(WO4)2, mp-25537, mp-19682",1.624049371084725,3.642121212121213,0.07733553194057816,0.6636389336128747,0.1236525724431825,1.1999387801953532,0.0,0.6085403813847863,6.438680497095959,3.0
"mp-300021496, La4CuO8, LiLa4CuO8, mp-772213, mp-21496",1.709800136245578,1.0297435897435898,0.0713424120631197,0.5727077789164565,0.06394901302884826,0.0,0.0,0.5612062007292997,6.80877369076861,3.0
"mp-300024979, Fe(GeO3)2, LiFe(GeO3)2, mvc-8638, mp-24979",1.1327413042794363,3.2966666666666664,0.07611290207872225,0.3321702017414319,0.11438615854166655,0.0,1.0,0.5087408809508208,4.172523237209323,3.0
"mp-300025044, MnAsO4, LiMnAsO4, mp-543097, mp-25044",1.0885236048210267,2.1238888888888887,0.0747671305713806,0.4091590883322486,0.03298229895833327,0.0,1.0,0.4855079112417732,4.0113500195548495,3.0
"mp-300025083, Mo3P3O16, LiMo3P3O16, mp-25669, mp-25083",0.9156072740488506,2.5996969696969696,0.06941044809804586,0.4859769498950279,0.008177761136364481,0.0,0.0,0.5775874659575686,3.335859026816772,3.0
"mp-300025385, CuO2, Li(CuO2)2, mp-504100, mp-25385",1.245683687890425,2.34,0.08556194328781283,0.2127693233333333,0.16829713458333284,0.0,0.0,0.5933333333333332,4.5249678728405405,2.0
"mp-300025401, TiPO4F, LiTiPO4F, mp-25436, mp-25420",0.8390578933280328,1.208035714285714,0.07758173469072258,0.4830700290176628,0.0,0.0,0.0,0.5229089983889185,2.978432036068726,4.0
"mp-300025405, CuPO4F, LiCuPO4F, mp-25380, mp-25405",0.9764901358680468,1.1883928571428568,0.08285354522735165,0.4657156841709327,0.15283490168831104,0.0,0.0,0.5170613943837831,3.4889845350959683,4.0
"mp-300025417, TiO2, Li2Ti3O6, mvc-11600, mp-760539",0.6802076861892613,2.4316666666666658,0.05532778889119595,0.456960815,0.15142285083333284,0.0,0.0,0.6166666666666665,2.4458620885555566,2.0
"mp-300025488, CoPO4F, LiCoPO4F, mp-25473, mp-25487",0.8870060371528348,1.28125,0.07707448734448459,0.4710274452231979,0.09406820938775518,0.0,0.0,0.5248050983896841,3.1612882185822944,4.0
"mp-300025507, CrPO4, LiCrPO4, mp-31750, mp-25507",1.0103600646795021,2.245555555555556,0.08796971704219908,0.39262175604163374,0.03280328541666755,0.0,0.0,0.6142324809207684,3.578097729614355,3.0
"mp-300025508, CrPO4F, LiCrPO4F, mp-849535, mp-25501",0.911897468892885,1.452678571428571,0.08220877648355822,0.531284069891344,0.03826592104166604,0.0,0.0,0.5158186286347682,3.2365921637775488,4.0
"mp-300025562, MnPO4F, LiMnPO4F, mp-25550, mp-25552",0.9276416118588852,1.1637499999999998,0.08259568595529318,0.5123455905753104,0.03222888299603088,0.0,0.0,0.5175767157345394,3.309467459824653,4.0
"mp-300025576, MoO2, Li(MoO2)2, mp-714969, mp-25576",1.2254302472686092,6.319999999999999,0.06530493150988424,0.987767425,0.2346574591666641,0.0,0.0,0.5916666666666666,4.624620030734843,2.0
"mp-300025605, NiPO4F, LiNiPO4F, mp-25589, mp-504104",0.9342334501808728,1.3269642857142856,0.08021180482956695,0.4571408289782368,0.2060406623214286,0.0,0.0,0.5170613943837831,3.2854056961449998,4.0
"mp-300025613, NiAsO4, LiNiAsO4, mp-635257, mp-25613",1.2291383379479959,2.3777777777777778,0.08170209411136506,0.4024895181904375,0.145951031458333,0.0,1.0,0.4846946028425438,4.468334009723021,3.0
"mp-300025614, NiPO4, LiNi2(PO4)2, mp-540008, mp-767051",1.060050625409488,2.05,0.0873736975528017,0.3788976610177281,0.10302384968749843,0.0,0.0,0.6165646398230734,3.7158041170355256,3.0
"mp-300025630, VPO4F, LiVPO4F, mp-25616, mp-25619",0.8717504568907285,1.470535714285714,0.0795842730682889,0.5142898409237905,0.0,0.0,0.0,0.5166467306430605,3.1133546617979966,4.0
"mp-300025637, VPO4, LiV2(PO4)2, mp-32453, mp-767232",0.9229244242516264,2.273333333333333,0.08150485347693212,0.37477984665109226,0.02369942833333205,0.0,0.0,0.6157872324850229,3.2913559769920533,3.0
"mp-300025652, PWO4F, LiPWO4F, mp-25651, mp-25652",1.2671698632558863,2.570892857142857,0.07029972800751402,0.6662642669897969,0.0,0.8660254037844386,0.0,0.5166467306430605,4.966421762377047,4.0
"mp-300025660, Co2P3O10, LiCo2P3O10, mp-25658, mp-25660",0.9846751920558672,2.0048888888888894,0.08501495824444293,0.3329107510628282,0.0241646573333334,0.0,0.0,0.7171416812432251,3.489565940570784,3.0
"mp-300025688, FePO4F, LiFePO4F, mp-25518, mp-25515",0.8539715814919788,1.1958928571428569,0.07510895634974843,0.4969946103333441,0.07848027326388872,0.0,0.0,0.5166467306430605,3.0256465676281845,4.0
"mp-300025742, Cr(GeO3)2, LiCr(GeO3)2, mvc-8434, mp-25742",1.1100054060992979,3.562962962962963,0.0756820376410707,0.3030759337056068,0.11125656666666828,0.0,1.0,0.5077152350925962,4.095158426366283,3.0
"mp-300025881, Bi(PO3)4, LiBi(PO3)4, mp-684096, mp-25881",0.8715112183372553,1.7236470588235295,0.06386870692882668,0.6178528156994537,0.03825824408088163,0.3882154877102614,0.0,0.7394379944175832,3.2744515020199687,3.0
"mp-300025885, CuPO4, LiCuPO4, mp-25886, mp-25885",1.0402687399719988,1.8344444444444443,0.08461499392593873,0.4515331616838249,0.07390691874999966,0.0,0.0,0.6165646398230734,3.7121197086487423,3.0
"mp-300025907, Sn(PO3)4, LiSn(PO3)4, mp-25908, mp-25907",0.7777739218642656,1.6460784313725492,0.06613010311165761,0.6178643537917062,0.004442116911764771,0.0,0.0,0.6145643862221954,2.807287612963619,3.0
