,density,volume,atomMean,transition,metalloid,rare,other,NdValenc wmean,BulkModulus wstd,Polarizability wstd,AtomicWeigh wstd,BoilingT wstd,BCCfermi wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,AtomicVolum wmean,NsUnfilled wstd,HeatFusion wmean,HeatFusion wstd,GSefflatcn wstd,BCCvolume_padiff wmean,BCCvolume_padiff wstd,MeltingT wstd,GSestBCClatcn wstd,GSestFCClatcn wstd,BCCenergydiff wmean,GSmagmom wstd,SpaceGroupNumber wstd,NUnfilled wstd,meanbv,vx,VegardVolume,strainlatticemean,strainlatticestd,Coordination,numberDensity,initialAnisotropy,li-ion fittability,oxidation flexibility,NNDist,positiveoxidationpop,avgIonicRadVol,AtomicNum Density,deltaShannon,detLatticeVec,oxidation flexibility Std,deltaShannonstd,deltashannonmax,chargedensityvoldens,positiveoxpopdens
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",7.174413697087316,28.181706207302266,51.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,30.191423443789105,0.0,19.79,0.0,0.0,-4.47,0.0,0.0,0.0,0.0,0.22744721,0.0,0.0,0.0,-2.210026580761672,3.1205335664243603,1.2241868460857266,28.181706207302266,0.15754052700363882,8.0,0.035484011955986064,-0.08655967195326737,3.4944858844745186,8.0,1.0,1.0,0.9150123925355664,51.0,0.06136402697387632,29.03564008708974,0.0,0.0,0.06136402697387632,1.7564620530847674,0.035484011955986064
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",4.387228733557704,1004.6283394383028,13.719101123595506,1.0,0.0,0.0,3.0,0.2696629213483146,15.735997733050644,1.7229811462483444,7.131661828238649,406.16651117254287,0.7438076492240414,0.06367041198501873,0.09004356015109594,0.0,0.0,0.4315955056179776,3762.8049976458087,0.09280533103643346,2.257977528089888,2.699650068268036,0.9009356706100392,-0.3642946317082396,0.5039768607139502,234.93680910129456,0.450467835479385,0.5675539080568183,0.4648470492134831,0.0,17.825174495546648,0.536064839558481,-0.4162274302601133,15.402585857461036,2.6394089764402806,1004.6283394383028,5.6160431477669235,5.0,0.08858997552245118,0.22448326236583668,10.997210591425835,3.640449438202247,1.1261411039301201,0.39325842696629215,0.4565570025390636,13.719101123595506,0.001882676714753702,1035.0695827516224,1.9328455532806448,0.0007630147665547433,0.003245584269337581,1.1796308386863237,0.03483875441894147
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",4.329686619208567,1126.0605731080834,13.927835051546392,1.0,0.0,0.0,3.0,0.274914089347079,16.088324632714446,1.5907214195357209,7.325039341184001,418.2124369536844,0.7601229312194023,0.05841924398625429,0.0826172871489437,0.0,0.0,0.4167491408934708,3835.9385623241524,0.0907893114338344,2.282474226804124,2.764484843163664,0.9518325622768538,-0.37084765177353934,0.5141651896685887,241.28006695129108,0.4759162813129154,0.5996169406523675,0.473870803814433,0.0,17.332502821082112,0.5555756305344273,-0.43509217889729895,5.330060581314432,1.2810036689389055,1126.0605731080834,6.294869970630077,5.0103092783505145,0.08614101436148018,-0.6000193746971133,6.222297013968433,3.7113402061855667,0.8037637100850004,0.38144329896907214,0.4664120984331043,13.927835051546392,0.0016559744478646546,1160.181334533832,1.8829608341164328,0.0006656344806709718,0.00289558662551515,1.1644731386260756,0.03285791269458522
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",5.268449435406872,487.73355233887906,16.3953488372093,1.0,0.0,0.0,3.0,0.372093023255814,21.954410811435565,1.7637777458235664,10.353023692465342,592.5811122843351,0.7233792260925985,0.05426356589147288,0.07674027082644702,0.0,0.0,0.38981395348837217,3461.857100760221,0.1144559927149876,2.9944186046511634,3.805517840674904,0.7747240431142052,-0.3347545219620153,0.4638549146689748,337.6206714034209,0.3873620217017916,0.4880455649394049,0.4275924960465116,0.0,23.37418196791732,0.7315628364281567,-0.09680649791421968,8.322963664693779,0.8581885109020039,487.73355233887906,2.726513444842952,6.1395348837209305,0.08816289097561088,-0.12720175833925915,5.7187857616948685,3.9069767441860463,0.5458267609029764,0.4418604651162791,0.4870356914766064,16.3953488372093,0.003919817314378521,502.5123667082994,1.9267269932286493,0.0014947683911967955,0.006685219664252685,1.40295054750213,0.03895569601247923
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",5.176565986512956,164.72141083895573,16.714285714285715,1.0,0.0,0.0,3.0,0.3809523809523809,22.53553505324545,1.7110109051260654,10.657467901643669,613.5878633347844,0.7431033546574646,0.047619047619047616,0.06734350297014738,0.0,0.0,0.3706666666666667,3544.1112852380047,0.11664236870396084,3.0419047619047617,3.911918181004721,0.8532829884260836,-0.3420634920619046,0.4753577374831238,348.0006998722339,0.4266414943520869,0.5375345993714812,0.4377387290476191,0.0,23.96624610532389,0.7589227357385346,-0.11226695969346737,2.965698867310482,0.9786179428274788,164.72141083895573,0.9208206799639408,6.0,0.08499198694751026,-0.500204445807487,3.3033319349512107,4.0,0.6231861975622995,0.42857142857142855,0.4998904006039188,16.714285714285715,0.01141146506570547,169.71263430878685,1.8516401995451028,0.004291976507359728,0.019794669790677732,1.3788012952190951,0.03642513726321868
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,81.50307239915685,19.0,1.0,0.0,0.0,2.0,0.6666666666666666,28.33333333333333,2.349333333333333,10.151263333333333,806.1333333333333,0.2075408216666668,0.0,0.0,0.0,0.0,0.3501666666666667,6200.399410993186,0.16666666666666666,5.073333333333333,4.926666666666667,0.6496301285420816,-0.5916666666666666,0.5916666666666666,440.06666666666666,0.3248150645000001,0.4092413368333334,0.7656800983333333,0.0,34.166666666666664,0.4999999999999999,0.046050974306401336,2.988684623095708,1.064192912351852,81.50307239915685,0.4556160256490033,7.0,0.07361685668259631,-0.4756838868559897,3.331706378035074,4.666666666666667,0.7482284148301448,0.3333333333333333,0.5320943099266652,19.0,0.0202392829112291,83.9726969959237,0.9428090415820634,0.005653890033311267,0.028235090876503964,1.3575841205330577,0.024538952227532104
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",3.6430596555538655,143.30558081974482,11.307692307692307,1.0,0.0,0.0,3.0,0.7692307692307693,14.498225877091615,3.1373403737312784,5.1372121373940836,288.92740127654133,0.5647057620065314,0.10256410256410256,0.145047544858779,0.0,0.0,0.5382307692307693,2863.457668129528,0.13074409009212268,1.3876923076923076,1.2826082892561699,0.4655393145059592,-0.2808547008512818,0.3808603208189032,118.42290513390994,0.23276965731975915,0.2932713910056372,0.35674238230769234,0.0,27.305296632606076,0.3098216916306301,-0.4180779996167717,5.099976308850827,0.9981269727418892,143.30558081974482,0.8011025506700974,5.0,0.09071523890163004,0.13967944513114516,3.9193489740285408,2.5384615384615383,0.6067418342405229,0.5384615384615384,0.5155936088385101,11.307692307692307,0.01478357852744725,147.64788322416396,1.7371676600978792,0.005812941146945091,0.02275281895066603,0.9956119707914792,0.04884666710087771
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",3.5225902729082663,151.47846874347024,10.714285714285714,1.0,0.0,0.0,3.0,0.7142857142857143,13.31312243708978,3.7266549564454037,4.581633491435262,282.88834275579507,0.5170645516461096,0.11904761904761905,0.16835875742536846,0.0,0.0,0.5850714285714286,2659.437931312654,0.14677176197545186,1.36,1.1692034616326954,0.5055264348108299,-0.2627777777738092,0.3523351178568752,109.21570763813213,0.2527632174018147,0.3184616983004869,0.3313644057142857,0.0,31.36933450668488,0.2756151643521482,-0.33793731355372536,5.040407117720688,0.9512956259057944,151.47846874347024,0.8467903830949335,5.071428571428571,0.09242237603886193,0.05039179974068079,5.310739152237188,2.357142857142857,0.7274686301761201,0.5714285714285714,0.5215705050450802,10.714285714285714,0.014524462588940537,156.0684178248661,1.7971065179155892,0.005643781043258875,0.02152521056001396,0.961116938907679,0.0528127863079211
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",3.7317831857268864,141.58189381603628,18.5,1.0,0.0,0.0,2.0,2.5,35.0,1.337,11.88665,777.475,0.32630154999999994,0.0,0.0,0.0,0.0,0.32575,4651.0067771053245,0.25,3.455,3.345,0.08853835020191014,-0.44125,0.4462499999999999,325.7425,0.04426917499999994,0.055775665500000016,0.58370195875,0.0,53.25,0.25,-0.5915502051566236,6.115885341287942,1.6157355742729342,141.58189381603626,0.7914668473895288,4.0,0.056504400275890924,-3.469757814400509e-11,7.192451036883553,3.5,1.221818218721158,0.5,0.6980201356478315,18.5,0.012393075278758,145.87196678055585,0.5,0.00304355856443068,0.015436633843188682,1.0145883631132864,0.028252200137945462
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",4.109560280168486,136.9806729480452,14.272727272727273,1.0,0.0,0.0,3.0,1.2121212121212122,23.323846950005716,2.654289958992715,9.215921721578113,467.62721914806707,0.6395795027700905,0.0909090909090909,0.128564869306645,0.0,0.0,0.4835757575757576,2256.9921396340856,0.154515742836145,1.9478787878787882,2.1409224516514618,0.11834433445095315,-0.22151515151212087,0.2999635729358497,203.35239406528873,0.05917216729279316,0.07455225902839797,0.2834026584848485,0.0,32.911853224098884,0.1963860817699352,-0.1406127615178509,3.647055816020496,0.95804628356324,136.9806729480452,0.7657452407887475,5.0,0.08030329946015187,-0.2746223329931696,4.144513353111724,2.5454545454545454,0.6287861100983018,0.6363636363636364,0.6209993413680446,14.272727272727273,0.01580773658713638,141.13132431904396,1.6160353486028345,0.005583107962193419,0.02380340134734476,1.1124390758573417,0.05110209965646029
