,density,nsites,nelements,Unit Cell Mass,energy,total_magnetization,energysStab,atomMean,atomStd,transition,other,Electronegativity wmean,BulkModulus wmean,BulkModulus wstd,GSenergy_p wstd,BoilingT wmean,BoilingT wstd,BCCfermi wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,HeatCapacityMass wstd,MiracleRadius wstd,n_ws^third wmean,AtomicVolum wmean,MendeleevNumber wmean,Density wstd,HeatFusion wmean,HeatFusion wstd,IsNonm wmean,MeltingT wmean,MeltingT wstd,CovalentRadius wstd,GSvolume_p wstd,GSestFCClatcn wstd,BCCenergydiff wmean,phi wmean,SpaceGroupNumber wstd,Row wstd,VegardVolume,Forces,Coordination,numberDensity,li-ion fittability,oxidation flexibility,ShannonRadii,avgIonicRadVol,Zcm,volume flexibility of cell,AtomicNum Density,volumeshannonflex,oxidation flexibility Std,chargedensityvoldens,positiveoxpopdens
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",7.174413697087316,1.0,1.0,121.76,-3.8160462,1.0199999999999999e-05,0.3082833800000002,51.0,0.0,0.0,1.0,2.05,42.0,0.0,0.0,1860.0,0.0,0.0,0.0,0.0,0.207,0.0,0.0,1.26,30.191423443789105,85.0,0.0,19.79,0.0,0.0,903.78,0.0,0.0,0.0,0.0,0.22744721,4.4,0.0,0.0,1.2241868460857266,0.0,8.0,0.035484011955986064,3.4944858844745186,8.0,0.9150123925355664,0.9150123925355664,0.0,0.06136402697387632,51.0,0.0,0.0,1.7564620530847674,0.035484011955986064
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",4.387228733557704,89.0,3.0,2654.27944,-700.4189686000003,1.98e-05,0.011585055835672264,13.719101123595506,13.86774510323149,1.0,3.0,0.8659925093632959,12.161048689138575,15.735997733050644,1.0512343419872074,459.2749063670412,406.16651117254287,0.7438076492240414,0.0,0.0,0.4315955056179776,0.272285166169023,4.645414845170411,0.17295880149812734,3762.8049976458087,20.827715355805246,793.8532891686689,2.257977528089888,2.699650068268036,0.202247191011236,225.36303370786518,234.93680910129456,6.381635619792247,1.0119377646695784,0.5675539080568183,0.4648470492134831,0.4544943820224719,17.825174495546648,0.3540465108043888,2.6394089764402806,0.0001394998354429587,5.0,0.08858997552245118,10.997210591425835,3.640449438202247,0.4565570025390636,0.4565570025390636,33.25066688162991,0.0013176238721468404,13.719101123595506,0.0,1.9328455532806448,1.1796308386863237,0.03483875441894147
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",4.329686619208567,97.0,3.0,2936.0886,-765.17524983,2.7259328,0.033870263795103384,13.927835051546392,13.920427341675033,1.0,3.0,0.8764948453608249,12.326460481099653,16.088324632714446,1.0879346139368866,457.7353951890034,418.2124369536844,0.7601229312194023,0.0,0.0,0.4167491408934708,0.25721698452987746,5.556087880874734,0.1699656357388316,3835.9385623241524,21.226804123711343,811.5544667178694,2.282474226804124,2.764484843163664,0.2061855670103093,226.80663230240543,241.28006695129108,7.578758697915857,1.1388649990990942,0.5996169406523675,0.473870803814433,0.44484536082474224,17.332502821082112,0.3788182482342453,1.2810036689389055,0.0007372057505911244,5.0103092783505145,0.08614101436148018,6.222297013968433,3.7113402061855667,0.4664120984331043,0.4664120984331043,47.13520183256933,0.0011755338161121207,13.927835051546392,17.380359425868747,1.8829608341164328,1.1644731386260756,0.03285791269458522
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",5.268449435406872,43.0,3.0,1547.44916,-353.63017306,0.0026214000000000003,0.04385439790697632,16.3953488372093,15.410868310631134,1.0,3.0,0.8420155038759689,16.410852713178297,21.954410811435565,1.1480966041894098,571.0961240310078,592.5811122843351,0.7233792260925985,0.0,0.0,0.38981395348837217,0.22520666069553386,6.3937653665713015,0.2057364341085272,3461.857100760221,20.612403100775193,1107.2687909793667,2.9944186046511634,3.805517840674904,0.18604651162790686,290.62813953488376,337.6206714034209,10.31323609599375,1.1202669960676663,0.4880455649394049,0.4275924960465116,0.5313953488372093,23.37418196791732,0.45307408360317697,0.8581885109020039,0.001563064800381452,6.1395348837209305,0.08816289097561088,5.7187857616948685,3.9069767441860463,0.4870356914766064,0.4870356914766064,21.4999517682584,0.0027140275183681023,16.3953488372093,400.4998210815512,1.9267269932286493,1.40295054750213,0.03895569601247923
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",5.176565986512956,14.0,3.0,513.5027200000002,-116.35464415,4.41e-05,0.05940283357142918,16.714285714285715,15.452362609131384,1.0,3.0,0.8542857142857142,16.714285714285708,22.53553505324545,1.196385543425532,571.8761904761905,613.5878633347844,0.7431033546574646,0.0,0.0,0.3706666666666667,0.20862886793334084,8.202648761955992,0.20285714285714285,3544.1112852380047,21.095238095238095,1136.4800799889067,3.0419047619047617,3.911918181004721,0.19047619047619047,293.94714285714286,348.0006998722339,11.91352058751382,1.3331814728356222,0.5375345993714812,0.4377387290476191,0.5214285714285714,23.96624610532389,0.4856209060564557,0.9786179428274788,0.004371237227419085,6.0,0.08499198694751026,3.3033319349512107,4.0,0.4998904006039188,0.4998904006039188,7.054900089873454,0.008036127640828184,16.714285714285715,130.26317925897294,1.8516401995451028,1.3788012952190951,0.03642513726321868
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,6.0,2.0,249.81036,-52.93304055,1.1342821,0.28384010833333306,19.0,15.556349186104045,1.0,2.0,1.413333333333333,28.33333333333333,28.33333333333333,0.09662295333333336,866.1999999999997,806.1333333333333,0.2075408216666668,0.0,0.0,0.3501666666666667,0.2618333333333333,2.5,0.2733333333333333,6200.399410993186,36.833333333333336,1427.8570000000002,5.073333333333333,4.926666666666667,0.3333333333333333,476.6,440.06666666666666,5.333333333333332,0.005000000000000338,0.4092413368333334,0.7656800983333333,0.6749999999999999,34.166666666666664,0.16666666666666666,1.064192912351852,0.007482687587759939,7.0,0.07361685668259631,3.331706378035074,4.666666666666667,0.5320943099266652,0.5320943099266652,2.9999924081366087,0.028235090876503964,19.0,0.0,0.9428090415820634,1.3575841205330577,0.024538952227532104
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",3.6430596555538655,13.0,3.0,314.3984,-65.19384606,0.9555405,0.03008017615384606,11.307692307692307,9.925759923510725,1.0,3.0,0.7758974358974359,11.897435897435901,14.498225877091615,0.7080232708563629,425.6564102564103,288.92740127654133,0.5647057620065314,0.0,0.0,0.5382307692307693,0.42153482592480496,8.233604432208782,0.2135897435897436,2863.457668129528,18.41025641025641,933.8143906181483,1.3876923076923076,1.2826082892561699,0.15384615384615385,159.40692307692308,118.42290513390994,4.2063788009045915,1.0561267218283426,0.2932713910056372,0.35674238230769234,0.6346153846153847,27.305296632606076,0.145047544858779,0.9981269727418892,0.014096839157704657,5.0,0.09071523890163004,3.9193489740285408,2.5384615384615383,0.5155936088385101,0.5155936088385101,6.402515795570201,0.009237060239434606,11.307692307692307,0.0,1.7371676600978792,0.9956119707914792,0.04884666710087771
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",3.5225902729082663,14.0,3.0,321.3394,-69.77184759999999,2.0000366,0.022672047142856755,10.714285714285714,9.801082822310804,1.0,3.0,0.7438095238095238,11.309523809523812,13.31312243708978,0.6196786374127156,433.70476190476194,282.88834275579507,0.5170645516461096,0.0,0.0,0.5850714285714286,0.5070300780032679,12.762793146051099,0.22166666666666668,2659.437931312654,17.119047619047617,859.4004151127717,1.36,1.1692034616326954,0.14285714285714285,158.82285714285715,109.21570763813213,8.215907362357981,1.4555992749264466,0.3184616983004869,0.3313644057142857,0.6571428571428571,31.36933450668488,0.06734350297014735,0.9512956259057944,0.004092965838080795,5.071428571428571,0.09242237603886193,5.310739152237188,2.357142857142857,0.5215705050450802,0.5215705050450802,5.5941257293612185,0.008738682755770916,10.714285714285714,15.643228728758292,1.7971065179155892,0.961116938907679,0.0528127863079211
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",3.7317831857268864,8.0,2.0,318.1816,-36.25229244,-0.0105148,0.5880946375000002,18.5,10.5,1.0,2.0,1.335,35.0,35.0,0.26903427125,822.525,777.475,0.32630154999999994,0.0,0.0,0.32575,0.13325,15.5,0.3675,4651.0067771053245,37.75,2229.64275,3.455,3.345,0.25,353.1425,325.7425,16.5,0.49125,0.055775665500000016,0.58370195875,1.1125,53.25,0.5,1.6157355742729342,0.0010666185639777114,4.0,0.056504400275890924,7.192451036883553,3.5,0.6980201356478315,0.6980201356478315,4.0,0.015436633843188682,18.5,45.19130307529761,0.5,1.0145883631132864,0.028252200137945462
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",4.109560280168486,11.0,3.0,339.0046,-53.42062847,0.9746841999999999,0.04510244999999991,14.272727272727273,11.306401317121274,1.0,3.0,0.7363636363636363,17.969696969696972,23.323846950005716,0.5085175713534568,545.6181818181818,467.62721914806707,0.6395795027700905,0.0,0.0,0.4835757575757576,0.3577007177647814,9.763408759079887,0.2672727272727273,2256.9921396340856,18.393939393939394,1495.729419098385,1.9478787878787882,2.1409224516514618,0.12121212121212124,212.46515151515152,203.35239406528873,9.811445500532392,0.4984081178821472,0.07455225902839797,0.2834026584848485,0.7984848484848485,32.911853224098884,0.3927721635398704,0.95804628356324,0.012770978874333705,5.0,0.08030329946015187,4.144513353111724,2.5454545454545454,0.6209993413680446,0.6209993413680446,5.4660489994589,0.009663569715278124,14.272727272727273,12.633872227086238,1.6160353486028345,1.1124390758573417,0.05110209965646029
