,nsites,nelements,bandgap,Unit Cell Mass,energy,atomStd,transition,other,FirstIonizationEnergy wmean,ICSDVolum wstd,NdValenc wstd,Electronegativity wmean,HHIr wstd,HeatCapacityMass wmean,NsValenc wmean,NsValenc wstd,MendeleevNumber wmean,BCCmagmom wmean,BCCmagmom wstd,Column wmean,GSefflatcn wstd,IsNonm wmean,GSestBCClatcn wstd,CovalentRadius wstd,GSvolume_p wstd,GSestFCClatcn wstd,NpUnfilled wmean,NpUnfilled wstd,BCCenergydiff wmean,NValanc wmean,NpValenc wmean,NUnfilled wstd,BCCvolume_p wstd,Row wstd,GSbandgap wmean,GSbandgap wstd,symmetry ops,ShannonForce,vy,vz,Hall Number,avgCentralDistance,li-ion fittability,maxForce,SpaceGroup,Xcm,Ycm,Zcm,deltaShannon,avgCentralDistance Std,oxidation flexibility Std,deltashannonmin
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",1.0,1.0,0.0,121.76,-3.8160462,0.0,0.0,1.0,8.60839,0.0,0.0,2.05,0.0,0.207,2.0,0.0,85.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.22744721,15.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.120533568220844,3.542886786080764,424.0,0.0,3.4944858844745186,0.0,139.0,0.0,0.0,0.0,0.06136402697387632,0.0,0.0,0.06136402697387632
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",89.0,3.0,3.3221,2654.27944,-700.4189686000003,13.86774510323149,1.0,3.0,3.5531581385767788,3.131940461464718,0.3813609606399357,0.8659925093632959,613.2073298568996,0.4315955056179776,0.5355805243445694,0.47937148787103706,20.827715355805246,0.0,0.0,3.636704119850188,0.9009356706100392,0.202247191011236,0.450467835479385,6.381635619792247,1.0119377646695784,0.5675539080568183,0.404494382022472,0.5720414409599036,0.4648470492134831,1.6142322097378277,0.8089887640449439,0.536064839558481,0.5314064817318352,0.3540465108043888,0.0,0.0,1.0,0.0,18.717046521607106,9.197740579054926,1.0,69.42405086046574,10.997210591425835,0.03075325468199585,1.0,42.90468941674022,44.61657644286053,33.25066688162991,0.001882676714753702,0.2794145237730727,1.9328455532806448,0.0013176238721468404
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",97.0,3.0,0.0,2936.0886,-765.17524983,13.920427341675033,1.0,3.0,3.5873512817869417,3.2865025694683583,0.38878723364208795,0.8764948453608249,633.3764969544927,0.4167491408934708,0.5395189003436426,0.4934353719018364,21.226804123711343,0.0,0.0,3.7010309278350513,0.9518325622768538,0.2061855670103093,0.4759162813129154,7.578758697915857,1.1388649990990942,0.5996169406523675,0.4123711340206186,0.5831808504631321,0.473870803814433,1.639175257731959,0.8247422680412372,0.5555756305344273,0.6699372585354479,0.3788182482342453,0.0,0.0,1.0,0.0,5.337366044597852,50.70525751830889,1.0,66.7934651274952,6.222297013968433,0.1550131639521199,1.0,34.27010117036255,34.27093481593689,47.13520183256933,0.0016559744478646546,0.3075850622171581,1.8829608341164328,0.0011755338161121207
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",43.0,3.0,0.0,1547.44916,-353.63017306,15.410868310631134,1.0,3.0,3.4548948294573645,2.6207046187535297,0.5262189999527795,0.8420155038759689,945.2966317574068,0.38981395348837217,0.5193798449612403,0.4247326366450457,20.612403100775193,0.0,0.0,3.4961240310077524,0.7747240431142052,0.18604651162790686,0.3873620217017916,10.31323609599375,1.1202669960676663,0.4880455649394049,0.372093023255814,0.5262189999527795,0.4275924960465116,1.6356589147286822,0.7441860465116279,0.7315628364281567,0.9790500713063004,0.45307408360317697,0.0,0.0,1.0,0.0,4.922216466972844,10.21707593604152,1.0,36.16337059384618,5.7187857616948685,0.11293741739245147,2.0,21.41957300017434,21.16252589816068,21.4999517682584,0.003919817314378521,0.3399813327614697,1.9267269932286493,0.0027140275183681023
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",14.0,3.0,0.0,513.5027200000002,-116.35464415,15.452362609131384,1.0,3.0,3.494362809523808,2.8568510168411483,0.5387480237611789,0.8542857142857142,984.8742682510484,0.3706666666666667,0.5238095238095237,0.4416008807378906,21.095238095238095,0.0,0.0,3.571428571428571,0.8532829884260836,0.19047619047619047,0.4266414943520869,11.91352058751382,1.3331814728356222,0.5375345993714812,0.3809523809523809,0.5387480237611789,0.4377387290476191,1.6666666666666667,0.7619047619047619,0.7589227357385346,1.173865255124373,0.4856209060564557,0.0,0.0,1.0,0.0,4.938658743593289,11.005940443824048,1.0,11.335096404591985,3.3033319349512107,0.09421869148784492,6.0,7.09405119068904,7.040656608049614,7.054900089873454,0.01141146506570547,0.2840933449271581,1.8516401995451028,0.008036127640828184
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",6.0,2.0,0.0,249.81036,-52.93304055,15.556349186104045,1.0,2.0,5.665825,2.7616666666666667,0.6666666666666666,1.413333333333333,1299.9999999999998,0.3501666666666667,0.8333333333333333,0.5,36.833333333333336,0.0,0.0,6.166666666666666,0.6496301285420816,0.3333333333333333,0.3248150645000001,5.333333333333332,0.005000000000000338,0.4092413368333334,0.6666666666666666,0.6666666666666666,0.7656800983333333,2.833333333333333,1.3333333333333333,0.4999999999999999,0.5866666666666664,0.16666666666666666,0.0,0.0,12.0,-1.9835423455799044,2.9886821662084104,9.71034189599341,456.0,4.341982117943633,3.331706378035074,0.04489612552655964,164.0,2.9999957553547416,2.999889274107033,2.9999924081366087,0.0202392829112291,0.1539219288388884,0.9428090415820634,0.01624137892859167
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",13.0,3.0,0.0,314.3984,-65.19384606,9.925759923510725,1.0,3.0,3.242418358974359,2.241965800561546,1.0878565864408425,0.7758974358974359,475.5563543407302,0.5382307692307693,0.4871794871794872,0.3098216916306301,18.41025641025641,0.0,0.0,3.4102564102564106,0.4655393145059592,0.15384615384615385,0.23276965731975915,4.2063788009045915,1.0561267218283426,0.2932713910056372,0.3076923076923077,0.43514263457633706,0.35674238230769234,1.8717948717948716,0.6153846153846154,0.3098216916306301,1.0502907145839933,0.145047544858779,0.0,0.0,1.0,-1.047809494376711,8.095031195307325,3.4646726689631184,1.0,10.43589643920605,3.9193489740285408,0.19719064830427507,1.0,5.0889600855613635,7.716474499327592,6.402515795570201,0.01478357852744725,0.19800557290526105,1.7371676600978792,0.009237060239434606
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",14.0,3.0,0.0,321.3394,-69.77184759999999,9.801082822310804,1.0,3.0,3.139191309523808,2.3842752289421068,1.0101525445522106,0.7438095238095238,582.4823725107175,0.5850714285714286,0.4761904761904762,0.2756151643521482,17.119047619047617,0.0,0.0,3.1904761904761902,0.5055264348108299,0.14285714285714285,0.2527632174018147,8.215907362357981,1.4555992749264466,0.3184616983004869,0.2857142857142857,0.40406101782088427,0.3313644057142857,1.761904761904762,0.5714285714285714,0.2756151643521482,1.512320640215184,0.06734350297014735,0.0,0.0,1.0,-0.4853080287600218,6.226262205592247,4.591698713312123,1.0,10.378015370483013,5.310739152237188,0.0886731665357621,1.0,6.927324972799426,6.727472854140626,5.5941257293612185,0.014524462588940537,0.1862962532591564,1.7971065179155892,0.008738682755770916
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",8.0,2.0,0.0,318.1816,-36.25229244,10.5,1.0,2.0,5.3361075,1.3874999999999995,2.5,1.335,250.0,0.32575,0.75,0.25,37.75,0.0,0.0,6.75,0.08853835020191014,0.25,0.04426917499999994,16.5,0.49125,0.055775665500000016,0.5,0.5,0.58370195875,4.25,1.0,0.25,0.9375,0.5,0.0,0.0,16.0,-1.873843282840612,6.115885339875679,6.115885341591157,424.0,6.4204749694770475,7.192451036883553,0.008532948511821691,139.0,2.4022709084370435,5.5977290915629565,4.0,0.012393075278758,0.2796232791271289,0.5,0.00934951671432732
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",11.0,3.0,0.0,339.0046,-53.42062847,11.306401317121274,1.0,3.0,3.0773599090909087,0.8704225671262881,1.7141982574219337,0.7363636363636363,397.3280824990002,0.4835757575757576,0.4545454545454545,0.1963860817699352,18.393939393939394,0.0,0.0,3.363636363636364,0.11834433445095315,0.12121212121212124,0.05917216729279316,9.811445500532392,0.4984081178821472,0.07455225902839797,0.2424242424242425,0.3428396514843867,0.2834026584848485,2.1515151515151514,0.4848484848484849,0.1963860817699352,0.7788457707524107,0.3927721635398704,0.0,0.0,2.0,-0.30100035920606383,5.998616330113161,5.998632974515113,30.0,7.741597693456852,4.144513353111724,0.14575361010754587,44.0,3.5725871926855866,5.533965130377953,5.4660489994589,0.01580773658713638,0.30179972306039354,1.6160353486028345,0.009663569715278124
"mp-300006944, Li3Ti8O16, Li7Ti16O32, mp-531914, mp-530141",54.0,3.0,0.0,1319.4987999999996,-451.25240787,6.924242219586247,1.0,3.0,3.5640607037037038,3.2609016110850786,0.2793508271354261,0.8679012345679012,82.11500813983153,0.36575308641975307,0.6296296296296297,0.43927029320141225,21.469135802469136,0.0,0.0,3.5925925925925917,0.981423829162318,0.19753086419753085,0.4907119147141584,14.100992235120788,1.5789473437153847,0.6182582706753187,0.3950617283950617,0.5587016542708523,0.4651527554320987,1.6172839506172838,0.7901234567901234,0.922710466224928,1.360914557068708,0.4539450940950675,0.0,0.0,8.0,0.0,21.83192493730012,9.617682870648563,278.0,42.914715122707314,6.648186963383112,0.0300991154036078,59.0,25.041060742154517,23.58949276801161,27.0,0.0035308634472804514,0.2896379034135917,1.4325244152454604,0.002184273187508149
"mp-300006944, Li7Ti16O32, LiTi2O4, mp-530141, mp-5670",55.0,3.0,0.0,1326.4398,-455.51530659,6.956393099780781,1.0,3.0,3.531936684848485,3.06025829527386,0.2742717211875093,0.8580606060606061,102.52281432140848,0.3808121212121212,0.6242424242424242,0.4241558353193379,21.08484848484848,0.0,0.0,3.533333333333333,0.9163999306783628,0.19393939393939394,0.4581999654735411,12.782356986790075,1.4090827581696403,0.57729578144904,0.3878787878787879,0.5485434423750186,0.4567218091515151,1.5939393939393938,0.7757575757575758,0.8986470802485824,1.1976593548297456,0.4285495643554833,0.0,0.0,4.0,0.0,14.541327325146892,9.619614473739325,123.0,44.567102797777736,11.518042560172008,0.029648306902231362,121.0,25.64114620062109,27.356100182594172,25.623136071237703,0.003562886517256829,0.3020986271425919,1.5098574176019413,0.0021832905978499814
"mp-300006944, LiTi2O4, LiTiO2, mp-5670, mp-6944",14.0,3.0,0.0,333.3452,-114.92282305,6.983946606617324,1.0,3.0,3.5009599523809523,2.8716181726868237,0.2693740118805895,0.8485714285714286,128.4832148879242,0.3953333333333333,0.6190476190476191,0.4096345365258393,20.714285714285708,0.0,0.0,3.476190476190476,0.8546115169004272,0.19047619047619047,0.4273057585856421,11.51711730120455,1.2455184869526763,0.5383715198667604,0.3809523809523809,0.5387480237611789,0.4485919680952381,1.5714285714285714,0.7619047619047619,0.8754655386119159,1.041012284252073,0.40406101782088427,0.0,0.0,48.0,0.0,5.677429217287521,5.677429214,525.0,9.584035134439755,6.651147177777778,0.00014582072040694353,227.0,5.994828784095287,5.994828784095287,5.994828784095287,0.014372025071578653,0.3297748153557535,1.5779087167410368,0.008727596799995149
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",12.0,2.0,1.712,319.4632,-105.53608265,6.599663291074443,1.0,2.0,5.67737,2.8416666666666663,0.3333333333333333,1.403333333333333,99.99999999999996,0.3933333333333333,1.0,0.3333333333333333,36.16666666666666,0.0,0.0,6.0,0.6806628174482414,0.3333333333333333,0.34033140883333346,4.666666666666664,0.2533333333333334,0.4287907058333333,0.6666666666666666,0.6666666666666666,0.7846732666666666,2.6666666666666665,1.3333333333333333,0.6666666666666666,0.3633333333333333,0.0,0.0,0.0,48.0,-0.8679325670873069,5.660132776957978,5.6601327710000024,525.0,8.047820840546395,6.6297935444444445,0.0025618334434736392,227.0,5.100985653433635,5.100985653433635,5.100985653433635,0.013312184512986257,0.23522776302288004,0.4714045207910317,0.00881219979540267
"mp-300007936, Li5(NbS2)7, LiNbS2, mp-767171, mp-7936",52.0,3.0,0.0,2267.91932,-342.31541455,13.522936903099385,1.0,3.0,2.8116754487179487,4.416526144912045,0.5076664070057264,0.6694871794871795,807.0937953406143,0.3804743589743589,0.5128205128205128,0.400115039341724,20.076923076923077,0.0,0.0,3.3846153846153846,1.1989402402016067,0.1794871794871795,0.5994701202424699,13.141169480138359,4.691597511476831,0.755285023049044,0.35897435897435903,0.5076664070057264,0.1967147001602564,1.5897435897435896,0.7179487179487181,0.6911195883047977,2.1790337914543225,0.5282922507188851,0.3952307692307692,0.5589407141133047,1.0,-0.5764472299486837,5.554589812180102,12.319703883854466,1.0,44.105725759837206,6.4994935952840756,0.10356816662025306,15.0,25.98838091430821,25.966025062570683,25.920413026984736,0.013374906733537249,0.2756204258589105,3.0118110693002915,0.0025727357586634034
"mp-300007936, Li9(NbS2)14, Li5(NbS2)7, mp-767218, mp-767171",51.0,3.0,0.0,2260.9783199999997,-338.31611803,13.435765704897266,1.0,3.0,2.8315663464052285,4.617484787771796,0.5176206502803485,0.6762091503267974,838.3417353968576,0.36452287581699344,0.5163398692810458,0.4132662734519539,20.46405228758169,0.0,0.0,3.4444444444444446,1.2620318868111997,0.18300653594771246,0.6310159435455558,14.498046228377554,4.880596010857848,0.7950302698689882,0.3660130718954249,0.5176206502803485,0.20054340584967328,1.6143790849673203,0.7320261437908497,0.7128079524448706,2.338734739733359,0.5567461291254079,0.4029803921568628,0.5699003359586639,1.0,0.0,11.26024954923415,12.333820421074732,1.0,43.2182340402234,6.500222193131792,0.08950871404324105,2.0,25.36547736853648,25.46629901713929,25.500004907839106,0.01353539745537603,0.29363677568484936,2.9236076579789496,0.0025669919408128627
"mp-300007955, Sb, Li3Sb, mp-80, mp-7955",2.0,1.0,0.0,243.52,-7.69503163,0.0,0.0,1.0,8.60839,0.0,0.0,2.05,0.0,0.207,2.0,0.0,85.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.22744721,15.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.344698154643085,5.235208175,488.0,0.9217732792531608,3.7712322888888887,0.0,194.0,1.0,1.0,1.0,0.031546911564760416,0.13560818350177986,0.0,0.031546911564760416
"mp-300009158, CuO2, LiCuO2, mp-704672, mp-9158",6.0,2.0,0.0,191.0896,-27.61769401,9.899494936611664,1.0,2.0,5.8270800000000005,3.818333333333333,1.6666666666666663,1.4633333333333332,83.33333333333334,0.3701666666666665,0.8333333333333333,0.5,39.66666666666666,0.0,0.0,7.166666666666666,0.8179390287115681,0.3333333333333333,0.4089695145000001,0.0,1.1900000000000002,0.5152693,0.6666666666666666,0.6666666666666666,0.7719746883333333,3.833333333333333,1.3333333333333333,0.5,0.5966666666666667,0.0,0.0,0.0,4.0,0.06720971642977977,3.915055324817112,10.794771999229233,173.0,3.7609305368559642,3.0599627512085146,0.19291155787855585,69.0,1.4999978203512068,2.9999982284605755,2.9994161726582287,0.01324086069846464,0.2161384930529919,0.4714045207910317,0.01087973298660143
