,density,energy_per_atom,nelements,bandgap,volume,energy,formationenergy_pa,total_magnetization,transition,metalloid,rare,other,alkaline,ICSDVolum wmean,NdValenc wmean,IsMetalloid wmean,IsMetalloid wstd,BulkModulus wstd,Polarizability wmean,Polarizability wstd,Number wstd,AtomicWeigh wstd,BoilingT wstd,HHIr wmean,HHIr wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,IsFBlock wstd,MiracleRadius wmean,n_ws^third wmean,n_ws^third wstd,BCCmagmom wmean,BCCmagmom wstd,HeatFusion wstd,GSefflatcn wstd,BCCvolume_padiff wmean,IsNonm wmean,IsNonm wstd,MeltingT wstd,GSestBCClatcn wstd,GSvolume_p wmean,GSestFCClatcn wstd,NpUnfilled wmean,BCCenergydiff wmean,ShearModulus wmean,phi wmean,phi wstd,NUnfilled wstd,BCCvolume_p wmean,ShannonForce,meanbv,stdbv,meanValenceOcc,vx,vy,strainlatticemean,strainlatticestd,Coordination,numberDensity,li-ion fittability,maxForce,oxidation flexibility,avgIonicRadVol,SpaceGroup,deltaShannon,detLatticeVec,avgCentralDistance Std,oxidation flexibility Std,deltaShannonstd,deltashannonmin,deltashannonmax,chargedensityvoldens
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",7.174413697087316,-3.8160462,1.0,0.0,28.181706207302266,-3.8160462,0.3082833800000002,1.0199999999999999e-05,0.0,1.0,0.0,1.0,0.0,30.21,10.0,1.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,1.26,0.0,0.0,0.0,0.0,0.0,-4.47,0.0,0.0,0.0,0.0,31.56,0.0,3.0,0.22744721,20.0,4.4,0.0,0.0,27.09,0.0,-2.210026580761672,1.6518798738549585,577.0,3.1205335664243603,3.120533568220844,28.181706207302266,0.15754052700363882,8.0,0.035484011955986064,3.4944858844745186,0.0,8.0,0.9150123925355664,139.0,0.06136402697387632,29.03564008708974,0.0,0.0,0.0,0.06136402697387632,0.06136402697387632,1.7564620530847674
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",4.387228733557704,-7.869876051685392,3.0,3.3221,1004.6283394383028,-700.4189686000003,-2.8908447468258434,1.98e-05,1.0,0.0,0.0,3.0,0.0,6.111797752808987,0.2696629213483146,0.0,0.0,15.735997733050644,2.7700486891385765,1.7229811462483444,3.1575632665234465,7.131661828238649,406.16651117254287,961.7977528089888,613.2073298568996,0.06367041198501873,0.09004356015109594,0.0,0.0,0.0,32.262172284644194,0.17295880149812734,0.13578344737305173,0.0,0.0,2.699650068268036,0.9009356706100392,-0.3642946317082396,0.202247191011236,0.2860207204799518,234.93680910129456,0.450467835479385,4.123583021221348,0.5675539080568183,0.404494382022472,0.4648470492134831,2.8292134831460682,0.4544943820224719,0.3403836106493481,0.536064839558481,3.759288389513108,0.0,-0.4162274302601133,0.6888915562959762,303.2808988764045,15.402585857461036,18.717046521607106,1004.6283394383028,5.6160431477669235,5.0,0.08858997552245118,10.997210591425835,0.03075325468199585,3.640449438202247,0.4565570025390636,1.0,0.001882676714753702,1035.0695827516224,0.2794145237730727,1.9328455532806448,0.0007630147665547433,0.0013176238721468404,0.003245584269337581,1.1796308386863237
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",4.329686619208567,-7.888404637422679,3.0,0.0,1126.0605731080834,-765.17524983,-2.8495875509793813,2.7259328,1.0,0.0,0.0,3.0,0.0,6.090412371134021,0.274914089347079,0.0,0.0,16.088324632714446,2.666030927835052,1.5907214195357209,3.2437423462385526,7.325039341184001,418.2124369536844,953.2646048109964,633.3764969544927,0.05841924398625429,0.0826172871489437,0.0,0.0,0.0,31.90378006872852,0.1699656357388316,0.13805262723690284,0.0,0.0,2.764484843163664,0.9518325622768538,-0.37084765177353934,0.2061855670103093,0.29159042523156603,241.28006695129108,0.4759162813129154,4.09617411225464,0.5996169406523675,0.4123711340206186,0.473870803814433,2.8570446735395185,0.44484536082474224,0.3430907080131513,0.5555756305344273,3.7253264604810994,0.0,-0.43509217889729895,0.6930928283816178,306.22680412371136,5.330060581314432,5.337366044597852,1126.0605731080834,6.294869970630077,5.0103092783505145,0.08614101436148018,6.222297013968433,0.1550131639521199,3.7113402061855667,0.4664120984331043,1.0,0.0016559744478646546,1160.181334533832,0.3075850622171581,1.8829608341164328,0.0006656344806709718,0.0011755338161121207,0.00289558662551515,1.1644731386260756
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",5.268449435406872,-8.223957513023256,3.0,0.0,487.73355233887906,-353.63017306,-2.727400267674419,0.0026214000000000003,1.0,0.0,0.0,3.0,0.0,6.0918604651162775,0.372093023255814,0.0,0.0,21.954410811435565,2.9301782945736434,1.7637777458235664,4.527304339920483,10.353023692465342,592.5811122843351,1139.5348837209306,945.2966317574068,0.05426356589147288,0.07674027082644702,0.0,0.0,0.0,33.457364341085274,0.2057364341085272,0.18967938880285967,0.0,0.0,3.805517840674904,0.7747240431142052,-0.3347545219620153,0.18604651162790686,0.26310949997638977,337.6206714034209,0.3873620217017916,4.2855297157604655,0.4880455649394049,0.372093023255814,0.4275924960465116,3.7627906976744185,0.5313953488372093,0.4638733392331045,0.7315628364281567,3.9507751937984494,0.0,-0.09680649791421968,0.7406845990777791,294.04651162790697,8.322963664693779,4.922216466972844,487.73355233887906,2.726513444842952,6.1395348837209305,0.08816289097561088,5.7187857616948685,0.11293741739245147,3.9069767441860463,0.4870356914766064,2.0,0.003919817314378521,502.5123667082994,0.3399813327614697,1.9267269932286493,0.0014947683911967955,0.0027140275183681023,0.006685219664252685,1.40295054750213
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",5.176565986512956,-8.311046010714287,3.0,0.0,164.72141083895573,-116.35464415,-2.7290672971428567,4.41e-05,1.0,0.0,0.0,3.0,0.0,6.065238095238095,0.3809523809523809,0.0,0.0,22.53553505324545,2.806809523809523,1.7110109051260654,4.6613186070534365,10.657467901643669,613.5878633347844,1133.3333333333333,984.8742682510484,0.047619047619047616,0.06734350297014738,0.0,0.0,0.0,33.047619047619044,0.20285714285714285,0.1963891735381388,0.0,0.0,3.911918181004721,0.8532829884260836,-0.3420634920619046,0.19047619047619047,0.2693740118805895,348.0006998722339,0.4266414943520869,4.255873015871429,0.5375345993714812,0.3809523809523809,0.4377387290476191,3.8190476190476175,0.5214285714285714,0.4792638913490357,0.7589227357385346,3.9138095238095243,0.0,-0.11226695969346737,0.7470546162459243,297.42857142857144,2.965698867310482,4.938658743593289,164.72141083895573,0.9208206799639408,6.0,0.08499198694751026,3.3033319349512107,0.09421869148784492,4.0,0.4998904006039188,6.0,0.01141146506570547,169.71263430878685,0.2840933449271581,1.8516401995451028,0.004291976507359728,0.008036127640828184,0.019794669790677732,1.3788012952190951
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,-8.822173425,2.0,0.0,81.50307239915685,-52.93304055,-2.6280075225000004,1.1342821,1.0,0.0,0.0,2.0,0.0,8.811666666666666,0.6666666666666666,0.0,0.0,28.33333333333333,2.8839999999999995,2.349333333333333,4.166666666666667,10.151263333333333,806.1333333333333,1633.333333333333,1299.9999999999998,0.0,0.0,0.0,0.0,0.0,45.16666666666666,0.2733333333333333,0.2733333333333333,0.0,0.0,4.926666666666667,0.6496301285420816,-0.5916666666666666,0.3333333333333333,0.3333333333333333,440.06666666666666,0.3248150645000001,6.065,0.4092413368333334,0.6666666666666666,0.7656800983333333,6.333333333333332,0.6749999999999999,0.6749999999999999,0.4999999999999999,5.473333333333333,-1.9835423455799044,0.046050974306401336,0.4862453562894242,29890.33333333333,2.988684623095708,2.9886821662084104,81.50307239915685,0.4556160256490033,7.0,0.07361685668259631,3.331706378035074,0.04489612552655964,4.666666666666667,0.5320943099266652,164.0,0.0202392829112291,83.9726969959237,0.1539219288388884,0.9428090415820634,0.005653890033311267,0.01624137892859167,0.028235090876503964,1.3575841205330577
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",3.6430596555538655,-5.014911235384616,3.0,0.0,143.30558081974482,-65.19384606,-1.5278891674999997,0.9555405,1.0,0.0,0.0,3.0,0.0,5.797692307692307,0.7692307692307693,0.0,0.0,14.498225877091615,3.0923589743589748,3.1373403737312784,2.355906589402085,5.1372121373940836,288.92740127654133,623.0769230769231,475.5563543407302,0.10256410256410256,0.145047544858779,0.0,0.0,0.0,35.128205128205124,0.2135897435897436,0.1518126288990087,0.0,0.0,1.2826082892561699,0.4655393145059592,-0.2808547008512818,0.15384615384615385,0.2175713172881685,118.42290513390994,0.23276965731975915,3.9541880341846163,0.2932713910056372,0.3076923076923077,0.35674238230769234,4.123076923076924,0.6346153846153847,0.45289992624780395,0.3098216916306301,3.673333333333334,-1.047809494376711,-0.4180779996167717,0.4206553640157133,17908.53846153846,5.099976308850827,8.095031195307325,143.30558081974482,0.8011025506700974,5.0,0.09071523890163004,3.9193489740285408,0.19719064830427507,2.5384615384615383,0.5155936088385101,1.0,0.01478357852744725,147.64788322416396,0.19800557290526105,1.7371676600978792,0.005812941146945091,0.009237060239434606,0.02275281895066603,0.9956119707914792
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",3.5225902729082663,-4.9837034,3.0,0.0,151.47846874347024,-69.77184759999999,-1.6094075098214289,2.0000366,1.0,0.0,0.0,3.0,0.0,5.8985714285714295,0.7142857142857143,0.0,0.0,13.31312243708978,3.4508809523809525,3.7266549564454037,2.101991281366024,4.581633491435262,282.88834275579507,678.5714285714286,582.4823725107175,0.11904761904761905,0.16835875742536846,0.0,0.0,0.0,36.23809523809524,0.22166666666666668,0.15739193823770714,0.0,0.0,1.1692034616326954,0.5055264348108299,-0.2627777777738092,0.14285714285714285,0.20203050891044214,109.21570763813213,0.2527632174018147,4.066825396821429,0.3184616983004869,0.2857142857142857,0.3313644057142857,3.928571428571429,0.6571428571428571,0.4654107249055858,0.2756151643521482,3.804047619047618,-0.4853080287600218,-0.33793731355372536,0.4110764127643746,16813.285714285714,5.040407117720688,6.226262205592247,151.47846874347024,0.8467903830949335,5.071428571428571,0.09242237603886193,5.310739152237188,0.0886731665357621,2.357142857142857,0.5215705050450802,1.0,0.014524462588940537,156.0684178248661,0.1862962532591564,1.7971065179155892,0.005643781043258875,0.008738682755770916,0.02152521056001396,0.961116938907679
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",3.7317831857268864,-4.531536555,2.0,0.0,141.58189381603628,-36.25229244,-0.3655114206249994,-0.0105148,1.0,0.0,0.0,2.0,0.0,7.2925,2.5,0.0,0.0,35.0,1.7380000000000002,1.337,5.25,11.88665,777.475,500.0,250.0,0.0,0.0,0.0,0.0,0.0,47.5,0.3675,0.3675,0.0,0.0,3.345,0.08853835020191014,-0.44125,0.25,0.25,325.7425,0.04426917499999994,5.04375,0.055775665500000016,0.5,0.58370195875,12.0,1.1125,1.1125,0.25,4.6025,-1.873843282840612,-0.5915502051566236,0.3117580786958009,22809.0,6.115885341287942,6.115885339875679,141.58189381603626,0.7914668473895288,4.0,0.056504400275890924,7.192451036883553,0.008532948511821691,3.5,0.6980201356478315,139.0,0.012393075278758,145.87196678055585,0.2796232791271289,0.5,0.00304355856443068,0.00934951671432732,0.015436633843188682,1.0145883631132864
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",4.109560280168486,-4.85642077,3.0,0.0,136.9806729480452,-53.42062847,-1.3059873322727271,0.9746841999999999,1.0,0.0,0.0,3.0,0.0,5.502121212121213,1.2121212121212122,0.0,0.0,23.323846950005716,3.0549393939393936,2.654289958992715,4.180720101768315,9.215921721578113,467.62721914806707,624.2424242424241,397.3280824990002,0.0909090909090909,0.128564869306645,0.0,0.0,0.0,36.84848484848485,0.2672727272727273,0.2182272679934104,0.0,0.0,2.1409224516514618,0.11834433445095315,-0.22151515151212087,0.12121212121212124,0.17141982574219336,203.35239406528873,0.05917216729279316,3.953939393936364,0.07455225902839797,0.2424242424242425,0.2834026584848485,6.1999999999999975,0.7984848484848485,0.6607902161999133,0.1963860817699352,3.7324242424242433,-0.30100035920606383,-0.1406127615178509,0.4186035188256016,13028.818181818182,3.647055816020496,5.998616330113161,136.9806729480452,0.7657452407887475,5.0,0.08030329946015187,4.144513353111724,0.14575361010754587,2.5454545454545454,0.6209993413680446,44.0,0.01580773658713638,141.13132431904396,0.30179972306039354,1.6160353486028345,0.005583107962193419,0.009663569715278124,0.02380340134734476,1.1124390758573417
