,density,volume,formationenergy_pa,total_magnetization,transition,metalloid,rare,other,HHIp wstd,NdValenc wmean,Polarizability wstd,Number wstd,AtomicWeigh wstd,BoilingT wstd,BCCfermi wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,HeatCapacityMass wstd,IsFBlock wmean,IsFBlock wstd,BCCenergy_p wstd,n_ws^third wmean,AtomicVolum wmean,NsUnfilled wstd,BCCmagmom wmean,HeatFusion wmean,HeatFusion wstd,GSefflatcn wstd,IsNonm wmean,IsNonm wstd,MeltingT wstd,GSestBCClatcn wstd,GSestFCClatcn wstd,NpUnfilled wmean,BCCenergydiff wmean,phi wmean,Crystal System,meanbv,stdbv,meanValenceOcc,vx,strainlatticemean,strainlatticestd,Coordination,numberDensity,maxForce,oxidation flexibility,positiveoxidationpop,avgIonicRadVol,SpaceGroup,deltaShannon,detLatticeVec,angle anisotropy,oxidation flexibility Std,deltaShannonstd,deltashannonmin,deltashannonmax,chargedensityvoldens
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",7.174413697087316,28.181706207302266,0.3082833800000002,1.0199999999999999e-05,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.0,0.0,0.0,0.0,1.26,30.191423443789105,0.0,0.0,19.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.22744721,4.4,4.0,-2.210026580761672,1.6518798738549585,577.0,3.1205335664243603,28.181706207302266,0.15754052700363882,8.0,0.035484011955986064,0.0,8.0,1.0,0.9150123925355664,139.0,0.06136402697387632,29.03564008708974,12.157711170842955,0.0,0.0,0.06136402697387632,0.06136402697387632,1.7564620530847674
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",4.387228733557704,1004.6283394383028,-2.8908447468258434,1.98e-05,1.0,0.0,0.0,3.0,616.8640519102937,0.2696629213483146,1.7229811462483444,3.1575632665234465,7.131661828238649,406.16651117254287,0.7438076492240414,0.06367041198501873,0.09004356015109594,0.0,0.0,0.4315955056179776,0.272285166169023,0.0,0.0,0.7016859885133757,0.17295880149812734,3762.8049976458087,0.09280533103643346,0.0,2.257977528089888,2.699650068268036,0.9009356706100392,0.202247191011236,0.2860207204799518,234.93680910129456,0.450467835479385,0.5675539080568183,0.404494382022472,0.4648470492134831,0.4544943820224719,2.0,-0.4162274302601133,0.6888915562959762,303.2808988764045,15.402585857461036,1004.6283394383028,5.6160431477669235,5.0,0.08858997552245118,0.03075325468199585,3.640449438202247,0.39325842696629215,0.4565570025390636,1.0,0.001882676714753702,1035.0695827516224,10.21736965073578,1.9328455532806448,0.0007630147665547433,0.0013176238721468404,0.003245584269337581,1.1796308386863237
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",4.329686619208567,1126.0605731080834,-2.8495875509793813,2.7259328,1.0,0.0,0.0,3.0,638.6667969850319,0.274914089347079,1.5907214195357209,3.2437423462385526,7.325039341184001,418.2124369536844,0.7601229312194023,0.05841924398625429,0.0826172871489437,0.0,0.0,0.4167491408934708,0.25721698452987746,0.0,0.0,0.7315986698115874,0.1699656357388316,3835.9385623241524,0.0907893114338344,0.0,2.282474226804124,2.764484843163664,0.9518325622768538,0.2061855670103093,0.29159042523156603,241.28006695129108,0.4759162813129154,0.5996169406523675,0.4123711340206186,0.473870803814433,0.44484536082474224,2.0,-0.43509217889729895,0.6930928283816178,306.22680412371136,5.330060581314432,1126.0605731080834,6.294869970630077,5.0103092783505145,0.08614101436148018,0.1550131639521199,3.7113402061855667,0.38144329896907214,0.4664120984331043,1.0,0.0016559744478646546,1160.181334533832,0.03866043771919903,1.8829608341164328,0.0006656344806709718,0.0011755338161121207,0.00289558662551515,1.1644731386260756
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",5.268449435406872,487.73355233887906,-2.727400267674419,0.0026214000000000003,1.0,0.0,0.0,3.0,944.4577707554423,0.372093023255814,1.7637777458235664,4.527304339920483,10.353023692465342,592.5811122843351,0.7233792260925985,0.05426356589147288,0.07674027082644702,0.0,0.0,0.38981395348837217,0.22520666069553386,0.0,0.0,1.0297416405685178,0.2057364341085272,3461.857100760221,0.1144559927149876,0.0,2.9944186046511634,3.805517840674904,0.7747240431142052,0.18604651162790686,0.26310949997638977,337.6206714034209,0.3873620217017916,0.4880455649394049,0.372093023255814,0.4275924960465116,0.5313953488372093,2.0,-0.09680649791421968,0.7406845990777791,294.04651162790697,8.322963664693779,487.73355233887906,2.726513444842952,6.1395348837209305,0.08816289097561088,0.11293741739245147,3.9069767441860463,0.4418604651162791,0.4870356914766064,2.0,0.003919817314378521,502.5123667082994,8.825080633007698,1.9267269932286493,0.0014947683911967955,0.0027140275183681023,0.006685219664252685,1.40295054750213
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",5.176565986512956,164.72141083895573,-2.7290672971428567,4.41e-05,1.0,0.0,0.0,3.0,981.2528434899657,0.3809523809523809,1.7110109051260654,4.6613186070534365,10.657467901643669,613.5878633347844,0.7431033546574646,0.047619047619047616,0.06734350297014738,0.0,0.0,0.3706666666666667,0.20862886793334084,0.0,0.0,1.0714950694071734,0.20285714285714285,3544.1112852380047,0.11664236870396084,0.0,3.0419047619047617,3.911918181004721,0.8532829884260836,0.19047619047619047,0.2693740118805895,348.0006998722339,0.4266414943520869,0.5375345993714812,0.3809523809523809,0.4377387290476191,0.5214285714285714,2.0,-0.11226695969346737,0.7470546162459243,297.42857142857144,2.965698867310482,164.72141083895573,0.9208206799639408,6.0,0.08499198694751026,0.09421869148784492,4.0,0.42857142857142855,0.4998904006039188,6.0,0.01141146506570547,169.71263430878685,12.121956283235939,1.8516401995451028,0.004291976507359728,0.008036127640828184,0.019794669790677732,1.3788012952190951
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,81.50307239915685,-2.6280075225000004,1.1342821,1.0,0.0,0.0,2.0,1250.0,0.6666666666666666,2.349333333333333,4.166666666666667,10.151263333333333,806.1333333333333,0.2075408216666668,0.0,0.0,0.0,0.0,0.3501666666666667,0.2618333333333333,0.0,0.0,0.8623030516666668,0.2733333333333333,6200.399410993186,0.16666666666666666,0.0,5.073333333333333,4.926666666666667,0.6496301285420816,0.3333333333333333,0.3333333333333333,440.06666666666666,0.3248150645000001,0.4092413368333334,0.6666666666666666,0.7656800983333333,0.6749999999999999,5.0,0.046050974306401336,0.4862453562894242,29890.33333333333,2.988684623095708,81.50307239915685,0.4556160256490033,7.0,0.07361685668259631,0.04489612552655964,4.666666666666667,0.3333333333333333,0.5320943099266652,164.0,0.0202392829112291,83.9726969959237,14.141948069938623,0.9428090415820634,0.005653890033311267,0.01624137892859167,0.028235090876503964,1.3575841205330577
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",3.6430596555538655,143.30558081974482,-1.5278891674999997,0.9555405,1.0,0.0,0.0,3.0,284.8809110221775,0.7692307692307693,3.1373403737312784,2.355906589402085,5.1372121373940836,288.92740127654133,0.5647057620065314,0.10256410256410256,0.145047544858779,0.0,0.0,0.5382307692307693,0.42153482592480496,0.0,0.0,0.22922781095666844,0.2135897435897436,2863.457668129528,0.13074409009212268,0.0,1.3876923076923076,1.2826082892561699,0.4655393145059592,0.15384615384615385,0.2175713172881685,118.42290513390994,0.23276965731975915,0.2932713910056372,0.3076923076923077,0.35674238230769234,0.6346153846153847,2.0,-0.4180779996167717,0.4206553640157133,17908.53846153846,5.099976308850827,143.30558081974482,0.8011025506700974,5.0,0.09071523890163004,0.19719064830427507,2.5384615384615383,0.5384615384615384,0.5155936088385101,1.0,0.01478357852744725,147.64788322416396,3.268385588434373,1.7371676600978792,0.005812941146945091,0.009237060239434606,0.02275281895066603,0.9956119707914792
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",3.5225902729082663,151.47846874347024,-1.6094075098214289,2.0000366,1.0,0.0,0.0,3.0,360.7594659745597,0.7142857142857143,3.7266549564454037,2.101991281366024,4.581633491435262,282.88834275579507,0.5170645516461096,0.11904761904761905,0.16835875742536846,0.0,0.0,0.5850714285714286,0.5070300780032679,0.0,0.0,0.16275141681024138,0.22166666666666668,2659.437931312654,0.14677176197545186,0.0,1.36,1.1692034616326954,0.5055264348108299,0.14285714285714285,0.20203050891044214,109.21570763813213,0.2527632174018147,0.3184616983004869,0.2857142857142857,0.3313644057142857,0.6571428571428571,2.0,-0.33793731355372536,0.4110764127643746,16813.285714285714,5.040407117720688,151.47846874347024,0.8467903830949335,5.071428571428571,0.09242237603886193,0.0886731665357621,2.357142857142857,0.5714285714285714,0.5215705050450802,1.0,0.014524462588940537,156.0684178248661,13.140557720247287,1.7971065179155892,0.005643781043258875,0.008738682755770916,0.02152521056001396,0.961116938907679
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",3.7317831857268864,141.58189381603628,-0.3655114206249994,-0.0105148,1.0,0.0,0.0,2.0,275.0,2.5,1.337,5.25,11.88665,777.475,0.32630154999999994,0.0,0.0,0.0,0.0,0.32575,0.13325,0.0,0.0,0.2957839175,0.3675,4651.0067771053245,0.25,0.0,3.455,3.345,0.08853835020191014,0.25,0.25,325.7425,0.04426917499999994,0.055775665500000016,0.5,0.58370195875,1.1125,4.0,-0.5915502051566236,0.3117580786958009,22809.0,6.115885341287942,141.58189381603626,0.7914668473895288,4.0,0.056504400275890924,0.008532948511821691,3.5,0.5,0.6980201356478315,139.0,0.012393075278758,145.87196678055585,24.700137176522546,0.5,0.00304355856443068,0.00934951671432732,0.015436633843188682,1.0145883631132864
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",4.109560280168486,136.9806729480452,-1.3059873322727271,0.9746841999999999,1.0,0.0,0.0,3.0,252.6989301744168,1.2121212121212122,2.654289958992715,4.180720101768315,9.215921721578113,467.62721914806707,0.6395795027700905,0.0909090909090909,0.128564869306645,0.0,0.0,0.4835757575757576,0.3577007177647814,0.0,0.0,0.3332569741742423,0.2672727272727273,2256.9921396340856,0.154515742836145,0.0,1.9478787878787882,2.1409224516514618,0.11834433445095315,0.12121212121212124,0.17141982574219336,203.35239406528873,0.05917216729279316,0.07455225902839797,0.2424242424242425,0.2834026584848485,0.7984848484848485,1.0,-0.1406127615178509,0.4186035188256016,13028.818181818182,3.647055816020496,136.9806729480452,0.7657452407887475,5.0,0.08030329946015187,0.14575361010754587,2.5454545454545454,0.6363636363636364,0.6209993413680446,44.0,0.01580773658713638,141.13132431904396,14.018118977949188,1.6160353486028345,0.005583107962193419,0.009663569715278124,0.02380340134734476,1.1124390758573417
