,density,bandgap,volume,energysStab,atomMean,chalcogen,metalloid,BulkModulus wstd,Number wstd,AtomicWeigh wstd,BoilingT wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,NdUnfilled wmean,BCCenergy_p wstd,n_ws^third wmean,AtomicVolum wmean,AtomicVolum wstd,Density wstd,HeatFusion wmean,HeatFusion wstd,IsNonm wmean,NpUnfilled wstd,BCCenergydiff wmean,GSmagmom wmean,GSmagmom wstd,phi wmean,symmetry ops,ShannonForce,meanbv,stdbv,meanValenceOcc,vx,vz,VegardVolume,Hall Number,strainlatticemean,strainlatticestd,Coordination,numberDensity,li-ion fittability,oxidation flexibility,avgIonicRadVol,Xcm,AtomicNum Density,deltaShannon,detLatticeVec,oxidation flexibility Std,deltaShannonstd,deltashannonmin,deltashannonmax,chargedensityvoldens
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",7.174413697087316,0.0,28.181706207302266,0.3082833800000002,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.0,0.0,1.26,30.191423443789105,0.0,0.0,19.79,0.0,0.0,0.0,0.22744721,0.0,0.0,4.4,16.0,0.0,-2.210026580761672,1.6518798738549585,577.0,3.1205335664243603,3.542886786080764,1.2241868460857266,424.0,28.181706207302266,0.15754052700363882,8.0,0.035484011955986064,3.4944858844745186,8.0,0.9150123925355664,0.0,51.0,0.06136402697387632,29.03564008708974,0.0,0.0,0.06136402697387632,0.06136402697387632,1.7564620530847674
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",4.387228733557704,3.3221,1004.6283394383028,0.011585055835672264,13.719101123595506,1.0,0.0,15.735997733050644,3.1575632665234465,7.131661828238649,406.16651117254287,0.0,0.0,0.4315955056179776,0.40449438202247184,0.7016859885133757,0.17295880149812734,3762.8049976458087,5315.92551670511,793.8532891686689,2.257977528089888,2.699650068268036,0.202247191011236,0.5720414409599036,0.4648470492134831,0.0,0.0,0.4544943820224719,1.0,0.0,-0.4162274302601133,0.6888915562959762,303.2808988764045,15.402585857461036,9.197740579054926,2.6394089764402806,1.0,1004.6283394383028,5.6160431477669235,5.0,0.08858997552245118,10.997210591425835,3.640449438202247,0.4565570025390636,42.90468941674022,13.719101123595506,0.001882676714753702,1035.0695827516224,1.9328455532806448,0.0007630147665547433,0.0013176238721468404,0.003245584269337581,1.1796308386863237
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",4.329686619208567,0.0,1126.0605731080834,0.033870263795103384,13.927835051546392,1.0,0.0,16.088324632714446,3.2437423462385526,7.325039341184001,418.2124369536844,0.0,0.0,0.4167491408934708,0.4123711340206186,0.7315986698115874,0.1699656357388316,3835.9385623241524,5419.541847077206,811.5544667178694,2.282474226804124,2.764484843163664,0.2061855670103093,0.5831808504631321,0.473870803814433,0.0,0.0,0.44484536082474224,1.0,0.0,-0.43509217889729895,0.6930928283816178,306.22680412371136,5.330060581314432,50.70525751830889,1.2810036689389055,1.0,1126.0605731080834,6.294869970630077,5.0103092783505145,0.08614101436148018,6.222297013968433,3.7113402061855667,0.4664120984331043,34.27010117036255,13.927835051546392,0.0016559744478646546,1160.181334533832,1.8829608341164328,0.0006656344806709718,0.0011755338161121207,0.00289558662551515,1.1644731386260756
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",5.268449435406872,0.0,487.73355233887906,0.04385439790697632,16.3953488372093,1.0,0.0,21.954410811435565,4.527304339920483,10.353023692465342,592.5811122843351,0.0,0.0,0.38981395348837217,0.5581395348837209,1.0297416405685178,0.2057364341085272,3461.857100760221,4889.772957662682,1107.2687909793667,2.9944186046511634,3.805517840674904,0.18604651162790686,0.5262189999527795,0.4275924960465116,0.0,0.0,0.5313953488372093,1.0,0.0,-0.09680649791421968,0.7406845990777791,294.04651162790697,8.322963664693779,10.21707593604152,0.8581885109020039,1.0,487.73355233887906,2.726513444842952,6.1395348837209305,0.08816289097561088,5.7187857616948685,3.9069767441860463,0.4870356914766064,21.41957300017434,16.3953488372093,0.003919817314378521,502.5123667082994,1.9267269932286493,0.0014947683911967955,0.0027140275183681023,0.006685219664252685,1.40295054750213
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",5.176565986512956,0.0,164.72141083895573,0.05940283357142918,16.714285714285715,1.0,0.0,22.53553505324545,4.6613186070534365,10.657467901643669,613.5878633347844,0.0,0.0,0.3706666666666667,0.5714285714285714,1.0714950694071734,0.20285714285714285,3544.1112852380047,5006.317058578599,1136.4800799889067,3.0419047619047617,3.911918181004721,0.19047619047619047,0.5387480237611789,0.4377387290476191,0.0,0.0,0.5214285714285714,1.0,0.0,-0.11226695969346737,0.7470546162459243,297.42857142857144,2.965698867310482,11.005940443824048,0.9786179428274788,1.0,164.72141083895573,0.9208206799639408,6.0,0.08499198694751026,3.3033319349512107,4.0,0.4998904006039188,7.09405119068904,16.714285714285715,0.01141146506570547,169.71263430878685,1.8516401995451028,0.004291976507359728,0.008036127640828184,0.019794669790677732,1.3788012952190951
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,0.0,81.50307239915685,0.28384010833333306,19.0,1.0,0.0,28.33333333333333,4.166666666666667,10.151263333333333,806.1333333333333,0.0,0.0,0.3501666666666667,1.0,0.8623030516666668,0.2733333333333333,6200.399410993186,6194.398699999749,1427.8570000000002,5.073333333333333,4.926666666666667,0.3333333333333333,0.6666666666666666,0.7656800983333333,0.0,0.0,0.6749999999999999,12.0,-1.9835423455799044,0.046050974306401336,0.4862453562894242,29890.33333333333,2.988684623095708,9.71034189599341,1.064192912351852,456.0,81.50307239915685,0.4556160256490033,7.0,0.07361685668259631,3.331706378035074,4.666666666666667,0.5320943099266652,2.9999957553547416,19.0,0.0202392829112291,83.9726969959237,0.9428090415820634,0.005653890033311267,0.01624137892859167,0.028235090876503964,1.3575841205330577
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",3.6430596555538655,0.0,143.30558081974482,0.03008017615384606,11.307692307692307,1.0,0.0,14.498225877091615,2.355906589402085,5.1372121373940836,288.92740127654133,0.0,0.0,0.5382307692307693,0.0,0.22922781095666844,0.2135897435897436,2863.457668129528,4042.923221759368,933.8143906181483,1.3876923076923076,1.2826082892561699,0.15384615384615385,0.43514263457633706,0.35674238230769234,0.0,0.0,0.6346153846153847,1.0,-1.047809494376711,-0.4180779996167717,0.4206553640157133,17908.53846153846,5.099976308850827,3.4646726689631184,0.9981269727418892,1.0,143.30558081974482,0.8011025506700974,5.0,0.09071523890163004,3.9193489740285408,2.5384615384615383,0.5155936088385101,5.0889600855613635,11.307692307692307,0.01478357852744725,147.64788322416396,1.7371676600978792,0.005812941146945091,0.009237060239434606,0.02275281895066603,0.9956119707914792
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",3.5225902729082663,0.0,151.47846874347024,0.022672047142856755,10.714285714285714,1.0,0.0,13.31312243708978,2.101991281366024,4.581633491435262,282.88834275579507,0.0,0.0,0.5850714285714286,0.0,0.16275141681024138,0.22166666666666668,2659.437931312654,3753.780578515911,859.4004151127717,1.36,1.1692034616326954,0.14285714285714285,0.40406101782088427,0.3313644057142857,0.0,0.0,0.6571428571428571,1.0,-0.4853080287600218,-0.33793731355372536,0.4110764127643746,16813.285714285714,5.040407117720688,4.591698713312123,0.9512956259057944,1.0,151.47846874347024,0.8467903830949335,5.071428571428571,0.09242237603886193,5.310739152237188,2.357142857142857,0.5215705050450802,6.927324972799426,10.714285714285714,0.014524462588940537,156.0684178248661,1.7971065179155892,0.005643781043258875,0.008738682755770916,0.02152521056001396,0.961116938907679
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",3.7317831857268864,0.0,141.58189381603628,0.5880946375000002,18.5,1.0,0.0,35.0,5.25,11.88665,777.475,0.0,0.0,0.32575,0.0,0.2957839175,0.3675,4651.0067771053245,4645.091806139375,2229.64275,3.455,3.345,0.25,0.5,0.58370195875,0.0,0.0,1.1125,16.0,-1.873843282840612,-0.5915502051566236,0.3117580786958009,22809.0,6.115885341287942,6.115885341591157,1.6157355742729342,424.0,141.58189381603626,0.7914668473895288,4.0,0.056504400275890924,7.192451036883553,3.5,0.6980201356478315,2.4022709084370435,18.5,0.012393075278758,145.87196678055585,0.5,0.00304355856443068,0.00934951671432732,0.015436633843188682,1.0145883631132864
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",4.109560280168486,0.0,136.9806729480452,0.04510244999999991,14.272727272727273,1.0,0.0,23.323846950005716,4.180720101768315,9.215921721578113,467.62721914806707,0.0,0.0,0.4835757575757576,0.0,0.3332569741742423,0.2672727272727273,2256.9921396340856,3184.6724154623644,1495.729419098385,1.9478787878787882,2.1409224516514618,0.12121212121212124,0.3428396514843867,0.2834026584848485,0.0,0.0,0.7984848484848485,2.0,-0.30100035920606383,-0.1406127615178509,0.4186035188256016,13028.818181818182,3.647055816020496,5.998632974515113,0.95804628356324,30.0,136.9806729480452,0.7657452407887475,5.0,0.08030329946015187,4.144513353111724,2.5454545454545454,0.6209993413680446,3.5725871926855866,14.272727272727273,0.01580773658713638,141.13132431904396,1.6160353486028345,0.005583107962193419,0.009663569715278124,0.02380340134734476,1.1124390758573417
"mp-300006944, Li3Ti8O16, Li7Ti16O32, mp-531914, mp-530141",3.6154980710055713,0.0,606.0241412335738,0.02215640388888751,11.592592592592592,1.0,0.0,15.084469777598072,2.60004806915104,5.556168911973002,445.3474076915352,0.0,0.0,0.36575308641975307,0.7901234567901234,0.8484072936053334,0.18641975308641973,3675.072560189388,5191.949885132625,615.7711642370373,1.5520987654320983,1.8689487650438108,0.19753086419753085,0.5587016542708523,0.4651527554320987,2.225514403288889e-06,3.1473526523878122e-06,0.4808641975308641,8.0,0.0,-0.3316869678332809,0.7101274824489421,312.0,5.675031440340322,9.617682870648563,1.96625947901256,278.0,606.0241412335738,3.3877779395105363,5.333333333333333,0.0891053611991132,6.648186963383112,3.851851851851852,0.4590044218628718,25.041060742154517,11.592592592592592,0.0035308634472804514,624.3872787370924,1.4325244152454604,0.0016246099220026606,0.002184273187508149,0.0055304964431164075,1.0025828861634871
"mp-300006944, Li7Ti16O32, LiTi2O4, mp-530141, mp-5670",3.63288180837792,0.0,606.2968823218938,0.010086660909090384,11.436363636363636,1.0,0.0,14.766027074184699,2.528093755163047,5.399358280888113,431.9476058456348,0.0,0.0,0.3808121212121212,0.7757575757575758,0.8182883946174981,0.18896969696969693,3608.383629144005,5097.458436247286,602.4522541596754,1.542060606060606,1.8232540481651471,0.19393939393939394,0.5485434423750186,0.4567218091515151,2.1850505050472725e-06,3.0901280587080338e-06,0.4893939393939393,4.0,0.0,-0.3156102430215089,0.7058186896410643,309.09090909090907,11.062913315840108,9.619614473739325,2.5523832862670983,123.0,606.2968823218936,3.389302608544845,5.363636363636363,0.0907146343708222,11.518042560172008,3.7818181818181817,0.4542112645479228,25.64114620062109,11.436363636363636,0.003562886517256829,624.668284153129,1.5098574176019413,0.0016278954058863932,0.0021832905978499814,0.005528008563559668,1.0069344257692594
"mp-300006944, LiTi2O4, LiTiO2, mp-5670, mp-6944",3.6495646396358414,0.0,151.67087951174406,0.0,11.285714285714285,1.0,0.0,14.459420110501414,2.4587296463667783,5.248226465908299,419.40255076934943,0.0,0.0,0.3953333333333333,0.7619047619047619,0.7892937756065125,0.19142857142857145,3544.0764456359557,5006.341686891098,589.6360443537699,1.5323809523809524,1.779475323319729,0.19047619047619047,0.5387480237611789,0.4485919680952381,2.1460317460285717e-06,3.034947200516818e-06,0.4976190476190476,48.0,0.0,-0.30010768695301465,0.7016637822906105,306.2857142857143,5.677429215373143,5.677429214,1.2065712690528545,525.0,151.67087951174406,0.8478659919885939,5.285714285714286,0.09230512834809508,6.651147177777778,3.7142857142857135,0.4495257793628849,5.994828784095287,11.285714285714285,0.014372025071578653,156.26665883182937,1.5779087167410368,0.0065202544050807386,0.008727596799995149,0.022097942388970167,1.0110922008643954
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",3.5314848916100865,1.712,150.2147379102473,0.17869182333333278,12.666666666666664,1.0,0.0,18.33333333333333,1.0,2.6447000000000003,563.3,0.0,0.0,0.3933333333333333,1.3333333333333333,0.456960815,0.2533333333333333,6200.338441689601,6194.459669303333,750.6903333333332,2.4316666666666658,2.285,0.3333333333333333,0.6666666666666666,0.7846732666666666,3.75555555555e-06,3.75555555555e-06,0.6333333333333333,48.0,-0.8679325670873069,-0.1358972374237708,0.51275934653398,30077.0,5.6601327746518155,5.6601327710000024,1.2071668820637784,525.0,150.2147379102473,0.8397259129740715,6.0,0.07988563683524816,6.6297935444444445,4.333333333333333,0.4848464661288364,5.100985653433635,12.666666666666664,0.013312184512986257,154.76639468366562,0.4714045207910317,0.006363939418078369,0.00881219979540267,0.022312153948153432,0.9821253529274228
"mp-300007936, Li5(NbS2)7, LiNbS2, mp-767171, mp-7936",4.210257639246511,0.0,894.4745484083554,0.0,20.23076923076923,1.0,0.0,20.11705423608063,4.471290550249098,9.857247816871276,473.4610368769864,0.0,0.0,0.3804743589743589,0.5384615384615384,0.9636415431535128,0.21,7.872652081884499,4.785480854705417,902.7149631715026,3.1935128205128205,3.4560436366851515,0.1794871794871795,0.5076664070057264,0.1967147001602564,0.0,0.0,0.5461538461538461,1.0,-0.5764472299486837,0.28333453874838405,0.5162361366388715,3433.8076923076924,11.251808637821153,12.319703883854466,0.860808630064738,1.0,894.4745484083554,5.000264735961281,7.0,0.05813468934642105,6.4994935952840756,5.9230769230769225,0.8403561064872559,25.98838091430821,20.23076923076923,0.013374906733537249,921.5780216996768,3.0118110693002915,0.009593853658514916,0.0025727357586634034,0.02225086060717565,1.1415202785107488
"mp-300007936, Li9(NbS2)14, Li5(NbS2)7, mp-767218, mp-767171",4.188001149182962,0.0,896.4759956261348,0.0,20.568627450980394,1.0,0.0,20.56610899427561,4.586009552695253,10.111312939878582,491.1952704550656,0.0,0.0,0.36452287581699344,0.5490196078431373,0.9978234484640638,0.2077124183006536,7.886206971856906,4.9918212457399385,924.4956864901694,3.236522875816993,3.538731912741972,0.18300653594771246,0.5176206502803485,0.20054340584967328,0.0,0.0,0.538235294117647,1.0,0.0,0.4929784225914093,1.2825358460278948,575.0196078431372,5.5551799764367535,12.333820421074732,0.8606074569827005,1.0,896.4759956261348,5.011453166042074,6.882352941176473,0.05688942063014143,6.500222193131792,6.03921568627451,0.8441187804486929,25.36547736853648,20.568627450980394,0.01353539745537603,923.6401147696021,2.9236076579789496,0.009567865836059793,0.0025669919408128627,0.022201183958528384,1.1357237339801642
"mp-300007955, Sb, Li3Sb, mp-80, mp-7955",7.376653899437603,0.0,54.81813889529909,0.27681376500000043,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.0,0.0,1.26,30.191423443789105,0.0,0.0,19.79,0.0,0.0,0.0,0.22744721,0.0,0.0,4.4,24.0,0.0,-2.210026580761672,1.6518798738549585,577.0,3.3446981539999996,5.235208175,1.068374539933174,488.0,54.81813889529908,0.3064427124247836,12.0,0.03648427400681984,3.7712322888888887,8.0,0.9126166691138948,1.0,51.0,0.031546911564760416,56.47918332196554,0.0,0.0,0.031546911564760416,0.031546911564760416,1.8059751221709108
"mp-300009158, CuO2, LiCuO2, mp-704672, mp-9158",2.6079992855678467,0.0,121.66863693340021,0.28163960458333204,15.0,1.0,0.0,23.33333333333333,2.1666666666666665,5.257866666666667,503.3,0.0,0.0,0.3701666666666665,0.0,0.2127693233333333,0.245,6199.370712485116,6195.427398507816,1486.1903333333332,2.34,2.1933333333333334,0.3333333333333333,0.6666666666666666,0.7719746883333333,0.0,0.0,0.7416666666666667,4.0,0.06720971642977977,-0.6789598951469062,0.7911589391346271,345.66666666666674,2.7685698284788973,10.794771999229233,0.9616747572355772,173.0,121.66863693340021,0.6801483572820577,5.0,0.0493142698991879,3.0599627512085146,3.6666666666666665,0.6865605443176005,1.4999978203512068,15.0,0.01324086069846464,125.3553183011192,0.4714045207910317,0.003339138832611906,0.01087973298660143,0.01796311612219106,0.7179591677459487
"mp-300010179, MgSbPd, LiMgSbPd, mp-10183, mp-10179",6.539553134720559,0.0,64.11159307548014,0.0,36.333333333333336,0.0,1.0,21.45279054627212,5.775640630385344,14.26195225411884,264.0733624217724,0.0,0.0,0.16377777777777774,0.0,0.4954926356689271,0.4555555555555555,7.568011423108832,2.1118711097474083,1399.9082068672647,5.00111111111111,1.5925993970569534,0.0,0.4714045207910317,0.033645595555555616,0.0,0.0,1.4777777777777783,24.0,0.0,0.07557170030816247,1.090928528172656,238.66666666666663,4.3332106166002164,4.3332106160000015,1.2690911830475131,512.0,64.11159307548014,0.3583947006564444,8.0,0.04679340905580098,4.9916180444444445,3.6666666666666665,0.8814887554110341,0.4605125056934074,36.333333333333336,0.037438997827619384,66.05423845726028,3.091206165165235,0.008064510837656969,0.02697395115168572,0.046597919149607626,1.6501590593694808
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",3.059342109633916,3.3233000000000006,217.1479323563651,0.039459981388889176,10.888888888888893,1.0,1.0,9.087291960285404,1.235061629669116,2.3340557510476536,263.4092236324503,0.0,0.0,0.2761481481481481,0.2962962962962963,0.3302515703312939,0.16740740740740742,4133.73526190846,5841.453648738601,239.72723786565032,4.2922222222222235,4.889440457101314,0.2222222222222222,0.5543196128553987,0.5534080003703704,8.345679012333334e-07,1.1802572446454296e-06,0.4888888888888889,4.0,-2.26218585701416,0.05129630622175737,0.5373186952089316,30455.444444444438,6.213544883391968,5.119038192814525,0.9101470183181248,90.0,217.1479323563651,1.2138938448058954,4.111111111111111,0.08289279941408745,5.961775546684597,5.0,0.5009696700224413,9.0,10.888888888888893,0.006167798514157314,223.7277318546952,1.6329931618554518,0.0037259182110283813,0.0017498996859022546,0.015434705369584484,0.8760648417394064
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",3.5476434031701705,0.0,217.41971994324302,0.020420569166667242,18.666666666666668,1.0,0.0,24.1,1.333333333333333,2.0223166666666668,251.42666666666665,0.0,0.0,0.3108333333333333,0.8333333333333333,0.5832048799999998,0.2883333333333333,11.071004843872666,7.040025685908133,536.6666666666667,4.073666666666667,2.926333333333333,0.3333333333333333,0.6666666666666666,0.36496068291666667,0.0,0.0,0.775,1.0,-0.5408001122432726,-0.08573035228906628,0.5072181814196637,3819.666666666666,6.346351807994592,6.356463248263161,1.1846524919080121,1.0,217.4197199432431,1.2154131836051405,6.0,0.0551927856550113,7.476977540734063,8.0,0.8309586894376785,6.671687477135216,18.666666666666668,0.06580556072494398,224.00775487724337,0.0,0.036395471716173015,0.014334591014965696,0.0915410455799331,0.9999653812108088
