,density,nelements,Unit Cell Mass,energysStab,atomMean,transition,metalloid,other,FirstIonizationEnergy wmean,ICSDVolum wmean,Electronegativity wmean,BulkModulus wstd,GSenergy_p wmean,GSenergy_p wstd,BoilingT wstd,BCCfermi wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,HeatCapacityMass wstd,BCCenergy_p wstd,MiracleRadius wstd,n_ws^third wmean,AtomicVolum wmean,MendeleevNumber wmean,HeatFusion wmean,HeatFusion wstd,IsNonm wmean,MeltingT wstd,CovalentRadius wstd,NpUnfilled wmean,BCCenergydiff wmean,GSmagmom wstd,phi wmean,Row wstd,meanbv,Coordination,numberDensity,li-ion fittability,oxidation flexibility,avgIonicRadVol,AtomicNum Density,oxidation flexibility Std,chargedensityvoldens
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",7.174413697087316,1.0,121.76,0.3082833800000002,51.0,0.0,1.0,1.0,8.60839,30.21,2.05,0.0,-4.11736234,0.0,0.0,0.0,0.0,0.0,0.207,0.0,0.0,0.0,1.26,30.191423443789105,85.0,19.79,0.0,0.0,0.0,0.0,3.0,0.22744721,0.0,4.4,0.0,-2.210026580761672,8.0,0.035484011955986064,3.4944858844745186,8.0,0.9150123925355664,51.0,0.0,1.7564620530847674
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",4.387228733557704,3.0,2654.27944,0.011585055835672264,13.719101123595506,1.0,0.0,3.0,3.5531581385767788,6.111797752808987,0.8659925093632959,15.735997733050644,-1.7615529134082395,1.0512343419872074,406.16651117254287,0.7438076492240414,0.0,0.0,0.4315955056179776,0.272285166169023,0.7016859885133757,4.645414845170411,0.17295880149812734,3762.8049976458087,20.827715355805246,2.257977528089888,2.699650068268036,0.202247191011236,234.93680910129456,6.381635619792247,0.404494382022472,0.4648470492134831,0.0,0.4544943820224719,0.3540465108043888,-0.4162274302601133,5.0,0.08858997552245118,10.997210591425835,3.640449438202247,0.4565570025390636,13.719101123595506,1.9328455532806448,1.1796308386863237
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",4.329686619208567,3.0,2936.0886,0.033870263795103384,13.927835051546392,1.0,0.0,3.0,3.5873512817869417,6.090412371134021,0.8764948453608249,16.088324632714446,-1.7837182899312714,1.0879346139368866,418.2124369536844,0.7601229312194023,0.0,0.0,0.4167491408934708,0.25721698452987746,0.7315986698115874,5.556087880874734,0.1699656357388316,3835.9385623241524,21.226804123711343,2.282474226804124,2.764484843163664,0.2061855670103093,241.28006695129108,7.578758697915857,0.4123711340206186,0.473870803814433,0.0,0.44484536082474224,0.3788182482342453,-0.43509217889729895,5.0103092783505145,0.08614101436148018,6.222297013968433,3.7113402061855667,0.4664120984331043,13.927835051546392,1.8829608341164328,1.1644731386260756
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",5.268449435406872,3.0,1547.44916,0.04385439790697632,16.3953488372093,1.0,0.0,3.0,3.4548948294573645,6.0918604651162775,0.8420155038759689,21.954410811435565,-1.9253649027131785,1.1480966041894098,592.5811122843351,0.7233792260925985,0.0,0.0,0.38981395348837217,0.22520666069553386,1.0297416405685178,6.3937653665713015,0.2057364341085272,3461.857100760221,20.612403100775193,2.9944186046511634,3.805517840674904,0.18604651162790686,337.6206714034209,10.31323609599375,0.372093023255814,0.4275924960465116,0.0,0.5313953488372093,0.45307408360317697,-0.09680649791421968,6.1395348837209305,0.08816289097561088,5.7187857616948685,3.9069767441860463,0.4870356914766064,16.3953488372093,1.9267269932286493,1.40295054750213
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",5.176565986512956,3.0,513.5027200000002,0.05940283357142918,16.714285714285715,1.0,0.0,3.0,3.494362809523808,6.065238095238095,0.8542857142857142,22.53553505324545,-1.9563665519047613,1.196385543425532,613.5878633347844,0.7431033546574646,0.0,0.0,0.3706666666666667,0.20862886793334084,1.0714950694071734,8.202648761955992,0.20285714285714285,3544.1112852380047,21.095238095238095,3.0419047619047617,3.911918181004721,0.19047619047619047,348.0006998722339,11.91352058751382,0.3809523809523809,0.4377387290476191,0.0,0.5214285714285714,0.4856209060564557,-0.11226695969346737,6.0,0.08499198694751026,3.3033319349512107,4.0,0.4998904006039188,16.714285714285715,1.8516401995451028,1.3788012952190951
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,2.0,249.81036,0.28384010833333306,19.0,1.0,0.0,2.0,5.665825,8.811666666666666,1.413333333333333,28.33333333333333,-3.2678175566666665,0.09662295333333336,806.1333333333333,0.2075408216666668,0.0,0.0,0.3501666666666667,0.2618333333333333,0.8623030516666668,2.5,0.2733333333333333,6200.399410993186,36.833333333333336,5.073333333333333,4.926666666666667,0.3333333333333333,440.06666666666666,5.333333333333332,0.6666666666666666,0.7656800983333333,0.0,0.6749999999999999,0.16666666666666666,0.046050974306401336,7.0,0.07361685668259631,3.331706378035074,4.666666666666667,0.5320943099266652,19.0,0.9428090415820634,1.3575841205330577
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",3.6430596555538655,3.0,314.3984,0.03008017615384606,11.307692307692307,1.0,0.0,3.0,3.242418358974359,5.797692307692307,0.7758974358974359,14.498225877091615,-1.206724705897436,0.7080232708563629,288.92740127654133,0.5647057620065314,0.0,0.0,0.5382307692307693,0.42153482592480496,0.22922781095666844,8.233604432208782,0.2135897435897436,2863.457668129528,18.41025641025641,1.3876923076923076,1.2826082892561699,0.15384615384615385,118.42290513390994,4.2063788009045915,0.3076923076923077,0.35674238230769234,0.0,0.6346153846153847,0.145047544858779,-0.4180779996167717,5.0,0.09071523890163004,3.9193489740285408,2.5384615384615383,0.5155936088385101,11.307692307692307,1.7371676600978792,0.9956119707914792
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",3.5225902729082663,3.0,321.3394,0.022672047142856755,10.714285714285714,1.0,0.0,3.0,3.139191309523808,5.8985714285714295,0.7438095238095238,13.31312243708978,-1.1650512009523808,0.6196786374127156,282.88834275579507,0.5170645516461096,0.0,0.0,0.5850714285714286,0.5070300780032679,0.16275141681024138,12.762793146051099,0.22166666666666668,2659.437931312654,17.119047619047617,1.36,1.1692034616326954,0.14285714285714285,109.21570763813213,8.215907362357981,0.2857142857142857,0.3313644057142857,0.0,0.6571428571428571,0.06734350297014735,-0.33793731355372536,5.071428571428571,0.09242237603886193,5.310739152237188,2.357142857142857,0.5215705050450802,10.714285714285714,1.7971065179155892,0.961116938907679
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",3.7317831857268864,2.0,318.1816,0.5880946375000002,18.5,1.0,0.0,2.0,5.3361075,7.2925,1.335,35.0,-2.10936168125,0.26903427125,777.475,0.32630154999999994,0.0,0.0,0.32575,0.13325,0.2957839175,15.5,0.3675,4651.0067771053245,37.75,3.455,3.345,0.25,325.7425,16.5,0.5,0.58370195875,0.0,1.1125,0.5,-0.5915502051566236,4.0,0.056504400275890924,7.192451036883553,3.5,0.6980201356478315,18.5,0.5,1.0145883631132864
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",4.109560280168486,3.0,339.0046,0.04510244999999991,14.272727272727273,1.0,0.0,3.0,3.0773599090909087,5.502121212121213,0.7363636363636363,23.323846950005716,-1.1927105342424242,0.5085175713534568,467.62721914806707,0.6395795027700905,0.0,0.0,0.4835757575757576,0.3577007177647814,0.3332569741742423,9.763408759079887,0.2672727272727273,2256.9921396340856,18.393939393939394,1.9478787878787882,2.1409224516514618,0.12121212121212124,203.35239406528873,9.811445500532392,0.2424242424242425,0.2834026584848485,0.0,0.7984848484848485,0.3927721635398704,-0.1406127615178509,5.0,0.08030329946015187,4.144513353111724,2.5454545454545454,0.6209993413680446,14.272727272727273,1.6160353486028345,1.1124390758573417
