,nsites,bandgap,Unit Cell Mass,energy,total_magnetization,energysStab,transition,FirstIonizationEnergy wmean,ICSDVolum wmean,IsMetalloid wmean,Electronegativity wmean,GSenergy_p wstd,Polarizability wstd,BoilingT wstd,HeatCapacityMolar wmean,MiracleRadius wstd,AtomicVolum wmean,BCCefflatcn wmean,BCCefflatcn wstd,BCCmagmom wstd,HeatFusion wstd,GSefflatcn wmean,GSefflatcn wstd,MeltingT wmean,MeltingT wstd,GSestBCClatcn wmean,GSestBCClatcn wstd,CovalentRadius wstd,GSestFCClatcn wmean,GSestFCClatcn wstd,IsM wstd,SpaceGroupNumber wmean,SpaceGroupNumber wstd,Row wstd,Crystal System,ShannonForce,stdbv,vz,strainlatticemean,strainlatticestd,initialAnisotropy,li-ion fittability,oxidation flexibility,volume flexibility of cell,deltaShannon,detLatticeVec,initialAnisotropy Std,deltashannonmin
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",1.0,0.0,121.76,-3.8160462,1.0199999999999999e-05,0.3082833800000002,0.0,8.60839,30.21,1.0,2.05,0.0,0.0,0.0,25.23,0.0,30.191423443789105,7.56791645753124,0.0,0.0,0.0,7.96316398213234,0.0,903.78,0.0,3.981581991,0.0,0.0,5.016478962,0.0,0.0,166.0,0.0,0.0,4.0,0.0,1.6518798738549585,3.542886786080764,28.181706207302266,0.15754052700363882,-0.08655967195326737,3.4944858844745186,8.0,0.06136402697387632,0.06136402697387632,29.03564008708974,0.06120693062492215,0.06136402697387632
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",89.0,3.3221,2654.27944,-700.4189686000003,1.98e-05,0.011585055835672264,1.0,3.5531581385767788,6.111797752808987,0.0,0.8659925093632959,1.0512343419872074,1.7229811462483444,406.16651117254287,9.182891385767787,4.645414845170411,3762.8049976458087,1.8451893955442755,0.7966775348519938,0.0,2.699650068268036,1.9200832816567621,0.9009356706100392,225.36303370786518,234.93680910129456,0.9600416408614232,0.450467835479385,6.381635619792247,1.2095766721610486,0.5675539080568183,0.09280533103643346,32.44569288389513,17.825174495546648,0.3540465108043888,2.0,0.0,0.6888915562959762,9.197740579054926,1004.6283394383028,5.6160431477669235,0.22448326236583668,10.997210591425835,3.640449438202247,0.0013176238721468404,0.001882676714753702,1035.0695827516224,0.2951993834054466,0.0013176238721468404
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",97.0,0.0,2936.0886,-765.17524983,2.7259328,0.033870263795103384,1.0,3.5873512817869417,6.090412371134021,0.0,0.8764948453608249,1.0879346139368866,1.5907214195357209,418.2124369536844,9.200343642611683,5.556087880874734,3835.9385623241524,1.839472123628768,0.8460138684258527,0.0,2.764484843163664,1.9157544686962915,0.9518325622768538,226.80663230240543,241.28006695129108,0.9578772343848796,0.4759162813129154,7.578758697915857,1.206849690876289,0.5996169406523675,0.0907893114338344,31.59106529209621,17.332502821082112,0.3788182482342453,2.0,0.0,0.6930928283816178,50.70525751830889,1126.0605731080834,6.294869970630077,-0.6000193746971133,6.222297013968433,3.7113402061855667,0.0011755338161121207,0.0016559744478646546,1160.181334533832,0.4241753089421777,0.0011755338161121207
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",43.0,0.0,1547.44916,-353.63017306,0.0026214000000000003,0.04385439790697632,1.0,3.4548948294573645,6.0918604651162775,0.0,0.8420155038759689,1.1480966041894098,1.7637777458235664,592.5811122843351,9.10303875968992,6.3937653665713015,3461.857100760221,1.8752015935220288,0.6891657413877028,0.0,3.805517840674904,1.9440498138856013,0.7747240431142052,290.62813953488376,337.6206714034209,0.9720249069612402,0.3873620217017916,10.31323609599375,1.2246746413875969,0.4880455649394049,0.1144559927149876,35.96124031007752,23.37418196791732,0.45307408360317697,2.0,0.0,0.7406845990777791,10.21707593604152,487.73355233887906,2.726513444842952,-0.12720175833925915,5.7187857616948685,3.9069767441860463,0.0027140275183681023,0.003919817314378521,502.5123667082994,0.3604212541623243,0.0027140275183681023
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",14.0,0.0,513.5027200000002,-116.35464415,4.41e-05,0.05940283357142918,1.0,3.494362809523808,6.065238095238095,0.0,0.8542857142857142,1.196385543425532,1.7110109051260654,613.5878633347844,9.12247619047619,8.202648761955992,3544.1112852380047,1.8689257237508583,0.7678789423274099,0.0,3.911918181004721,1.9393276532881227,0.8532829884260836,293.94714285714286,348.0006998722339,0.9696638266666668,0.4266414943520869,11.91352058751382,1.2216998666190475,0.5375345993714812,0.11664236870396084,35.0,23.96624610532389,0.4856209060564557,2.0,0.0,0.7470546162459243,11.005940443824048,164.72141083895573,0.9208206799639408,-0.500204445807487,3.3033319349512107,4.0,0.008036127640828184,0.01141146506570547,169.71263430878685,0.235809503158423,0.008036127640828184
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",6.0,0.0,249.81036,-52.93304055,1.1342821,0.28384010833333306,1.0,5.665825,8.811666666666666,0.0,1.413333333333333,0.09662295333333336,2.349333333333333,806.1333333333333,13.892666666666665,2.5,6200.399410993186,2.735922985586201,0.5273248606189984,0.0,4.926666666666667,2.8582282535092847,0.6496301285420816,476.6,440.06666666666666,1.4291141268333334,0.3248150645000001,5.333333333333332,1.8005709711666666,0.4092413368333334,0.16666666666666666,42.16666666666666,34.166666666666664,0.16666666666666666,5.0,-1.9835423455799044,0.4862453562894242,9.71034189599341,81.50307239915685,0.4556160256490033,-0.4756838868559897,3.331706378035074,4.666666666666667,0.028235090876503964,0.0202392829112291,83.9726969959237,0.3363594865151738,0.01624137892859167
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",13.0,0.0,314.3984,-65.19384606,0.9555405,0.03008017615384606,1.0,3.242418358974359,5.797692307692307,0.0,0.7758974358974359,0.7080232708563629,3.1373403737312784,288.92740127654133,8.9494358974359,8.233604432208782,2863.457668129528,1.843271349103208,0.4038261053482624,0.0,1.2826082892561699,1.9006952581505896,0.4655393145059592,159.40692307692308,118.42290513390994,0.9503476291025642,0.23276965731975915,4.2063788009045915,1.197362982666667,0.2932713910056372,0.13074409009212268,42.641025641025635,27.305296632606076,0.145047544858779,2.0,-1.047809494376711,0.4206553640157133,3.4646726689631184,143.30558081974482,0.8011025506700974,0.13967944513114516,3.9193489740285408,2.5384615384615383,0.009237060239434606,0.01478357852744725,147.64788322416396,0.4018988696596433,0.009237060239434606
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",14.0,0.0,321.3394,-69.77184759999999,2.0000366,0.022672047142856755,1.0,3.139191309523808,5.8985714285714295,0.0,0.7438095238095238,0.6196786374127156,3.7266549564454037,282.88834275579507,8.902095238095239,12.762793146051099,2659.437931312654,1.8643796901609213,0.4737658802773738,0.0,1.1692034616326954,1.9179584939240992,0.5055264348108299,158.82285714285715,109.21570763813213,0.9589792469761904,0.2527632174018147,8.215907362357981,1.2082381397380952,0.3184616983004869,0.14677176197545186,45.04761904761904,31.36933450668488,0.06734350297014735,2.0,-0.4853080287600218,0.4110764127643746,4.591698713312123,151.47846874347024,0.8467903830949335,0.05039179974068079,5.310739152237188,2.357142857142857,0.008738682755770916,0.014524462588940537,156.0684178248661,0.19478217839999049,0.008738682755770916
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",8.0,0.0,318.1816,-36.25229244,-0.0105148,0.5880946375000002,1.0,5.3361075,7.2925,0.0,1.335,0.26903427125,1.337,777.475,13.4545,15.5,4651.0067771053245,2.6281258183472724,0.1806899336933725,0.0,3.345,2.719432136740436,0.08853835020191014,353.1425,325.7425,1.3597160685,0.04426917499999994,16.5,1.7131348965000002,0.055775665500000016,0.25,59.25,53.25,0.5,4.0,-1.873843282840612,0.3117580786958009,6.115885341591157,141.58189381603626,0.7914668473895288,-3.469757814400509e-11,7.192451036883553,3.5,0.015436633843188682,0.012393075278758,145.87196678055585,2.1951888979061376e-10,0.00934951671432732
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",11.0,0.0,339.0046,-53.42062847,0.9746841999999999,0.04510244999999991,1.0,3.0773599090909087,5.502121212121213,0.0,0.7363636363636363,0.5085175713534568,2.654289958992715,467.62721914806707,8.783393939393939,9.763408759079887,2256.9921396340856,1.8575486729926416,0.1315476019662002,0.0,2.1409224516514618,1.902798158141347,0.11834433445095315,212.46515151515152,203.35239406528873,0.9513990790909091,0.05917216729279316,9.811445500532392,1.1986877266363636,0.07455225902839797,0.154515742836145,49.54545454545454,32.911853224098884,0.3927721635398704,1.0,-0.30100035920606383,0.4186035188256016,5.998632974515113,136.9806729480452,0.7657452407887475,-0.2746223329931696,4.144513353111724,2.5454545454545454,0.009663569715278124,0.01580773658713638,141.13132431904396,0.19418525224925406,0.009663569715278124
