,density,bandgap,volume,formationenergy_pa,total_magnetization,energysStab,atomMean,transition,chalcogen,ICSDVolum wmean,ICSDVolum wstd,Polarizability wmean,NfValenc wmean,NfValenc wstd,IsFBlock wmean,IsFBlock wstd,NsValenc wstd,HeatCapacityMolar wstd,BCCenergy_p wstd,MendeleevNumber wstd,HeatFusion wmean,HeatFusion wstd,GSefflatcn wstd,BCCvolume_padiff wmean,GSestBCClatcn wstd,GSvolume_p wmean,GSestFCClatcn wstd,NpUnfilled wstd,NValanc wstd,GSmagmom wmean,GSmagmom wstd,BCCvolume_p wmean,Crystal System,symmetry ops,meanbv,stdbv,vx,vz,Hall Number,strainlatticemean,strainlatticestd,numberDensity,maxForce,avgIonicRadVol,SpaceGroup,volume flexibility of cell,deltaShannon,detLatticeVec,initialAnisotropy Std,oxidation flexibility Std,deltaShannonstd,deltashannonmin,deltashannonmax,chargedensityvoldens
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",7.174413697087316,0.0,28.181706207302266,0.3082833800000002,1.0199999999999999e-05,0.3082833800000002,51.0,0.0,0.0,30.21,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.79,0.0,0.0,-4.47,0.0,31.56,0.0,0.0,0.0,0.0,0.0,27.09,4.0,16.0,-2.210026580761672,1.6518798738549585,3.1205335664243603,3.542886786080764,424.0,28.181706207302266,0.15754052700363882,0.035484011955986064,0.0,0.9150123925355664,139.0,0.06136402697387632,0.06136402697387632,29.03564008708974,0.06120693062492215,0.0,0.0,0.06136402697387632,0.06136402697387632,1.7564620530847674
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",4.387228733557704,3.3221,1004.6283394383028,-2.8908447468258434,1.98e-05,0.011585055835672264,13.719101123595506,1.0,1.0,6.111797752808987,3.131940461464718,2.7700486891385765,0.0,0.0,0.0,0.0,0.47937148787103706,6.111491385396832,0.7016859885133757,22.91599469926437,2.257977528089888,2.699650068268036,0.9009356706100392,-0.3642946317082396,0.450467835479385,4.123583021221348,0.5675539080568183,0.5720414409599036,1.4713620311694546,0.0,0.0,3.759288389513108,2.0,1.0,-0.4162274302601133,0.6888915562959762,15.402585857461036,9.197740579054926,1.0,1004.6283394383028,5.6160431477669235,0.08858997552245118,0.03075325468199585,0.4565570025390636,1.0,0.0013176238721468404,0.001882676714753702,1035.0695827516224,0.2951993834054466,1.9328455532806448,0.0007630147665547433,0.0013176238721468404,0.003245584269337581,1.1796308386863237
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",4.329686619208567,0.0,1126.0605731080834,-2.8495875509793813,2.7259328,0.033870263795103384,13.927835051546392,1.0,1.0,6.090412371134021,3.2865025694683583,2.666030927835052,0.0,0.0,0.0,0.0,0.4934353719018364,6.350606627482701,0.7315986698115874,23.368086210635553,2.282474226804124,2.764484843163664,0.9518325622768538,-0.37084765177353934,0.4759162813129154,4.09617411225464,0.5996169406523675,0.5831808504631321,1.5063075187427726,0.0,0.0,3.7253264604810994,2.0,1.0,-0.43509217889729895,0.6930928283816178,5.330060581314432,50.70525751830889,1.0,1126.0605731080834,6.294869970630077,0.08614101436148018,0.1550131639521199,0.4664120984331043,1.0,0.0011755338161121207,0.0016559744478646546,1160.181334533832,0.4241753089421777,1.8829608341164328,0.0006656344806709718,0.0011755338161121207,0.00289558662551515,1.1644731386260756
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",5.268449435406872,0.0,487.73355233887906,-2.727400267674419,0.0026214000000000003,0.04385439790697632,16.3953488372093,1.0,1.0,6.0918604651162775,2.6207046187535297,2.9301782945736434,0.0,0.0,0.0,0.0,0.4247326366450457,5.284388011352683,1.0297416405685178,20.455991035798174,2.9944186046511634,3.805517840674904,0.7747240431142052,-0.3347545219620153,0.3873620217017916,4.2855297157604655,0.4880455649394049,0.5262189999527795,1.3117506860635055,0.0,0.0,3.9507751937984494,2.0,1.0,-0.09680649791421968,0.7406845990777791,8.322963664693779,10.21707593604152,1.0,487.73355233887906,2.726513444842952,0.08816289097561088,0.11293741739245147,0.4870356914766064,2.0,0.0027140275183681023,0.003919817314378521,502.5123667082994,0.3604212541623243,1.9267269932286493,0.0014947683911967955,0.0027140275183681023,0.006685219664252685,1.40295054750213
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",5.176565986512956,0.0,164.72141083895573,-2.7290672971428567,4.41e-05,0.05940283357142918,16.714285714285715,1.0,1.0,6.065238095238095,2.8568510168411483,2.806809523809523,0.0,0.0,0.0,0.0,0.4416008807378906,5.602752410732043,1.0714950694071734,20.95097397873417,3.0419047619047617,3.911918181004721,0.8532829884260836,-0.3420634920619046,0.4266414943520869,4.255873015871429,0.5375345993714812,0.5387480237611789,1.3519113872931798,0.0,0.0,3.9138095238095243,2.0,1.0,-0.11226695969346737,0.7470546162459243,2.965698867310482,11.005940443824048,1.0,164.72141083895573,0.9208206799639408,0.08499198694751026,0.09421869148784492,0.4998904006039188,6.0,0.008036127640828184,0.01141146506570547,169.71263430878685,0.235809503158423,1.8516401995451028,0.004291976507359728,0.008036127640828184,0.019794669790677732,1.3788012952190951
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,0.0,81.50307239915685,-2.6280075225000004,1.1342821,0.28384010833333306,19.0,1.0,1.0,8.811666666666666,2.7616666666666667,2.8839999999999995,0.0,0.0,0.0,0.0,0.5,5.692666666666666,0.8623030516666668,21.166666666666668,5.073333333333333,4.926666666666667,0.6496301285420816,-0.5916666666666666,0.3248150645000001,6.065,0.4092413368333334,0.6666666666666666,1.1666666666666667,0.0,0.0,5.473333333333333,5.0,12.0,0.046050974306401336,0.4862453562894242,2.988684623095708,9.71034189599341,456.0,81.50307239915685,0.4556160256490033,0.07361685668259631,0.04489612552655964,0.5320943099266652,164.0,0.028235090876503964,0.0202392829112291,83.9726969959237,0.3363594865151738,0.9428090415820634,0.005653890033311267,0.01624137892859167,0.028235090876503964,1.3575841205330577
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",3.6430596555538655,0.0,143.30558081974482,-1.5278891674999997,0.9555405,0.03008017615384606,11.307692307692307,1.0,1.0,5.797692307692307,2.241965800561546,3.0923589743589748,0.0,0.0,0.0,0.0,0.3098216916306301,3.3611352110024333,0.22922781095666844,16.469604222562946,1.3876923076923076,1.2826082892561699,0.4655393145059592,-0.2808547008512818,0.23276965731975915,3.9541880341846163,0.2932713910056372,0.43514263457633706,1.1099928626622235,0.0,0.0,3.673333333333334,2.0,1.0,-0.4180779996167717,0.4206553640157133,5.099976308850827,3.4646726689631184,1.0,143.30558081974482,0.8011025506700974,0.09071523890163004,0.19719064830427507,0.5155936088385101,1.0,0.009237060239434606,0.01478357852744725,147.64788322416396,0.4018988696596433,1.7371676600978792,0.005812941146945091,0.009237060239434606,0.02275281895066603,0.9956119707914792
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",3.5225902729082663,0.0,151.47846874347024,-1.6094075098214289,2.0000366,0.022672047142856755,10.714285714285714,1.0,1.0,5.8985714285714295,2.3842752289421068,3.4508809523809525,0.0,0.0,0.0,0.0,0.2756151643521482,3.0020707260141166,0.16275141681024138,15.267048386636796,1.36,1.1692034616326954,0.5055264348108299,-0.2627777777738092,0.2527632174018147,4.066825396821429,0.3184616983004869,0.40406101782088427,0.997161504351044,0.0,0.0,3.804047619047618,2.0,1.0,-0.33793731355372536,0.4110764127643746,5.040407117720688,4.591698713312123,1.0,151.47846874347024,0.8467903830949335,0.09242237603886193,0.0886731665357621,0.5215705050450802,1.0,0.008738682755770916,0.014524462588940537,156.0684178248661,0.19478217839999049,1.7971065179155892,0.005643781043258875,0.008738682755770916,0.02152521056001396,0.961116938907679
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",3.7317831857268864,0.0,141.58189381603628,-0.3655114206249994,-0.0105148,0.5880946375000002,18.5,1.0,1.0,7.2925,1.3874999999999995,1.7380000000000002,0.0,0.0,0.0,0.0,0.25,1.2344999999999997,0.2957839175,5.75,3.455,3.345,0.08853835020191014,-0.44125,0.04426917499999994,5.04375,0.055775665500000016,0.5,1.25,0.0,0.0,4.6025,4.0,16.0,-0.5915502051566236,0.3117580786958009,6.115885341287942,6.115885341591157,424.0,141.58189381603626,0.7914668473895288,0.056504400275890924,0.008532948511821691,0.6980201356478315,139.0,0.015436633843188682,0.012393075278758,145.87196678055585,2.1951888979061376e-10,0.5,0.00304355856443068,0.00934951671432732,0.015436633843188682,1.0145883631132864
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",4.109560280168486,0.0,136.9806729480452,-1.3059873322727271,0.9746841999999999,0.04510244999999991,14.272727272727273,1.0,1.0,5.502121212121213,0.8704225671262881,3.0549393939393936,0.0,0.0,0.0,0.0,0.1963860817699352,1.5950481591274044,0.3332569741742423,13.260752866064555,1.9478787878787882,2.1409224516514618,0.11834433445095315,-0.22151515151212087,0.05917216729279316,3.953939393936364,0.07455225902839797,0.3428396514843867,1.5218035793320872,0.0,0.0,3.7324242424242433,1.0,2.0,-0.1406127615178509,0.4186035188256016,3.647055816020496,5.998632974515113,30.0,136.9806729480452,0.7657452407887475,0.08030329946015187,0.14575361010754587,0.6209993413680446,44.0,0.009663569715278124,0.01580773658713638,141.13132431904396,0.19418525224925406,1.6160353486028345,0.005583107962193419,0.009663569715278124,0.02380340134734476,1.1124390758573417
