,Crystal System,symmetry ops,ShannonForce,meanbv,stdbv,meanValenceOcc,VegardVolume,Hall Number,strainlatticemean,strainlatticestd,ioniccount,ionicitymean,NNdist,NNdiststd,nndistmax,nndistmin,bcc,oct,q4,q6,q2,cn,tet,lin,bent,reg_tri,sq,sq_pyr,Forces,avgCentralDistance,Coordination,numberDensity,initialAnisotropy,li-ion fittability,maxForce,oxidation flexibility,ShannonRadii,positiveoxidationpop,avgIonicRadVol,SpaceGroup,strainvolumeflexibility,Xcm,Ycm,Zcm,volume flexibility of cell,deltaShannon,volumeshannonflex,detLatticeVec,angle anisotropy,ShannonRatio,avgCentralDistance Std,initialAnisotropy Std,oxidation flexibility Std,deltaShannonstd,deltashannonmin,deltashannonmax,chargedensityvoldens,positiveoxpopdens,oxstateflexmin,oxstateflexmax,anisotropynormcubevolmean,anisotropynormcubevolstd,deltacrystal1,deltacrystal2,deltacrystal3,deltacrystal4,coordination std,solid electronegativity,charge moment of inertia,mass moment of inertia,negativeoxdensity
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",4.0,16.0,0.0,-2.210026580761672,1.6518798738549585,577.0,1.2241868460857266,424.0,-0.03860289044963213,7.489159487460428,0.0,0.0,1.1362893557417972,0.0,1.1362893557417972,1.1362893557417972,0.1988541802767011,-0.9746151978413481,0.09212257432750574,0.4779899651552714,0.12795048021421954,14.0,-0.3700196757622353,7.004689908917072,7.004689908917072,0.0,0.0008398081540513201,1.5820842395433456,0.0,0.0,8.0,0.035484011955986064,-0.08655967195326737,1.148314537161406,0.0,8.0,0.9150123925355664,1.0,0.9150123925355664,139.0,0.030300999999999988,0.0,0.0,0.0,0.06136402697387632,0.5796975369587855,0.0,29.03564008708974,12.157711170842955,2.0080321285140563,0.0,0.06120693062492215,0.0,0.0,0.5796975369587855,0.5796975369587855,1.7564620530847674,0.035484011955986064,8.0,8.0,-0.10280627250664333,0.07269501197414645,0.4034005805430708,0.0,0.4034005805430708,0.4034005805430708,0.0,2.05,3.75,91.32,0.0
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",2.0,1.0,0.0,-0.43509217889729895,0.6930928283816178,306.22680412371136,1.2810036689389055,1.0,-1.4040975908172395,180.0942860015319,0.04421298756509725,0.706,0.2979988169477384,0.01271837250365551,0.3216547407658488,0.2848645366648115,-0.18783312411871933,-0.402321008796436,0.1855343892165954,0.28898593376346066,0.0980107487260013,14.804123711340209,-0.8922289848468633,2.9724788178949377,2.9724788178949377,0.0,0.03729194762516447,0.7490080363290841,0.0007372057505911244,66.7934651274952,5.0,0.08614101436148018,-0.6000193746971133,0.5980857938749027,0.1550131639521199,0.03826123923902647,0.4664120984331043,0.38144329896907214,0.4664120984331043,1.0,0.030301000000000182,34.27010117036255,34.27093481593689,47.13520183256933,0.0011755338161121207,0.18283986022226745,17.380359425868747,1160.181334533832,0.03866043771919903,0.4717602404256738,0.3075850622171581,0.4241753089421777,0.019411967362025082,0.07349419887603796,0.1297933303872185,0.3197082265087753,1.1644731386260756,0.03285791269458522,0.061855670103092786,0.0,-3.2307064858988053,2.283902786388167,0.1708393824108254,0.02679303095433427,0.15245835980294442,0.22854343163958996,0.0,1.0128182780499142,1662958.3832685472,20599952.577230826,0.05328310166689495
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",2.0,1.0,0.0,-0.4162274302601133,0.6888915562959762,303.2808988764045,2.6394089764402806,1.0,-2.102701841841352,144.121672237915,0.0633758363842949,0.9066666666666666,0.31265272994239585,0.01308612278047175,0.3321814551708031,0.2968978185620951,-0.16491313019350667,-0.33204818108322515,0.17077278432413598,0.2922474825625945,0.10209688080756577,15.168539325842696,-0.8576938566675676,3.2897530877613343,3.2897530877613343,0.0,0.01639138792492225,0.8161679980362477,0.0001394998354429587,69.42405086046574,5.0,0.08858997552245118,0.22448326236583668,1.0980296479651983,0.03075325468199585,0.04090392627193536,0.4565570025390636,0.39325842696629215,0.4565570025390636,1.0,0.030301000000000106,42.90468941674022,44.61657644286053,33.25066688162991,0.0013176238721468404,0.19264398293335894,0.0,1035.0695827516224,10.21736965073578,0.4823674239952673,0.2794145237730727,0.2951993834054466,0.021717365767198262,0.0780751164096182,0.13482522450576412,0.3321028383106356,1.1796308386863237,0.03483875441894147,0.06741573033707865,0.0,0.4589112592308761,0.6034762651569003,0.17860751413747844,0.02875985316434204,0.15836894335702126,0.23740372011565125,0.0,1.013978500139214,1314308.4888715777,16223150.48070845,0.053751221103509696
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.0,12.0,-1.9835423455799044,0.046050974306401336,0.4862453562894242,29890.33333333333,1.064192912351852,456.0,-0.0642006506002802,18.580171069619862,0.0,1.2266666666666666,0.7182740621302449,0.03161263812211272,0.7410095108727179,0.6735640407518483,-0.017542665230083968,1.3320666144990698,0.13101880126250565,0.18956763221430475,0.16106769809267785,14.666666666666664,-0.5469308909666422,4.021033880885732,4.021033880885732,0.0,0.0026932947978674225,1.2027895713639574,0.0074826875877599406,4.341982117943633,7.0,0.07361685668259631,-0.4756838868559897,0.7684378119292672,0.04489612552655964,0.7777777777777778,0.5299954710811147,0.3333333333333333,0.5320943099266652,164.0,0.03030099999999997,2.9999957553547416,2.9998892741070335,2.9999924081366087,0.028235090876503964,0.3881091267806104,0.0,83.9726969959237,14.141948069938623,1.3572578791322751,0.1539219288388884,0.3363594865151738,0.15713484026367722,0.10841917341471533,0.311445194048425,0.5414369922449813,1.357584120533058,0.024538952227532104,1.0,0.6666666666666666,-1.1483773091918232,0.8120258279052843,0.3788822122105165,0.009228602812806031,0.36583099695089183,0.385407819840329,0.0,1.081483747120199,339.7345218885966,4714.3445181274565,0.049077904455064214
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",2.0,1.0,0.0,-0.11226695969346737,0.7470546162459243,297.42857142857144,0.9786179428274788,1.0,-0.043680453923187784,26.509441407511,0.24489795918367346,0.6649999999999999,0.5668836311374053,0.020317329864068562,0.5918501455291392,0.5399087725966996,0.06392492198276675,1.598042922310316,0.1688114409201413,0.19407956397890208,0.15059989049590142,15.142857142857142,-0.6064910409612484,4.836798856774194,4.836798856774194,0.0,0.03008799762597687,0.6055206118915512,0.004371237227419085,11.335096404591985,6.0,0.08499198694751026,-0.500204445807487,0.6026088860349611,0.09421869148784492,0.2857142857142857,0.4912760920436365,0.42857142857142855,0.4998904006039188,6.0,0.030300999999999825,7.09405119068904,7.040656608049614,7.054900089873454,0.008036127640828184,0.34979816069571745,132.41459126938827,169.71263430878685,12.121956283235939,0.5621195845714286,0.2840933449271581,0.235809503158423,0.13226001425322162,0.13156290444559576,0.2463331966309563,0.6067703878941064,1.3788012952190951,0.03642513726321868,0.42857142857142855,0.0,-1.086472266158628,0.5121915397306874,0.3188255957179439,0.047401799081990624,0.2893488826531421,0.4337498230212036,0.0,1.092258927424332,4849.449318536268,65573.4133897374,0.048566849684291584
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",2.0,1.0,0.0,-0.09680649791421968,0.7406845990777791,294.04651162790697,0.8581885109020039,1.0,-0.029680195281738857,48.508677085077906,0.09085992428339644,0.8414814814814814,0.3947819687200895,0.013047856011169423,0.4113761175596089,0.3760469472437439,0.04917384087820927,1.6171792678613612,0.15811098288306108,0.1987037162787498,0.15561776361728116,15.023255813953488,-0.5747980093441122,4.777318101400132,4.777318101400132,0.0,0.03705068742098999,0.581245267182055,0.001563064800381452,36.16337059384618,6.0,0.08816289097561088,-0.12720175833925915,0.7265122636122816,0.11293741739245147,0.09085992428339644,0.4816195641266235,0.4418604651162791,0.4870356914766064,2.0,0.030301000000000262,21.41957300017434,21.16252589816068,21.4999517682584,0.0027140275183681023,0.2477595078434257,404.7371152764499,502.5123667082994,8.825080633007698,1.00937378827907,0.3399813327614697,0.3604212541623243,0.04480760449368952,0.09447967883205917,0.17154527068336267,0.4225520224538945,1.40295054750213,0.03895569601247923,0.13953488372093026,0.0,-0.1782424206991252,0.5050429935250337,0.2238898591277432,0.034782738590858175,0.20150119056435808,0.30206132107523803,0.0,1.0291486372627427,152766.87880634642,2055807.0842887503,0.04920719496313165
"mp-300004226, CrS2, LiCrS2, mp-755263, mp-4226",1.0,4.0,-1.6779188983813595,-0.08573035228906623,0.5072181814196638,3819.666666666666,1.0676401310208206,63.0,-0.04090622281319956,12.28297390379398,0.0,0.18400000000000005,0.8027004118291164,0.04770198955381726,0.8364308121188586,0.7352396112499283,-0.037358737287415934,0.5846620365949419,0.17049946286086545,0.284027828663292,0.20677247924715414,14.0,-0.7014733706473729,4.784417535813616,4.784417535813616,0.0,0.06493917772438826,0.6293240259270442,0.01689590362996868,1.7276005143216586,6.0,0.05228736429867625,-0.2991413203592059,0.955544704865992,0.050687710889906035,2.6666666666666665,0.23455859051343625,0.3333333333333333,0.8398572479717691,164.0,0.030300999999999908,2.171545722994546,0.8283667495937606,0.8283667495937606,0.34688881466776256,3.7841014595485913,0.0,59.11376565749464,14.152078390508713,0.1886043276666666,0.15348400433842047,0.2117226891878212,0.0,2.092895435049832,0.8243003506723784,5.264002013986696,0.947325878788778,0.017429121432892082,2.6666666666666665,2.6666666666666665,-0.4668870165370712,0.3304477447963682,4.641661256517611,2.906217297917533,0.5316493385993448,6.696667215476742,0.0,1.3715339700741749,259.8164931537914,1737.3716032192747,0.034858242865784164
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",2.0,1.0,-1.047809494376711,-0.4180779996167717,0.4206553640157133,17908.53846153846,0.9981269727418892,1.0,-0.2940162775231017,26.700963815920357,0.4733727810650888,0.979090909090909,0.5964570640376791,0.01828604127235552,0.63731416267004,0.5768723748921585,-0.05587663057274853,0.4962400914742346,0.21488535568779332,0.16561679739001844,0.13162202002870144,15.076923076923075,-0.5711405105588155,2.6859426793885737,2.6859426793885737,0.0,0.18438925963978184,0.276206910272398,0.014096839157704657,10.43589643920605,5.0,0.09071523890163004,0.13967944513114516,0.7489616255132104,0.19719064830427507,0.1952662721893491,0.5207084398686215,0.5384615384615384,0.5155936088385101,1.0,0.030301,5.0889600855613635,7.716474499327592,6.402515795570201,0.009237060239434606,0.4129819360225144,0.0,147.64788322416396,3.268385588434373,0.3193387808949941,0.19800557290526105,0.4018988696596433,0.1336282815459907,0.16238556073506033,0.258038945966691,0.6356041064597605,0.9956119707914792,0.04884666710087771,0.3076923076923077,0.0,0.23147829084464205,0.666031164097631,0.3528750253996634,0.0690089552956939,0.2846725347887299,0.4543616072717533,0.0,1.0996987372095923,3082.368328798604,34553.762286169316,0.041868571800752326
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",2.0,1.0,-0.4853080287600218,-0.33793731355372536,0.4110764127643746,16813.285714285714,0.9512956259057944,1.0,-0.07059487015838888,21.797532117790624,0.5102040816326531,1.1234782608695653,0.5774808284991259,0.00938830103973929,0.5907958568277566,0.5623535761524439,-0.03708464538357644,0.4836475443428664,0.22453604634627133,0.19622336657750375,0.12599277383503854,14.571428571428573,-0.7398511070128478,2.9880739992069416,2.9880739992069416,0.0,0.05826715316062835,0.35479077929693764,0.004092965838080795,10.378015370483013,6.0,0.09242237603886193,0.05039179974068079,0.9962568838197804,0.0886731665357621,0.1683673469387755,0.5264093698530303,0.5714285714285714,0.5215705050450802,1.0,0.030301000000000057,6.927324972799426,6.727472854140626,5.5941257293612185,0.008738682755770916,0.4210271387872863,15.507259519134472,156.0684178248661,13.140557720247287,0.38723181578911575,0.1862962532591564,0.19478217839999049,0.12836475127968494,0.16359882302251413,0.25331213288631577,0.6239609733152699,0.961116938907679,0.0528127863079211,0.2857142857142857,0.0,0.062351484821998975,0.2410106029671809,0.3535272366118059,0.07014188857662998,0.27945784188250233,0.4460385133278272,0.0,1.092258927424332,4306.825173216959,47606.4756635397,0.03960958973094083
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",4.0,16.0,-1.873843282840612,-0.5915502051566236,0.3117580786958009,22809.0,1.6157355742729342,424.0,-0.35182668550199264,33.21175930395363,0.0,0.77,0.6024551534125003,0.02416676749405799,0.6266219210433243,0.5782883803429567,-0.15859866477016932,-0.3582335968614683,0.172050301831514,0.22532058725049675,0.1859371511091064,16.0,-0.8840580523066239,2.6387015082339644,2.6387015082339644,0.0,0.032123688138213265,0.8876338122138214,0.0010666185639777114,6.4204749694770475,4.0,0.056504400275890924,-3.469757814400509e-11,1.3799849234116457,0.008532948511821691,0.4375,0.7264100374321122,0.5,0.6980201356478315,139.0,0.030300999999999956,2.4022709084370435,5.5977290915629565,4.0,0.015436633843188682,0.34342110405707904,43.49583863465046,145.87196678055585,24.700137176522542,0.10869565250000003,0.2796232791271289,2.1951888979061376e-10,0.0625,0.08433921516241383,0.2590818888946652,0.4277603192194929,1.0145883631132864,0.028252200137945462,0.5,0.375,-4.309387643011807e-11,2.726394876215726e-10,0.3032161490113559,0.017393023540145332,0.2858231254712106,0.32060917255150123,0.0,1.0835381331286953,5578.492325867115,73654.52730634059,0.028252200137945462
