,density,energy_per_atom,nsites,nelements,bandgap,volume,Unit Cell Mass,energy,formationenergy_pa,total_magnetization,energysStab,atomMean,atomStd,halogen,transition,actinoid,chalcogen,metalloid,rare,other,alkaline
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",7.174413697087316,-3.8160462,1.0,1.0,0.0,28.181706207302263,121.76,-3.8160462,0.3082833800000002,1.02e-05,0.3082833800000002,51.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",4.329686619208567,-7.88840463742268,97.0,3.0,0.0,1126.0605731080834,2936.0886,-765.17524983,-2.849587550979381,2.7259328,0.033870263795103384,13.927835051546392,13.920427341675033,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",4.387228733557704,-7.8698760516853925,89.0,3.0,3.3221,1004.6283394383028,2654.27944,-700.4189686,-2.890844746825843,1.98e-05,0.011585055835672264,13.719101123595506,13.86774510323149,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.089621942317269,-8.822173425,6.0,2.0,0.0,81.50307239915684,249.81036,-52.93304055,-2.6280075225000004,1.1342821,0.28384010833333306,19.0,15.556349186104045,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",5.176565986512956,-8.311046010714286,14.0,3.0,0.0,164.72141083895573,513.50272,-116.35464415,-2.729067297142857,4.41e-05,0.05940283357142917,16.714285714285715,15.452362609131383,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",5.268449435406872,-8.223957513023256,43.0,3.0,0.0,487.73355233887906,1547.44916,-353.63017306,-2.727400267674419,0.0026214,0.04385439790697632,16.3953488372093,15.410868310631136,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
"mp-300004226, CrS2, LiCrS2, mp-755263, mp-4226",3.3608907545059163,-6.4978196100000005,3.0,2.0,0.0,57.37523855406784,116.1261,-19.49345883,-0.975355499375001,2.0136061,0.0,18.666666666666668,3.7712361663282534,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",3.6430596555538663,-5.0149112353846155,13.0,3.0,0.0,143.3055808197448,314.3984,-65.19384606,-1.5278891674999997,0.9555405,0.03008017615384606,11.307692307692308,9.925759923510723,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",3.5225902729082663,-4.9837034000000004,14.0,3.0,0.0,151.47846874347024,321.33939999999996,-69.7718476,-1.6094075098214289,2.0000366,0.022672047142856755,10.714285714285714,9.801082822310804,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",3.7317831857268864,-4.531536555,8.0,2.0,0.0,141.58189381603628,318.1816,-36.25229244,-0.3655114206249994,-0.0105148,0.5880946375000002,18.5,10.5,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",4.109560280168486,-4.85642077,11.0,3.0,0.0,136.9806729480452,339.0046,-53.42062847,-1.3059873322727271,0.9746842,0.045102449999999905,14.272727272727273,11.306401317121272,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",3.531484891610086,-8.794673554166666,12.0,2.0,1.712,150.2147379102473,319.4632,-105.53608265,-3.3398021072222215,0.0,0.17869182333333278,12.666666666666666,6.599663291074444,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
"mp-300006944, Li3Ti8O16, Li7Ti16O32, mp-531914, mp-530141",3.6154980710055717,-8.356526071666666,54.0,3.0,0.0,606.0241412335739,1319.4987999999998,-451.25240787,-3.29565638771605,0.0001173,0.02215640388888751,11.592592592592593,6.924242219586248,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
