,Crystal System,symmetry ops,ShannonForce,meanbv,stdbv,meanValenceOcc,VegardVolume,Hall Number,strainlatticemean,strainlatticestd,ioniccount,ionicitymean,NNdist,NNdiststd,nndistmax,nndistmin,bcc,oct,q4,q6,q2,cn,tet,lin,bent,reg_tri,sq,sq_pyr
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",4.0,16.0,0.0,-2.2100265807616717,1.6518798738549583,577.0,1.2241868460857266,424.0,-0.03860289044963213,7.489159487460429,0.0,0.0,1.1362893557417972,0.0,1.1362893557417972,1.1362893557417972,0.1988541802767011,-0.974615197841348,0.09212257432750574,0.47798996515527137,0.12795048021421956,14.0,-0.37001967576223543,7.004689908917073,7.004689908917073,0.0,0.0008398081540513201,1.5820842395433456
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",2.0,1.0,0.0,-0.43509217889729895,0.6930928283816178,306.22680412371136,1.2810036689389055,1.0,-1.4040975908172395,180.0942860015319,0.04421298756509725,0.706,0.2979988169477384,0.01271837250365551,0.32165474076584877,0.2848645366648115,-0.18783312411871933,-0.40232100879643595,0.1855343892165954,0.28898593376346066,0.0980107487260013,14.804123711340207,-0.8922289848468633,2.9724788178949377,2.9724788178949377,0.0,0.03729194762516447,0.749008036329084
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",2.0,1.0,0.0,-0.41622743026011333,0.6888915562959762,303.2808988764045,2.639408976440281,1.0,-2.102701841841352,144.121672237915,0.0633758363842949,0.9066666666666666,0.31265272994239585,0.01308612278047175,0.3321814551708031,0.2968978185620951,-0.16491313019350667,-0.33204818108322515,0.17077278432413598,0.29224748256259453,0.10209688080756575,15.168539325842696,-0.8576938566675676,3.2897530877613343,3.2897530877613343,0.0,0.01639138792492225,0.8161679980362477
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.0,12.0,-1.9835423455799044,0.046050974306401336,0.4862453562894242,29890.333333333332,1.0641929123518519,456.0,-0.0642006506002802,18.580171069619865,0.0,1.2266666666666666,0.718274062130245,0.03161263812211272,0.741009510872718,0.6735640407518483,-0.017542665230083968,1.3320666144990698,0.13101880126250565,0.18956763221430473,0.16106769809267785,14.666666666666666,-0.5469308909666422,4.021033880885733,4.021033880885733,0.0,0.0026932947978674225,1.2027895713639574
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",2.0,1.0,0.0,-0.11226695969346737,0.7470546162459243,297.42857142857144,0.9786179428274787,1.0,-0.04368045392318779,26.509441407511,0.24489795918367346,0.6649999999999999,0.5668836311374053,0.020317329864068565,0.5918501455291392,0.5399087725966996,0.06392492198276675,1.5980429223103159,0.1688114409201413,0.19407956397890208,0.15059989049590142,15.142857142857142,-0.6064910409612484,4.836798856774193,4.836798856774193,0.0,0.03008799762597687,0.6055206118915512
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",2.0,1.0,0.0,-0.09680649791421969,0.7406845990777791,294.04651162790697,0.8581885109020039,1.0,-0.029680195281738857,48.50867708507791,0.09085992428339643,0.8414814814814814,0.3947819687200895,0.013047856011169423,0.4113761175596089,0.37604694724374393,0.049173840878209266,1.6171792678613612,0.15811098288306108,0.1987037162787498,0.15561776361728116,15.023255813953488,-0.5747980093441122,4.777318101400132,4.777318101400132,0.0,0.037050687420989985,0.581245267182055
"mp-300004226, CrS2, LiCrS2, mp-755263, mp-4226",1.0,4.0,-1.6779188983813595,-0.08573035228906623,0.5072181814196638,3819.6666666666665,1.0676401310208206,63.0,-0.040906222813199555,12.28297390379398,0.0,0.18400000000000005,0.8027004118291164,0.04770198955381726,0.8364308121188586,0.7352396112499283,-0.037358737287415934,0.5846620365949419,0.17049946286086545,0.284027828663292,0.20677247924715417,14.0,-0.7014733706473729,4.784417535813616,4.784417535813616,0.0,0.06493917772438826,0.6293240259270442
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",2.0,1.0,-1.047809494376711,-0.4180779996167717,0.42065536401571324,17908.53846153846,0.9981269727418891,1.0,-0.2940162775231017,26.700963815920357,0.4733727810650888,0.979090909090909,0.5964570640376791,0.018286041272355516,0.63731416267004,0.5768723748921585,-0.05587663057274853,0.4962400914742346,0.21488535568779335,0.16561679739001844,0.13162202002870146,15.076923076923077,-0.5711405105588155,2.6859426793885737,2.6859426793885737,0.0,0.18438925963978184,0.27620691027239797
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",2.0,1.0,-0.48530802876002177,-0.33793731355372536,0.4110764127643746,16813.285714285714,0.9512956259057943,1.0,-0.07059487015838888,21.797532117790624,0.5102040816326531,1.1234782608695653,0.5774808284991259,0.00938830103973929,0.5907958568277566,0.5623535761524439,-0.03708464538357644,0.48364754434286644,0.22453604634627133,0.19622336657750378,0.12599277383503854,14.571428571428571,-0.7398511070128478,2.9880739992069416,2.9880739992069416,0.0,0.058267153160628346,0.35479077929693764
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",4.0,16.0,-1.8738432828406117,-0.5915502051566236,0.3117580786958009,22809.0,1.615735574272934,424.0,-0.35182668550199264,33.21175930395363,0.0,0.77,0.6024551534125003,0.02416676749405799,0.6266219210433243,0.5782883803429567,-0.15859866477016932,-0.3582335968614683,0.17205030183151399,0.22532058725049675,0.18593715110910636,16.0,-0.8840580523066239,2.6387015082339644,2.6387015082339644,0.0,0.032123688138213265,0.8876338122138214
