,chargedensityvoldens,HeatFusion wmean,numberDensity,NfValenc wmean,atomMean,AtomicWeigh wstd,AtomicWeigh wmean,metalloid,GSmagmom wmean,AtomicVolum wmean,deltashannonmax
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",0.876064842,4.2922222219999995,0.082892799,0.0,10.88888889,2.3340557509999997,7.408681481,1.0,8.35e-07,4133.735262,0.015434705
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",0.999965381,4.0736666669999995,0.055192785999999994,0.0,18.66666667,2.0223166669999997,19.35435,0.0,0.0,11.07100484,0.091541046
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",0.9897795509999999,2.725333333,0.053672150999999994,0.0,19.0,1.5319924999999999,19.84467417,0.0,5.17e-05,11.09096601,0.08901896699999999
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",1.2488412420000001,3.455,0.069550399,0.0,18.5,11.88665,19.88635,0.0,0.0,4651.0067770000005,0.009500358
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",1.455229294,2.124912281,0.06430510099999999,0.0,23.31578947,8.009188732,17.89508667,0.0,0.0,3919.6535,0.014113742
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",1.373826652,1.7078787880000001,0.06303645599999999,0.0,22.45454545,6.634513285,17.00873939,0.0,0.0,3385.4124659999998,0.023897334
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",1.036934668,0.855714286,0.04478134,0.0,23.85714286,13.9059073,18.32126423,0.0,1.4800000000000002e-05,3553.138733,0.03007507
"mp-300018878, FeAs2O7, LiFeAs2O7, mp-25524, mp-18878",1.088650431,2.141,0.075786326,0.0,14.8,3.861634604,10.58946667,1.0,0.070355427,4340.020182,0.034869483
"mp-300018915, CoPO4, LiCoPO4, mp-510669, mp-18915",1.013489876,1.978888889,0.084664835,0.0,12.33333333,2.420305031,8.550253167000001,0.0,0.08602617800000001,4133.777703,0.013874661000000002
"mp-300018932, Pr(WO4)2, LiPr(WO4)2, mp-25655, mp-18932",1.5544259280000001,3.4324242419999997,0.065006614,0.939393939,24.63636364,10.00648245,19.29038939,0.0,0.0,4509.228302,0.015910856
"mp-300018939, Co(CO)4, LiCo(CO)4, mp-543072, mp-18939",0.420393281,18.02518519,0.046966079,0.0,9.222222222000001,0.7396330090000001,6.33235537,0.0,0.057350785,2756.114255,0.02052449
"mp-300018951, FePO4, LiFePO4, mp-25527, mp-18951",1.05091822,1.846111111,0.088994145,0.0,12.16666667,2.341004086,8.378686777999999,0.0,0.117259044,4133.8211200000005,0.005687005
"mp-300018987, MoP2O7, LiMoP2O7, mp-25577, mp-18987",0.864157968,2.536666667,0.06955803299999999,0.0,12.8,2.086684062,8.996777467000001,0.0,0.0,4340.576975999999,0.006958568
"mp-300018997, MnPO4, LiMnPO4, mp-540007, mp-18997",0.94044738,1.7961111109999999,0.080745323,0.0,12.0,2.322020375,8.328300388999999,0.0,1.7199999999999998e-05,4133.845305,0.017394374
