,Crystal System,symmetry ops,ShannonForce,meanbv,stdbv,meanValenceOcc
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",4.0,16.0,0.0,-2.210026580761672,1.6518798738549585,577.0
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",2.0,1.0,0.0,-0.43509217889729895,0.6930928283816178,306.22680412371136
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",2.0,1.0,0.0,-0.4162274302601133,0.6888915562959762,303.2808988764045
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",5.0,12.0,-1.9835423455799044,0.046050974306401336,0.4862453562894242,29890.33333333333
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",2.0,1.0,0.0,-0.11226695969346737,0.7470546162459243,297.42857142857144
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",2.0,1.0,0.0,-0.09680649791421968,0.7406845990777791,294.04651162790697
"mp-300004226, CrS2, LiCrS2, mp-755263, mp-4226",1.0,4.0,-1.6779188983813595,-0.08573035228906623,0.5072181814196638,3819.666666666666
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",2.0,1.0,-0.4853080287600218,-0.33793731355372536,0.4110764127643746,16813.285714285714
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",4.0,16.0,-1.873843282840612,-0.5915502051566236,0.3117580786958009,22809.0
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",1.0,2.0,-0.30100035920606383,-0.1406127615178509,0.4186035188256016,13028.818181818182
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",7.0,48.0,-0.8679325670873069,-0.1358972374237708,0.51275934653398,30077.0
"mp-300006944, Li3Ti8O16, Li7Ti16O32, mp-531914, mp-530141",3.0,8.0,0.0,-0.3316869678332809,0.7101274824489421,312.0
"mp-300006944, Li7Ti16O32, LiTi2O4, mp-530141, mp-5670",3.0,4.0,0.0,-0.3156102430215089,0.7058186896410643,309.09090909090907
"mp-300006944, LiTi2O4, LiTiO2, mp-5670, mp-6944",7.0,48.0,0.0,-0.30010768695301465,0.7016637822906105,306.2857142857143
"mp-300007543, VS2, LiVS2, mp-9561, mp-7543",5.0,12.0,-1.6937695776528512,0.060109886105016525,0.4751307932808394,3882.333333333334
"mp-300007936, NbS2, Li9(NbS2)14, mp-10033, mp-767218",6.0,24.0,-0.2670041166544822,0.2457469991721942,0.4918692520316811,3842.333333333334
"mp-300007936, Li9(NbS2)14, Li5(NbS2)7, mp-767218, mp-767171",2.0,1.0,0.0,0.4929784225914093,1.2825358460278948,575.0196078431372
"mp-300007955, Sb, Li3Sb, mp-80, mp-7955",6.0,24.0,0.0,-2.210026580761672,1.6518798738549585,577.0
"mp-300009158, CuO2, LiCuO2, mp-704672, mp-9158",3.0,4.0,0.06720971642977977,-0.6789598951469062,0.7911589391346271,345.66666666666674
"mp-300009615, TiS2, LiTiS2, mp-2156, mp-9615",5.0,12.0,-1.7101118039997378,0.0637987874420222,0.5183832422762371,4029.0
"mp-300010179, MgSbPd, LiMgSbPd, mp-10183, mp-10179",7.0,24.0,0.0,0.07557170030816247,1.090928528172656,238.66666666666663
"mp-300010189, TiTe2, LiTiTe2, mp-1907, mp-10189",5.0,12.0,-1.539126635207957,0.15724099223267748,0.7938524560556091,721.0
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",2.0,1.0,-0.5408001122432726,-0.08573035228906628,0.5072181814196637,3819.666666666666
