,dVraw,VnormLiFormFrac,dVnormNumDens,dVperAtom,dVnormLiPerFormulaUnit,dVnormLiPerFormulaUnit2,dVoriginal,dVweight,dVdensity,VnormLiFrac,dVnormNumDensnorPerFormulaUnit,gravCap2,energy_grav3,energy_grav2,gravCap3,energy_vol2,volumetricCap3,energy_vol3,volumetricCap2,avgVolt2,avgVolt3
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",-0.003209907695527145,-7.527372077253399,-844.4152529752678,-1.58924553967042,0.0579643988895526,-0.057778338519488576,0.0032202443827529237,-330.2715672733676,-0.8882395902531575,-7.62318524666074,-446.1432931147605,-0.005737029521353682,-6.494274332013312e-05,-0.0011689693797623955,-0.00031872386229742685,-0.000264900246866535,-7.222604053324742e-05,-1.4716680381474176e-05,-0.001300068729598453,-0.0006540464527798938,-0.0006540464527798938
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",-0.025404996020949016,-2.591235318989213,-76.89151639447023,-1.4554102091263057,0.06256136159260298,-0.06097199045027765,0.026067233996917905,-292.6469542068301,-0.8251534864955954,-3.0088208211972614,-49.63984306341346,-0.0007198638274932452,-0.00012366994305228012,-0.0002968078633254723,-0.0002999432614555188,-5.370124558481379e-05,-5.4268531043835326e-05,-2.2375518993672404e-05,-0.00013024447450520478,-0.010474762446430549,-0.010474762446430549
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",0.05703119080900022,0.24316329834343026,11.192219989569876,-0.373525417030999,0.17109357242700055,0.17109357242700066,0.05703119080900021,-1057.2378615651844,-0.03306818829110949,0.184945090523694,3.2045736418153146,0.002051345712517825,0.00025618003452033375,0.0007685401035610009,0.0006837819041726086,0.0002181747078156757,0.00019411337998013025,7.272490260522524e-05,0.0005823401399403902,0.02136683106269703,0.02136683106269703
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",0.003323623002270023,-1.4917184671872754,-102.8622844424161,-1.483174432395007,0.00997086900680988,0.00997086900681007,0.00332362300226996,-75.92869634373507,-0.6605946505592424,-1.6696983577006517,-27.797127345795754,0.00012212909805408,1.65945857452328e-05,4.978375723569842e-05,4.070969935136e-05,1.3879876468633704e-05,1.1349999064894149e-05,4.626625489544567e-06,3.404999719468246e-05,0.0013548158737299893,0.0013548158737299893
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",0.024441262309658283,0.26789360445216315,3.701195068509813,-1.0053259075664185,0.0977650492386335,0.09776504923863312,0.02444126230965837,-1474.2409126375126,-0.003871977856608068,0.20133847758417786,2.0234778420180293,0.0012619223137126097,0.00010851798039443093,0.0004340719215777237,0.0003154805784281524,0.0001060354738035481,7.706587536889717e-05,2.6508868450887024e-05,0.0003082635014755887,0.008407225691513304,0.008407225691513304
"mp-300006944, Li3Ti8O16, Li7Ti16O32, mp-531914, mp-530141",0.0004500498738624611,0.14324272636007535,0.2736026444258455,-1.0976594701628548,0.0072007979817989565,0.007200797981799378,0.0004500498738624348,-21914.67991025856,0.0048081168986804325,0.12737685092229875,0.3362514803309131,0.00035637674476841273,9.461825983369915e-06,0.00015138921573391864,2.22735465480258e-05,4.167193531643661e-05,6.131095841386358e-06,2.604495957277288e-06,9.809753346218173e-05,0.00019118165942466937,0.00019118165942466937
"mp-300006944, Li7Ti16O32, LiTi2O4, mp-530141, mp-5670",0.0006377003351920324,-2.497769471235769,-456.95572369169145,-1.1056449267925903,0.010203205363072957,0.010203205363072518,0.0006377003351920598,-854.5021334560747,-0.7488519560958846,-2.5613652798036908,-486.2565934046688,0.0005076121518942303,1.3993797917885388e-05,0.0002239007666861662,3.172575949338941e-05,6.134999343487916e-05,8.693025778532327e-06,3.8343745896799465e-06,0.00013908841245651723,0.0002812808823285857,0.0002812808823285857
"mp-300007936, Li9(NbS2)14, Li5(NbS2)7, mp-767218, mp-767171",-0.002232572012573868,0.09798618921107737,-1.9576436195360976,-1.352545709635824,0.03132594560545955,-0.03125600817603417,0.002237567543247111,-32653.019574537553,0.005314346694458678,0.08029964390149083,-1.4575850811577904,-0.002644857619557105,-9.037251317749947e-05,-0.0012652151844849931,-0.000188918401396936,-0.0003005077819149555,-4.487098357882997e-05,-2.146484156535396e-05,-0.0006281937701036201,-0.0010679909534176313,-0.0010679909534176313
"mp-300007936, Li5(NbS2)7, LiNbS2, mp-767171, mp-7936",0.004563080786596139,-3.977288231700576,-194.62148619989856,-1.1646513663871685,0.01597078275308661,0.015970782753086485,0.004563080786596174,-365.5354250639558,-0.8560508433361564,-4.360156557216005,-112.77011293490223,0.00034199469916416973,5.5992695031348814e-05,0.0001959744326097209,9.771277118976278e-05,4.61937881519466e-05,2.3032203701125245e-05,1.3198225186270458e-05,8.061271295393837e-05,0.002614798329596993,0.002614798329596993
"mp-300018782, Li(FeO2)3, LiFeO2, mp-762931, mp-18782",0.028874022615338737,0.0280637104063942,-37.310031440778154,-0.9506998743592292,0.04331103392300816,0.043311033923008106,0.028874022615338783,-214.44605413433268,-0.6593930219058505,-0.166323547512327,-27.678438052017512,0.00022975749818203003,3.958397021402504e-05,5.937595532103755e-05,0.0001531716654546867,1.4075002082854293e-05,3.6309167551955485e-05,9.383334721902859e-06,5.446375132793324e-05,0.007461879113032015,0.007461879113032015
