,dVraw2,dVnormNumDens,dVnormLiPerFormulaUnit2,dVoriginal,dVraw,dVdensity,dVnormLiPerFormulaUnit,dVweight,VnormLiFrac,dVnormNumDensnorPerFormulaUnit,dVperAtom,avgVolt2,volumetricCap2,energy_grav3,avgVolt3,gravCap3,energy_vol2,energy_vol3,gravCap2,energy_grav2,volumetricCap3,deltax2,deltay,deltax,max Anisotropy,anisotropyMean,deltaz2,deltay2,deltaz
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",1.5062966098890491,35.464104148604896,0.5020988699630164,1.5062966098890491,1.5062966098890491,-12.543488198521802,0.5020988699630164,-47.03229404350507,1.0,11.821368049534964,-0.4979011300369836,1.5895791941724466,0.0002656194448726434,0.002818836252959509,1.5895791941724466,0.002671149387983639,0.0002803054460623725,0.0008409163381871171,0.0008903831293278797,0.0009396120843198363,0.0007968583346179303,-0.12456859339493752,-0.4982743741686623,-0.4982743735797501,-0.3418472562663837,-0.4461320013382654,-0.08546181406659592,-0.12456859354216558,-0.3418472562663837
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",-0.10783810087108443,-59.09578467284136,-0.09221295142452304,0.008785514017957352,-0.008709000967871621,-48.24571862909252,0.09302308960190138,-15078.677128922749,-0.028429676375695226,-34.24257552651591,-1.7547697874708297,-0.0017384890332054522,-0.0012244485798699005,-0.00010127700790100552,-0.0017384890332054522,-0.0005073495104002551,-0.0002444241808768612,-2.3084505971703555e-05,-0.005371935992473289,-0.0010723447895400586,-0.00011564236587660171,-5.325856061412616,-0.8744889200659642,-0.6583349853690592,2.712909603872806,0.3933618994792612,21.94713387402721,-7.0745171061516245,2.712909603872806
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",-0.8892455452995031,-844.4152529752678,-0.057778338519488576,0.0032202443827529237,-0.003209907695527145,-843.4600119966292,0.0579643988895526,-330.2715672733676,-7.62318524666074,-446.1432931147605,-1.58924553967042,-0.0006540464527798938,-0.001300068729598453,-6.494274332013312e-05,-0.0006540464527798938,-0.00031872386229742685,-0.000264900246866535,-1.4716680381474176e-05,-0.005737029521353682,-0.0011689693797623955,-7.222604053324742e-05,161.27082508453458,7.441048464243325,5.599681426546336,7.441048464243325,5.0644250186462365,61.99330075629256,214.30219577020782,2.1525451651490464
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",1.0210454157144118,84.09402070356299,0.021045415714411868,0.010522707857205882,0.010522707857205936,85.17457760610985,0.021045415714411764,-1026.9252449959506,1.0,168.18804140712598,-0.9368637528567638,0.003154831805808821,3.8946612745558756e-05,3.022248344843103e-05,0.003154831805808821,0.00010080485541622988,1.1676653413319533e-05,5.838326706659766e-06,0.00020160971083245968,6.044496689686205e-05,1.9473306372779375e-05,0.02189119598593019,-1.0833203207693771,0.012769864325125946,0.012769864325125946,-0.596775809153757,-1.23390337888632,-1.857120549890361,-0.7197769710170201
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",1.9609602653034872,887.1573416849714,-0.15615893878605225,0.013184822219325376,-0.013013244898837692,928.909951371974,0.15821786663190446,1675.7973429657602,0.7036262084664558,852.1463526122557,-1.8043156667097089,-0.004897011442424481,-0.0017113609085708152,-0.0002827409373916223,-0.004897011442424481,-0.0007513515343926742,-0.0006440018624515216,-5.366682187096016e-05,-0.009016218412712086,-0.003392891248699466,-0.000142613409047568,-4.9835021371007455,0.002609885177848373,-0.8503594916481426,0.12521658853690912,-0.2408443393111284,0.7338274491000258,0.015295141042274196,0.12521658853690912
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",-0.8375674993368248,-76.89151639447023,-0.06097199045027765,0.026067233996917905,-0.025404996020949016,-75.75186821965644,0.06256136159260298,-292.6469542068301,-3.0088208211972614,-49.63984306341346,-1.4554102091263057,-0.010474762446430549,-0.00013024447450520478,-0.00012366994305228012,-0.010474762446430549,-0.0002999432614555188,-5.370124558481379e-05,-2.2375518993672404e-05,-0.0007198638274932452,-0.0002968078633254723,-5.4268531043835326e-05,10.77708319738756,1.1043302225144926,2.993634221496544,2.993634221496544,1.4383092919002571,0.7810683540830441,3.975588801052174,0.2169634316897344
"mp-300004226, CrS2, LiCrS2, mp-755263, mp-4226",0.11075673078595147,7.058518966318853,0.11075673078595147,0.11075673078595136,0.11075673078595147,-2.9253051874385263,0.11075673078595136,-122.5492529685482,1.0,7.058518966318853,-0.6677298076421454,0.046538878344945744,0.0001586009234802899,0.00021369731421556519,0.046538878344945744,0.0005085729768737474,6.664253297174324e-05,6.664253297174324e-05,0.0005085729768737474,0.00021369731421556519,0.0001586009234802899,-0.14217931500000014,-0.19125633862397687,-0.18957242000000016,0.04043376228533102,-0.1134649987795487,0.030325321713998262,-0.1434422539679827,0.04043376228533102
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",-0.6655587923325766,-102.8622844424161,0.00997086900681007,0.00332362300226996,0.003323623002270023,-102.09507504035619,0.00997086900680988,-75.92869634373507,-1.6696983577006517,-27.797127345795754,-1.4831744323950067,0.0013548158737299893,3.404999719468246e-05,1.65945857452328e-05,0.0013548158737299893,4.070969935136e-05,1.3879876468633704e-05,4.626625489544567e-06,0.00012212909805408,4.978375723569842e-05,1.1349999064894149e-05,4.270545942154032,1.4289323867348191,1.1862627617094537,1.4289323867348191,0.7965762760130715,-0.81167875345821,5.144156592245347,-0.2254663204050585
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",-0.032498653210343835,-1.4838957955526828,-0.043331537613791785,0.0335902924767808,-0.032498653210343835,4.622290742835868,0.044787056635707735,-451.90511650867364,1.0,-1.978527727403577,-1.0866630752275837,-0.008521056242258098,-4.4456397467359524e-05,-3.592683450954872e-05,-0.008521056242258098,-0.00013702218392608892,-1.1656343439702284e-05,-8.742257579776714e-06,-0.00018269624523478527,-4.790244601273163e-05,-3.3342298100519645e-05,0.6650045859306244,0.04343296657871053,0.9143813056546084,0.9143813056546084,0.3337470249513585,0.03158312917873194,0.03158761205724403,0.04342680262075641
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",0.024441262309658283,3.701195068509813,0.09776504923863312,0.02444126230965837,0.024441262309658283,-0.5863422750711986,0.0977650492386335,-1474.2409126375126,0.20133847758417786,2.0234778420180293,-1.0053259075664185,0.008407225691513304,0.0003082635014755887,0.00010851798039443093,0.008407225691513304,0.0003154805784281524,0.0001060354738035481,2.6508868450887024e-05,0.0012619223137126097,0.0004340719215777237,7.706587536889717e-05,-0.4254361296600149,0.007354244851927261,-0.0398846371556264,0.0073588684027854345,-0.008390507966971236,0.07849459629637796,0.07844527842055744,0.0073588684027854345
