,dVraw2,dVnormNumDens,dVnormLiPerFormulaUnit2,dVoriginal,dVraw,dVdensity,dVnormLiPerFormulaUnit,dVweight,VnormLiFrac,dVnormNumDensnorPerFormulaUnit,dVperAtom,avgVolt2,volumetricCap2,energy_grav3,avgVolt3,gravCap3,energy_vol2,energy_vol3,gravCap2,energy_grav2,volumetricCap3,deltax2,deltay,deltax,max Anisotropy,anisotropyMean,deltaz2,deltay2,deltaz
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",0.057031190809000126,11.192219989569876,0.17109357242700066,0.05703119080900021,0.05703119080900022,-6.489544278500482,0.17109357242700055,-1057.2378615651844,0.18494509052369398,3.2045736418153146,-0.373525417030999,0.02136683106269703,0.0005823401399403902,0.00025618003452033375,0.02136683106269703,0.0006837819041726086,0.0002181747078156757,7.272490260522524e-05,0.002051345712517825,0.0007685401035610009,0.00019411337998013025,0.042549422235813913,0.4152819977144617,0.013237598028919884,0.4152819977144617,0.05935645455527505,-0.8050186031064319,1.3348349926536276,-0.25045023207755657
"mp-300007936, Li5(NbS2)7, LiNbS2, mp-767171, mp-7936",-0.8564909884590577,-194.62148619989856,0.015970782753086485,0.004563080786596174,0.004563080786596139,-194.52147148974166,0.01597078275308661,-365.5354250639558,-4.360156557216005,-112.77011293490223,-1.1646513663871685,0.002614798329596993,8.061271295393837e-05,5.5992695031348814e-05,0.002614798329596993,9.771277118976278e-05,4.61937881519466e-05,1.3198225186270458e-05,0.00034199469916416973,0.0001959744326097209,2.3032203701125245e-05,23.09033917406169,1.2330382751773925,4.398159842678418,4.398159842678418,1.9468398057398009,1.0989368216588569,6.47345094468131,0.20932129936359176
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",-0.0013686975410710195,-0.14840152534308276,-0.0013686975410710195,0.0013705734415703221,-0.0013686975410710195,3.9160164219679983,0.0013705734415703221,-413.6888718644397,1.0,-0.14840152534308276,-1.0123182778696391,-0.000864401440364944,-3.3344982251384867e-06,-6.675370844960379e-06,-0.000864401440364944,-1.0569815405880227e-05,-2.1059035924391255e-06,-2.1059035924391255e-06,-1.0569815405880227e-05,-6.675370844960379e-06,-3.3344982251384867e-06,1.135538148283893,-0.015976385152104644,0.6308545268243853,0.6308545268243853,-0.0030525042747910893,-1.1232641780939772,-0.028757493273788362,-0.6240356544966539
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",1.645345480774098,101.44336432790637,0.09689698718273186,0.058138192309639125,0.058138192309639125,91.23570068729494,0.09689698718273188,-734.5785774504911,1.0,169.07227387984395,-0.7093090384518037,0.014051908306943832,0.0001342359809376721,7.70361127924424e-05,0.014051908306943832,0.0003187282639825419,3.244462238493251e-05,1.9466773430959505e-05,0.0005312137733042365,0.00012839352132073734,8.054158856260325e-05,-0.5956646801749851,1.1556631263040973,-0.7147976162099821,1.1556631263040973,-0.2679708131214197,-1.0373149578819787,0.9630526052534144,-1.2447779494583744
"mp-300018809, LiVGeO5, Li2VGeO5, mp-853190, mp-18809",-0.0066939440517222865,-0.6669916980260807,-0.0066939440517222865,0.006739054908239561,-0.0066939440517222865,3.9788733357193338,0.006739054908239561,-449.5189772447426,0.4337092816141153,-0.2233205359873768,-1.204058917044318,-0.0020383166575943337,-1.5087247336489844e-05,-1.6538389695477944e-05,-0.0020383166575943337,-5.4312981702150565e-05,-4.594090916445686e-06,-4.594090916445686e-06,-5.4312981702150565e-05,-1.6538389695477944e-05,-1.5087247336489844e-05,1.5284759982559044,-0.034570124999999896,0.4912958565822549,0.4912958565822549,-0.0008269787523211095,-1.4286429666109015,-0.10755149999999968,-0.4592066678392184
"mp-300018860, LiVSiO5, Li2VSiO5, mp-774113, mp-18860",0.001504803809811694,0.14132142907584966,0.001504803809811694,0.0015048038098117722,0.001504803809811694,3.780647509311384,0.0015048038098117722,-360.63466391745203,0.4383451803124648,0.04705986130318217,-1.1290989365960071,0.0004467587462805906,3.170634099141786e-06,2.8822013191646136e-06,0.0004467587462805906,9.708030479159818e-06,9.413243811658951e-07,9.413243811658951e-07,9.708030479159818e-06,2.8822013191646136e-06,3.170634099141786e-06,1.4366547594755248,-0.0332695475,0.4617818869742758,0.4617818869742758,-0.004165769718402175,-1.3720300179583895,-0.10350525888888888,-0.4410096486294823
"mp-300018878, FeAs2O7, LiFeAs2O7, mp-25524, mp-18878",0.01602270414905157,2.148069713351005,0.01602270414905157,0.016022704149051492,0.01602270414905157,0.7687470168929934,0.016022704149051492,-324.212018501807,1.0,2.148069713351005,-0.8397729585094831,0.002943644726391409,4.826590986907624e-05,3.565402304358299e-05,0.002943644726391409,0.00019407024829763253,8.867272947743927e-06,8.867272947743927e-06,0.00019407024829763253,3.565402304358299e-05,4.826590986907624e-05,0.4703750623786952,-0.07694716971338789,0.5174125686165647,0.5174125686165647,-0.04662041668367175,-0.5275696808674473,-0.06995197246671625,-0.5803266489541921
"mp-300018925, Li4CoO4, Li5CoO4, mp-776004, mp-775093",-0.015881227473877785,-1.466178275060683,-0.015881227473877785,0.016137510956236056,-0.015881227473877785,5.8107862451469225,0.016137510956236056,-386.16444998618147,0.09676665692779036,-0.16850014356935264,-2.0572758850768205,-0.005045084847845962,-3.5036972497153005e-05,-2.967320801329509e-05,-0.005045084847845962,-9.340714389373156e-05,-1.1130405338663723e-05,-1.1130405338663723e-05,-9.340714389373156e-05,-2.967320801329509e-05,-3.5036972497153005e-05,-0.02196242887606825,-0.004853060555457489,-0.00439248577521365,0.01343360687995592,0.001396020183094926,0.06716803439977959,-0.024265302777287445,0.01343360687995592
"mp-300018968, LiFeSiO4, Li2FeSiO4, mp-767283, mp-18968",-0.013980615961859936,-1.1864059416752493,-0.013980615961859936,0.014178844947858815,-0.013980615961859936,5.0604870119340415,0.014178844947858815,-338.5390375515068,0.4204692314583665,-0.3991374798994071,-1.280841697021856,-0.004531763863735571,-2.703056300835637e-05,-2.735987339785021e-05,-0.004531763863735571,-8.440596073449142e-05,-8.761854913393985e-06,-8.761854913393985e-06,-8.440596073449142e-05,-2.735987339785021e-05,-2.703056300835637e-05,0.028209115233332364,0.0629082506530747,0.009403038411110787,0.0629082506530747,0.004006179500534095,-0.1808782516877496,0.1887247519592241,-0.060292750562583215
"mp-300018987, MoP2O7, LiMoP2O7, mp-25577, mp-18987",0.012854474555923052,1.871776926977672,0.012854474555923052,0.012854474555923144,0.012854474555923052,1.8493977158121573,0.012854474555923144,-553.3856420844219,1.0,1.871776926977672,-0.8714552544407697,0.003875698262769903,4.205776744162786e-05,4.0030903425908784e-05,0.003875698262769903,0.00013276994096315372,1.2680659602254178e-05,1.2680659602254178e-05,0.00013276994096315372,4.0030903425908784e-05,4.205776744162786e-05,-0.014083467924931009,0.6567290798552397,-0.007745907358712056,0.6567290798552397,-0.03111998270772605,-1.3497147647631014,1.194052872464072,-0.7423431206197058
