,Forces,avgCentralDistance,numberDensity,Coordination,initialAnisotropy,li-ion fittability,maxForce,oxidation flexibility,ShannonRadii,NNDist,positiveoxidationpop,avgIonicRadVol,SpaceGroup,strainvolumeflexibility,Xcm,Ycm,Zcm,volume flexibility of cell,AtomicNum Density,deltaShannon,volumeshannonflex,detLatticeVec,angle anisotropy
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",0.0007372057505911244,0.5850831523768406,5.0103092783505145,0.08614101436148018,-16.805628495183132,88.90201038494698,0.1550131639521199,3.7113402061855667,525.2082748661253,4.357956730139073,37.0,525.2082748661253,1.0,34.12076142574824,34.27010117036255,34.27093481593689,47.13520183256933,1.363832391566608,13.927835051546392,1.92123064487754,8.379155394689782,1160.181334533832,0.03866043771919903
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",0.0001394998354429587,0.4167463261929198,5.0,0.08858997552245118,2.2980908438541143,504.6073423911188,0.03075325468199585,3.640449438202247,458.67010331974853,7.49540428699098,35.0,458.67010331974853,1.0,30.44124331332011,42.90468941674022,44.61657644286053,33.25066688162991,1.363832391566608,13.719101123595506,1.9487014015963104,0.0,1035.0695827516224,10.21736965073578
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",0.004371237227419085,0.6503737319229467,6.0,0.08499198694751026,-2.9778672505605805,10.70524292660691,0.09421869148784492,4.0,82.34265205232828,2.4952620613737606,6.0,82.34265205232828,6.0,4.991223469831168,7.09405119068904,7.040656608049614,7.054900089873454,1.363832391566608,16.714285714285715,1.9366697976235687,67.03324315751826,169.71263430878685,12.121956283235939
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",0.001563064800381452,0.3103083622318701,6.1395348837209305,0.08816289097561088,-0.7015230634621267,68.33641309229564,0.11293741739245147,3.9069767441860463,237.54364791970755,3.892890006815763,19.0,237.54364791970755,2.0,14.778814369420502,21.41957300017434,21.16252589816068,21.4999517682584,1.363832391566608,16.3953488372093,1.9697566757125209,201.09972947255463,502.5123667082994,8.825080633007698
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",0.014096839157704657,0.5021999998584606,5.0,0.09071523890163004,0.6056680147732253,19.92732064581822,0.19719064830427507,2.5384615384615383,73.887441581551,2.732960407717898,7.0,73.887441581551,1.0,4.342302404419087,5.0889600855613635,7.716474499327592,6.402515795570201,1.363832391566608,11.307692307692307,2.182764076055788,0.0,147.64788322416396,3.268385588434373
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",0.004092965838080795,0.4715004045216226,5.071428571428571,0.09242237603886193,0.16618829792909798,54.11938266108835,0.0886731665357621,2.357142857142857,79.00670144598719,3.7063525343187096,8.0,79.00670144598719,1.0,4.5899490813959005,6.927324972799426,6.727472854140626,5.5941257293612185,1.363832391566608,10.714285714285714,2.266809896012409,8.379155394689782,156.0684178248661,13.140557720247287
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",0.012770978874333705,0.1844770673591651,5.0,0.08030329946015187,-0.8709545031461543,24.11994704159301,0.14575361010754587,2.5454545454545454,85.0649076808876,3.012323228538313,7.0,85.0649076808876,44.0,4.15065137099873,3.5725871926855866,5.533965130377953,5.4660489994589,1.363832391566608,14.272727272727273,2.230966799029161,7.986447935410648,141.13132431904396,14.018118977949188
"mp-300006944, Li3Ti8O16, Li7Ti16O32, mp-531914, mp-530141",0.00023946408971929205,0.18410942448127848,5.333333333333333,0.0891053611991132,-1.4602412704845331,109.10580975048288,0.0300991154036078,3.851851851851852,278.16776058186,4.421901131461578,22.0,278.16776058186,59.0,18.3631375035186,25.04106074215452,23.58949276801161,27.0,3.453171624182624,11.592592592592592,2.2046262194397106,98.97903489916088,624.3872787370924,13.079096763983364
"mp-300006944, Li7Ti16O32, LiTi2O4, mp-530141, mp-5670",0.00045755846698726434,0.09392836207679528,5.363636363636363,0.0907146343708222,0.5345551267039941,580.2063638464931,0.029648306902231362,3.7818181818181817,275.38687361089046,7.7231628231201075,23.0,275.38687361089046,121.0,18.371401831235744,25.641146200621087,27.356100182594172,25.623136071237703,3.453171624182624,11.436363636363636,2.2256222073671426,33.51662157875913,624.668284153129,10.435319491754768
"mp-300006944, LiTi2O4, LiTiO2, mp-5670, mp-6944",0.0,0.3702897272042945,5.285714285714286,0.09230512834809508,5.085715552392381e-10,109.25569896462828,0.00014582072040694353,3.7142857142857135,68.17997031917096,4.35287237384445,6.0,68.17997031917096,227.0,4.595779320085342,5.994828784095287,5.994828784095287,5.994828784095287,3.453171624182624,11.285714285714285,2.24586833858288,0.0,156.26665883182937,1.4416667418282542e-08
