,dVweight,dVnormNumDensnorPerFormulaUnit,dvnormweight2,dVnormNumDens,dVnormLiPerFormulaUnit,dVraw2,dVoriginal,VnormLiFrac,VoverLi,dVperAtom,dVdensity,dVraw3,dvnormweight,dVnormLiPerFormulaUnit2,dVraw,avgVolt2,energy_grav3,energy_vol4,energy_grav2,volumetricCap3,energy_grav4,volumetricCap4,volumetricCap2,gravCap4,gravCap2,avgVolt3,avgVolt4,energy_vol3,energy_vol2,gravCap3,deltax2,anisotropyMean,deltaz,deltaz2,deltay,deltay2,max Anisotropy,deltax
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",-21.33572039558504,-34.24257552651591,-inf,-59.09578467284136,0.09302308960190138,-0.10783810087108443,0.008785514017957352,-0.028429676375695226,-inf,-1.7547697874708297,7.28305559138455,-0.013115822730873163,4.6541506070537846e-05,-0.09221295142452304,-0.008709000967871621,-0.0017384890332054522,-0.00010127700790100552,0.0002558883002405416,-0.0010723447895400586,-0.00011564236587660171,0.0011226405034183075,0.001281878350623185,-0.0012244485798699005,0.005623893532888615,-0.005371935992473289,-0.0017384890332054522,0.0192708912306403,-2.3084505971703555e-05,-0.0002444241808768612,-0.0005073495104002551,-5.325856061412616,0.3933618994792612,2.712909603872806,21.94713387402721,-0.8744889200659642,-7.0745171061516245,2.712909603872806,-0.6583349853690592
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",-16.180293070604268,-446.1432931147605,5.5801156704564184e-05,-844.4152529752678,0.0579643988895526,-0.8892455452995031,0.0032202443827529237,-7.62318524666074,59.55741836847653,-1.58924553967042,5.549084920146243,-0.005809737430295699,2.463226617193103e-06,-0.057778338519488576,-0.003209907695527145,-0.0006540464527798938,-6.494274332013312e-05,0.03643841309674407,-0.0011689693797623955,-7.222604053324742e-05,0.16079784621223006,0.17883124679432785,-0.001300068729598453,0.7891583874311235,-0.005737029521353682,-0.0006540464527798938,1.6194151271270991,-1.4716680381474176e-05,-0.000264900246866535,-0.00031872386229742685,161.27082508453458,5.0644250186462365,2.1525451651490464,61.99330075629256,7.441048464243325,214.30219577020782,7.441048464243325,5.599681426546336
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",-27.737873879900302,852.1463526122557,-0.0005025304975660927,887.1573416849714,0.15821786663190446,1.9609602653034872,0.013184822219325376,0.7036262084664558,64.60242829998468,-1.8043156667097089,8.030219029481861,-0.017440320918031244,-1.6867721811616513e-05,-0.15615893878605225,-0.013013244898837692,-0.004897011442424481,-0.0002827409373916223,-0.002773318291726789,-0.003392891248699466,-0.000142613409047568,-0.014611087188534794,-0.007369774511860038,-0.0017113609085708152,-0.03882728436683766,-0.009016218412712086,-0.004897011442424481,-0.2530608471790286,-5.366682187096016e-05,-0.0006440018624515216,-0.0007513515343926742,-4.9835021371007455,-0.2408443393111284,0.12521658853690912,0.7338274491000258,0.002609885177848373,0.015295141042274196,0.12521658853690912,-0.8503594916481426
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",-15.283459913994337,-49.63984306341346,0.0013480194123638132,-76.89151639447023,0.06256136159260298,-0.8375674993368248,0.026067233996917905,-3.0088208211972614,81.70195435502826,-1.4554102091263057,4.505624879615195,-0.04678301370608614,3.644227139134621e-05,-0.06097199045027765,-0.025404996020949016,-0.010474762446430549,-0.00012366994305228012,0.0041565379349288644,-0.0002968078633254723,-5.4268531043835326e-05,0.022973268680501226,0.010081071550579685,-0.00013024447450520478,0.05571828501134266,-0.0007198638274932452,-0.010474762446430549,1.945820674830792,-2.2375518993672404e-05,-5.370124558481379e-05,-0.0002999432614555188,10.77708319738756,1.4383092919002571,0.2169634316897344,0.7810683540830441,1.1043302225144926,3.975588801052174,2.993634221496544,2.993634221496544
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",12.053982274742575,3.2045736418153146,0.004927112843505896,11.192219989569876,0.17109357242700055,0.057031190809000126,0.05703119080900021,0.184945090523694,8.172887923725455,-0.373525417030999,-6.4895442785004676,0.03419909024677442,0.004927112843505914,0.17109357242700066,0.05703119080900022,0.02136683106269703,0.00025618003452033375,4.3609917171701145e-05,0.0007685401035610009,0.00019411337998013025,0.00015361987003434762,0.00011640123423478059,0.0005823401399403902,0.0004100338554779036,0.002051345712517825,0.02136683106269703,0.01281274638378132,7.272490260522524e-05,0.0002181747078156757,0.0006837819041726086,0.042549422235813913,0.05935645455527505,-0.25045023207755657,-0.8050186031064319,0.4152819977144617,1.3348349926536276,0.4152819977144617,0.013237598028919884
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",-6.584076281834164,-27.797127345795754,0.0008591538345961343,-102.8622844424161,0.00997086900680988,-0.6655587923325766,0.00332362300226996,-1.6696983577006517,33.60594224043067,-1.483174432395007,2.8152950055329606,-0.0178901602977953,8.442235288413859e-05,0.00997086900681007,0.003323623002270023,0.0013548158737299893,1.65945857452328e-05,0.002709374004813825,4.978375723569842e-05,1.1349999064894149e-05,0.0097178687448103,0.006646613712430074,3.404999719468246e-05,0.023839794557743297,0.00012212909805408,0.0013548158737299893,0.7933866525156106,4.626625489544567e-06,1.3879876468633704e-05,4.070969935136e-05,4.270545942154032,0.7965762760130715,-0.2254663204050585,-0.81167875345821,1.4289323867348191,5.144156592245347,1.4289323867348191,1.1862627617094537
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",1.4327025988124602,2.0234778420180293,0.000560009846460925,3.701195068509813,0.0977650492386335,0.024441262309658283,0.02444126230965837,0.20133847758417786,3.347980558876685,-1.0053259075664185,-0.5863422750711986,0.00388702834428528,0.0005600098464609225,0.09776504923863312,0.024441262309658283,0.008407225691513304,0.00010851798039443093,4.215851118410109e-06,0.0004340719215777237,7.706587536889717e-05,1.7258211147754944e-05,1.2256209934692535e-05,0.0003082635014755887,5.017261117226186e-05,0.0012619223137126097,0.008407225691513304,0.0013370473319130516,2.6508868450887024e-05,0.0001060354738035481,0.0003154805784281524,-0.4254361296600149,-0.008390507966971236,0.0073588684027854345,0.07849459629637796,0.007354244851927261,0.07844527842055744,0.0073588684027854345,-0.0398846371556264
"mp-300006944, Li3Ti8O16, Li7Ti16O32, mp-531914, mp-530141",-6.554017527778419,0.3362514803309131,-0.0006893977139712299,0.2736026444258455,0.0072007979817989565,0.0004500498738624611,0.0004500498738624348,0.12737685092229875,0.2727410883197763,-1.0976594701628548,2.9230393664982848,-0.004785109532674307,-0.0006893977139712043,0.007200797981799378,0.0004500498738624611,0.00019118165942466937,9.461825983369915e-06,-2.7692038497910967e-05,0.00015138921573391864,6.131095841386358e-06,-0.00010060190289791191,-6.518825325862346e-05,9.809753346218173e-05,-0.00023682121938777665,0.00035637674476841273,0.00019118165942466937,-0.0020327195586884133,2.604495957277288e-06,4.167193531643661e-05,2.22735465480258e-05,-5.224612727757368,0.10057058907739032,-0.0003066036652005063,-0.0018730696637703648,1.1572377162147982,7.069670411784946,1.1572377162147982,-0.8552193453174267
"mp-300006944, Li7Ti16O32, LiTi2O4, mp-530141, mp-5670",-6.326880179283714,-486.2565934046688,0.0001317154282393795,-456.95572369169145,0.010203205363072957,-0.7498405749162019,0.0006377003351920598,-2.5613652798036908,90.92520056202991,-1.1056449267925903,2.7984894420712108,-0.0045711839370476655,4.602969281121522e-06,0.010203205363072518,0.0006377003351920324,0.0002812808823285857,1.3993797917885388e-05,0.01792850436477364,0.0002239007666861662,8.693025778532327e-06,0.06543123557250308,0.04064625063836436,0.00013908841245651723,0.14834111906642586,0.0005076121518942303,0.0002812808823285857,1.315193758097683,3.8343745896799465e-06,6.134999343487916e-05,3.172575949338941e-05,41.03225981308168,3.3688087903825306,2.190102922077404,30.035697217061553,4.92438783769965,67.53446177416667,4.92438783769965,2.991935611370537
"mp-300006944, LiTi2O4, LiTiO2, mp-5670, mp-6944",-11.896354069878518,-1.304996622150545,-0.0047304747711587386,-1.923485026427573,0.0549887541351719,-0.02675866426252715,0.02749437706758595,0.4128603559613795,-2.029255071628484,-1.3851957581439711,5.052195366657943,-0.06566845077322561,-0.004730474771158737,-0.0535173285250543,-0.02675866426252715,-0.029874602645748205,-0.00019352053913245792,-0.00012158482080397132,-0.00038704107826491584,-4.437611842905396e-05,-0.0004749188477028898,-0.00010890345347492112,-8.875223685810792e-05,-0.0004253845364345471,-0.00034667246931806,-0.029874602645748205,-0.07331527665076032,-4.954353819839912e-05,-9.908707639679824e-05,-0.00017333623465902998,0.08081428979037675,0.013469048406152742,0.013469047499999888,0.08081428499999932,0.013469049420062218,0.08081429652037331,0.013469049420062218,0.013469048298396123
