,dVweight,dVnormNumDensnorPerFormulaUnit,dvnormweight2,dVnormNumDens,dVnormLiPerFormulaUnit,dVraw2,dVoriginal,VnormLiFrac,VoverLi,dVperAtom,dVdensity,dVraw3,dvnormweight,dVnormLiPerFormulaUnit2,dVraw,avgVolt2,energy_grav3,energy_vol4,energy_grav2,volumetricCap3,energy_grav4,volumetricCap4,volumetricCap2,gravCap4,gravCap2,avgVolt3,avgVolt4,energy_vol3,energy_vol2,gravCap3,deltax2,anisotropyMean,deltaz,deltaz2,deltay,deltay2,max Anisotropy,deltax
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",54.19455840669689,11.821368049534964,0.054760308897762296,35.464104148604896,0.5020988699630164,1.5062966098890491,1.5062966098890491,1.0,14.150002840316192,-0.4979011300369836,-12.543488198521802,1.1402739121781045,0.05476030889776231,0.5020988699630164,1.5062966098890491,1.5895791941724466,0.002818836252959509,0.000636577787179471,0.0009396120843198363,0.0007968583346179303,0.002133872851369135,0.0006032256626624451,0.0002656194448726434,0.00202207317114828,0.0008903831293278797,1.5895791941724466,1.2033192364347445,0.0008409163381871171,0.0002803054460623725,0.002671149387983639,-0.12456859339493752,-0.4461320013382654,-0.3418472562663837,-0.08546181406659592,-0.4982743741686623,-0.12456859354216558,-0.3418472562663837,-0.4982743735797501
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",-4.3123185620164985,168.18804140712598,-0.0012098904341084481,84.09402070356299,0.021045415714411764,1.0210454157144118,0.010522707857205882,1.0,41.60916921989946,-0.9368637528567638,1.4069360933159958,-0.016795699006293473,-6.369429514868569e-05,0.021045415714411868,0.010522707857205936,0.003154831805808821,3.022248344843103e-05,-0.0002820749927339281,6.044496689686205e-05,1.9473306372779375e-05,-0.0014601798130606484,-0.0009408402492004302,3.8946612745558756e-05,-0.0048703216328477355,0.00020160971083245968,0.003154831805808821,-0.15242366578855254,5.838326706659766e-06,1.1676653413319533e-05,0.00010080485541622988,0.02189119598593019,-0.596775809153757,-0.7197769710170201,-1.23390337888632,-1.0833203207693771,-1.857120549890361,0.012769864325125946,0.012769864325125946
"mp-300004226, CrS2, LiCrS2, mp-755263, mp-4226",5.920747194922472,7.058518966318853,0.006931265052729478,7.058518966318853,0.11075673078595136,0.11075673078595147,0.11075673078595136,1.0,6.354693850312638,-0.6677298076421454,-2.9253051874385263,0.048109910730995305,0.006931265052729475,0.11075673078595147,0.11075673078595147,0.046538878344945744,0.0002136973142155652,2.8947823661879457e-05,0.0002136973142155652,0.0001586009234802899,9.282468557358634e-05,6.889221283748833e-05,0.0001586009234802899,0.00022091118385281919,0.0005085729768737474,0.046538878344945744,0.020215306706939967,6.664253297174324e-05,6.664253297174324e-05,0.0005085729768737474,-0.14217931500000014,-0.1134649987795487,0.04043376228533102,0.030325321713998262,-0.19125633862397687,-0.1434422539679827,0.04043376228533102,-0.18957242000000016
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",-10.387824492104103,-1.978527727403577,-0.004414657013575518,-1.4838957955526828,0.044787056635707735,-0.032498653210343835,0.0335902924767808,1.0,-1.5337402893303629,-1.0866630752275837,4.622290742835868,-0.09192640299368304,-0.0044146570135755216,-0.043331537613791785,-0.032498653210343835,-0.008521056242258098,-3.592683450954872e-05,-2.472854146144573e-05,-4.790244601273163e-05,-3.3342298100519645e-05,-0.00010162343177842696,-9.431275542668719e-05,-4.4456397467359524e-05,-0.000387583953622272,-0.00018269624523478527,-0.008521056242258098,-0.024102846508369767,-8.742257579776714e-06,-1.1656343439702284e-05,-0.00013702218392608892,0.6650045859306244,0.3337470249513585,0.04342680262075641,0.03158312917873194,0.043432966578710534,0.03158761205724403,0.9143813056546084,0.9143813056546084
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",-5.11018985579193,817.2936840155206,-0.0005579637590873712,306.4851315058202,0.02292358110991266,3.0343853716648685,0.008596342916217248,1.0,75.9682338872211,-0.9312292566702624,2.402861518507889,-0.02323695871095266,-2.323613150467109e-05,0.022923581109912657,0.008596342916217246,0.002921451243957963,2.397163062561147e-05,-0.0005829454382924388,6.392434833496392e-05,1.9509427789751274e-05,-0.002107638107688666,-0.0017153114909483215,5.202514077267007e-05,-0.0062017053868175685,0.0001880967961110282,0.002921451243957963,-0.2568603724830337,6.630242958055179e-06,1.7680647888147144e-05,7.053629854163559e-05,-0.004904910514734484,-1.2434716620789636,-0.7328796480830673,-1.302897152147675,-2.9947763259892857,-5.3240468017587315,-0.0027590121645381482,-0.0027590121645381482
"mp-300007543, VS2, LiVS2, mp-9561, mp-7543",4.4686934245218,6.294321231859717,0.005276600212913795,6.294321231859717,0.09915307808207753,0.09915307808207756,0.09915307808207753,1.0,5.726519224094553,-0.7025407657537671,-2.2428349167656494,0.03662488207783465,0.005276600212913794,0.09915307808207756,0.09915307808207756,0.05548605807471112,0.000252597694876043,2.923403311542832e-05,0.000252597694876043,0.00014142983320128004,9.330381836769388e-05,5.224094968586749e-05,0.00014142983320128004,0.00016673306969313114,0.00045138976947458167,0.05548605807471112,0.02049528237810204,7.914412835481491e-05,7.914412835481491e-05,0.00045138976947458167,-0.21547929,-0.02855966892624847,0.4889324400000001,0.3666993300000001,-0.28730572677874555,-0.2154792950840592,0.4889324400000001,-0.28730572
"mp-300007936, NbS2, Li9(NbS2)14, mp-10033, mp-767218",-12.459658857638287,905.1753471271139,-0.0007939400479491845,581.898437438859,0.03595482866086438,5.84185852437905,0.02311381842484139,1.0,85.04976175193137,-1.105427650413967,5.1980500422608165,-0.0495966408553376,-2.5474600244779e-05,-0.03514255013798916,-0.0225916393744216,-0.009483101452848556,-8.888847809629925e-05,-0.0008119313495048295,-0.00013827096592757657,-5.0563371961469645e-05,-0.003400369424849817,-0.0019342680594533449,-7.865413416228612e-05,-0.008100716855975543,-0.00032940360426603074,-0.009483101452848556,-0.36276971913143397,-2.1224559146054048e-05,-3.301598089386185e-05,-0.00021175945988530543,-0.2277722326369974,-0.4187278240713315,0.001307241101884947,0.0010765514956699565,-0.9809101451138112,-0.8078083547996092,0.001307241101884947,-0.2765805682020683
"mp-300007955, Sb, Li3Sb, mp-80, mp-7955",70.2014241074503,16.79044027647949,0.03546713712784637,50.37132082943847,0.6335613018023185,1.900683905406956,1.9006839054069555,1.0,17.365325720443,-0.36643869819768143,-15.802855688937292,1.47706439282629,0.03546713712784638,0.6335613018023186,1.900683905406956,2.0379706101394266,0.0036139787557535213,0.0009430897307294894,0.0012046595852511733,0.0011318150505214663,0.0028085045184887,0.0008795590395827577,0.00037727168350715554,0.0026193112452141693,0.0011235083930010536,2.0379706101394266,1.5837529919099822,0.001213566233982684,0.000404522077994228,0.003370525179003161,-0.10799331333333337,-0.3024670226129331,-0.4754278149999999,-0.2377139075,-0.2159866261721326,-0.1079933130860663,-0.2159866261721326,-0.2159866266666667
"mp-300009158, CuO2, LiCuO2, mp-704672, mp-9158",-41.118112576577055,-26.525137310807644,-0.05780260766355325,-26.525137310807644,0.5569235865246616,-0.6788538600561048,0.5569235865246616,1.0,-82.5952238300035,-2.0731231603366296,26.18030866392641,-0.4012078997927231,0.0045281116587857755,-0.3577077201122098,-0.3577077201122098,-0.0780853757952537,-0.0002985895370340583,3.786753887656543e-05,-0.0002985895370340583,-0.0003140521623194938,0.00016492955452155044,0.00017347052325539342,-0.0003140521623194938,0.0007555393609389819,-0.0013678333676957904,-0.0780853757952537,0.0431314049798405,-6.855563840315514e-05,-6.855563840315514e-05,-0.0013678333676957904,0.014033085891261845,2.4721543251295306,6.604213637780801,4.9531602283356015,0.7935385564194428,0.5951539173145821,6.604213637780801,0.018710781188349124
"mp-300009615, TiS2, LiTiS2, mp-2156, mp-9615",-8.709797688722595,-1.0088926869894588,-0.010550314150862073,-1.0088926869894588,0.016046689065359443,-0.015793259540189484,0.016046689065359443,1.0,-1.0250820742378934,-1.0473797786205683,5.04764198747683,-0.07322973052113366,-0.010550314150862073,-0.015793259540189484,-0.015793259540189484,-0.008396982174408171,-3.7263620452852425e-05,-5.588615386149922e-05,-3.7263620452852425e-05,-2.266924727588966e-05,-0.0001727828810170651,-0.00010511211222141584,-2.266924727588966e-05,-0.00032497447622562296,-7.008637353222568e-05,-0.008396982174408171,-0.03893488486388135,-1.2052816886754755e-05,-1.2052816886754755e-05,-7.008637353222568e-05,-0.01833270000000009,0.04730513791762517,0.19080261999999948,0.1431019649999996,-0.024443606247123828,-0.018332704685342868,0.19080261999999948,-0.024443600000000117
