mp-300004226, LiCrS2
mp-300007543, LiVS2
mp-300007554, LiMgSnAu
mp-300007955, Li3Sb
mp-300009615, LiTiS2
mp-300010179, LiMgSbPd
mp-300010189, LiTiTe2
mp-300011206, LiTi(SiO3)2
mp-300011977, LiSnAu
mp-300018162, Li(CuO)2
mp-300018274, Ba4LiNb3O12
mp-300018713, Ba2Li(CuO2)3
mp-300018722, Cs2LiMnO4
mp-300018767, LiMnO2
mp-300018878, LiFeAs2O7
mp-300018915, LiCoPO4
mp-300018932, LiPr(WO4)2
mp-300018934, LiV2O5
mp-300018939, LiCo(CO)4
mp-300018951, LiFePO4
mp-300018987, LiMoP2O7
mp-300018997, LiMnPO4
mp-300019013, LiV2O5
mp-300019043, LiV(SiO3)2
mp-300019107, LiMnVO4
mp-300019183, Li2NiO2
mp-300019206, LiLa4CoO8
mp-300019340, Li2V3O6
mp-300019377, LiLa2MoO6
mp-300019408, LiV2O5
mp-300019445, LiLa4NiO8
mp-300019492, LiMn(PO3)3
mp-300019615, LiV2(PO4)3
mp-300019616, Na2LiFe(Si2O5)3
mp-300019623, LiVAsO5
mp-300019667, LiNi2P3O10
mp-300019682, LiFe(WO4)2
mp-300021496, LiLa4CuO8
mp-300024850, Li(CoO2)4
mp-300025044, LiMnAsO4
mp-300025083, LiMo3P3O16
mp-300025372, LiCuO2
mp-300025385, Li(CuO2)2
mp-300025401, LiTiPO4F
mp-300025405, LiCuPO4F
mp-300025488, LiCoPO4F
mp-300025507, LiCrPO4
mp-300025508, LiCrPO4F
mp-300025562, LiMnPO4F
mp-300025605, LiNiPO4F
mp-300025613, LiNiAsO4
mp-300025630, LiVPO4F
mp-300025647, LiWO2
mp-300025652, LiPWO4F
mp-300025660, LiCo2P3O10
mp-300025688, LiFePO4F
mp-300025881, LiBi(PO3)4
mp-300025885, LiCuPO4
mp-300025907, LiSn(PO3)4
mp-300025959, LiBi(PO3)4
mp-300026113, LiTi(PO3)4
mp-300026129, LiBiP2O7
mp-300026157, LiSb(PO3)4
mp-300026173, LiBi3(PO5)2
mp-300026209, LiBiP2O7
mp-300026299, LiSnPO4
mp-300026303, Li6Cu9(PO4)8
mp-300026341, LiSbP2O7
mp-300026389, LiNb2(PO4)3
mp-300026407, Li2SnP2O7
mp-300026409, LiTi(PO3)4
mp-300026513, LiCuPO4
mp-300026531, LiCu2P3O10
mp-300026541, LiSb(PO3)4
mp-300026549, LiNb(PO3)4
mp-300026629, LiTiP2O7
mp-300026649, Li2SnP2O7
mp-300026675, LiSb(PO3)4
mp-300026695, LiCuPO4
mp-300026741, LiCu4(PO4)3
mp-300026767, LiNb(PO3)4
mp-300026823, Li2Cu3(P2O7)2
mp-300026835, Li3Bi5(PO4)6
mp-300026875, LiCuPO4
mp-300026897, LiSn(PO3)3
mp-300026949, LiSn2(PO3)5
mp-300027017, LiSnPO4
mp-300027683, LiSnS2
mp-300031519, LiCoP2O7
mp-300031537, LiCoPO4
mp-300031540, LiCoPO4
mp-300031541, LiCoPO4
mp-300031553, LiCoPO4
mp-300031555, LiCoP2O7
mp-300031557, LiCo6P7O24
mp-300031568, LiCo3(P3O10)2
mp-300031571, LiCoP2O7
mp-300031581, LiCo(PO3)4
mp-300031583, LiCo(PO3)3
mp-300031585, LiCo2(PO4)2
mp-300031592, Li3Co3(PO4)4
mp-300031600, LiCo(PO3)4
mp-300031604, LiCoP2O7
mp-300031606, LiCo(PO3)4
mp-300031609, Li3Co3(PO4)4
mp-300031612, LiCo(PO3)4
mp-300031614, Li3Co3(PO4)4
mp-300031615, Li4Co5(P3O11)2
mp-300031618, LiCo2P5O16
mp-300031636, LiCrPO5
mp-300031640, Li3Cr3(PO4)4
mp-300031641, LiCr(PO3)3
mp-300031642, LiCrP2O7
