mp-300003731, Li17Nb18O54
mp-300009615, LiTiS2
mp-300011206, LiTi(SiO3)2
mp-300018274, Ba4LiNb3O12
mp-300018713, Ba2Li(CuO2)3
mp-300018722, Cs2LiMnO4
mp-300018793, LiCrO2
mp-300018878, LiFeAs2O7
mp-300018915, LiCoPO4
mp-300018932, LiPr(WO4)2
mp-300018934, LiV2O5
mp-300018987, LiMoP2O7
mp-300018988, Li2MnO3
mp-300018997, LiMnPO4
mp-300019043, LiV(SiO3)2
mp-300019183, Li2NiO2
mp-300019206, LiLa4CoO8
mp-300019340, Li2V3O6
mp-300019408, LiV2O5
mp-300019445, LiLa4NiO8
mp-300019615, LiV2(PO4)3
mp-300019616, Na2LiFe(Si2O5)3
mp-300019623, LiVAsO5
mp-300019667, LiNi2P3O10
mp-300019682, LiFe(WO4)2
mp-300021496, LiLa4CuO8
mp-300024850, Li(CoO2)4
mp-300024850, Li3(CoO2)4
mp-300024850, LiCoO2
mp-300025044, LiMnAsO4
mp-300025083, LiMo3P3O16
mp-300025372, LiCuO2
mp-300025385, Li(CuO2)2
mp-300025405, LiCuPO4F
mp-300025456, Li2CuPCO7
mp-300025462, Li3TiPCO7
mp-300025488, LiCoPO4F
mp-300025490, Li2CoPCO7
mp-300025490, Li3CoPCO7
mp-300025508, LiCrPO4F
mp-300025562, LiMnPO4F
mp-300025605, LiNiPO4F
mp-300025605, Li2NiPO4F
mp-300025612, Li2NiPCO7
mp-300025612, Li3NiPCO7
mp-300025613, LiNiAsO4
mp-300025630, LiVPO4F
mp-300025647, LiWO2
mp-300025652, LiPWO4F
mp-300025660, LiCo2P3O10
mp-300025666, Li2MnPCO7
mp-300025688, LiFePO4F
mp-300025871, Li3Cu2P5O16
mp-300025881, LiBi(PO3)4
mp-300025885, LiCuPO4
mp-300025943, Li2CuP2O7
mp-300025959, LiBi(PO3)4
mp-300026129, LiBiP2O7
mp-300026173, LiBi3(PO5)2
mp-300026209, LiBiP2O7
mp-300026223, Li4Cu(PO4)2
mp-300026261, Li2Cu(PO3)4
mp-300026267, Li2Cu(PO3)4
mp-300026303, Li6Cu9(PO4)8
mp-300026311, Li4Cu(PO4)2
mp-300026311, Li5Cu(PO4)2
mp-300026377, Li3Bi2P5O18
mp-300026389, LiNb2(PO4)3
mp-300026409, LiTi(PO3)4
mp-300026513, LiCuPO4
mp-300026531, LiCu2P3O10
mp-300026549, LiNb(PO3)4
mp-300026585, Li5Sb2P5O18
mp-300026741, LiCu4(PO4)3
mp-300026823, Li2Cu3(P2O7)2
mp-300026835, Li3Bi5(PO4)6
mp-300026875, LiCuPO4
