,VnormLiFrac,dVnormNumDens,dVnormNumDensnorPerFormulaUnit,dVnormLiPerFormulaUnit,dVnormLiFrac,dVraw,dVnormNumDensnorPerFormulaUnit2,dVnormLiFrac2,dVoriginal,dVnormNumDens2,dVperAtom,dVnormLiPerFormulaUnit2,VnormLi,volumetricCap,energy_vol,avgVolt,gravCap,energy_grav
"mp-300006944, LiTi2O4, LiTiO2",0.4128603559613795,-1.923485026427573,-1.304996622150545,0.0549887541351719,0.25661418596413554,-0.02675866426252715,-1.304996622150545,-0.24974753311692005,0.02749437706758595,-1.923485026427573,-1.3851957581439711,-0.0535173285250543,-0.013379332131263577,4.5596212161938126e-05,5.090570691888815e-05,0.03069598623563464,0.00017810200645422054,0.00019884126580568785
"mp-300007543, VS2, LiVS2",1.0,6.294321231859717,6.294321231859717,0.09915307808207753,0.3966123123283101,0.09915307808207756,6.294321231859717,0.3966123123283103,0.09915307808207753,6.294321231859717,-0.7025407657537671,0.09915307808207756,0.09915307808207756,0.00014142983320127996,7.914412835481485e-05,0.05548605807471109,0.00045138976947458134,0.0002525976948760429
"mp-300007554, MgSnAu, LiMgSnAu",1.0,6.776722394039424,6.776722394039424,0.08963782119676478,0.3585512847870591,0.08963782119676471,6.776722394039424,0.35855128478705883,0.08963782119676478,6.776722394039424,-0.7310865364097059,0.08963782119676471,0.08963782119676471,0.00015226911410067928,0.0005027427624965231,0.2959547385481891,0.0011602859425155375,0.003830884309476265
"mp-300007955, Sb, Li3Sb",1.0,50.37132082943847,16.79044027647949,0.6335613018023185,2.534245207209274,1.900683905406956,16.79044027647949,2.5342452072092745,1.9006839054069555,50.37132082943847,-0.36643869819768143,0.6335613018023186,0.3167806509011593,0.0011318150505214663,0.0012135662339826838,2.037970610139426,0.003370525179003161,0.0036139787557535204
"mp-300009615, TiS2, LiTiS2",1.0,-1.0088926869894588,-1.0088926869894588,0.016046689065359443,0.06418675626143777,-0.015793259540189484,-1.0088926869894588,-0.06317303816075794,0.016046689065359443,-1.0088926869894588,-1.0473797786205683,-0.015793259540189484,-0.015793259540189484,2.3033013638271635e-05,1.2246224691698235e-05,0.008531725936448274,7.121102777601602e-05,3.786157818370896e-05
"mp-300010179, MgSbPd, LiMgSbPd",1.0,7.1623642307861735,7.1623642307861735,0.1014292530458354,0.4057170121833416,0.10142925304583547,7.1623642307861735,0.4057170121833419,0.1014292530458354,7.1623642307861735,-0.6957122408624936,0.10142925304583547,0.10142925304583547,0.00016093426775862376,0.000367568344552265,0.23166093306583996,0.0009817884345783776,0.0022423710911574726
"mp-300010189, TiTe2, LiTiTe2",1.0,12.070316057999866,12.070316057999866,0.12700301770811984,0.5080120708324793,0.12700301770811973,12.070316057999866,0.5080120708324789,0.12700301770811984,12.070316057999866,-0.6189909468756409,0.12700301770811973,0.12700301770811973,0.00027121316562759445,0.00022318610850080226,0.10451302843113072,0.0014690214145500356,0.0012088836913911516
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2",1.0,-0.14840152534308276,-0.14840152534308276,0.0013705734415703221,0.01370573441570322,-0.0013686975410710195,-0.14840152534308276,-0.013686975410710194,0.0013705734415703221,-0.14840152534308276,-1.0123182778696391,-0.0013686975410710195,-0.0006843487705355097,3.3390683998467477e-06,2.108789887973381e-06,0.0008655861660219429,1.058430211415758e-05,6.684519930952957e-06
"mp-300011977, SnAu, LiSnAu",1.0,15.211250762268705,15.211250762268705,0.25339399799213136,0.7601819939763941,0.25339399799213136,15.211250762268705,0.7601819939763941,0.25339399799213136,15.211250762268705,-0.4932120040157374,0.25339399799213136,0.12669699899606568,0.0003417881895193452,0.00036815324088412257,0.2729404480376521,0.003050180380480997,0.0032854669259766434
"mp-300018162, CuO, Li(CuO)2",1.0,-4.971078521913622,-9.942157043827244,0.21133374459511867,0.5283343614877967,-0.0955684527998791,-9.942157043827244,-0.4778422639993955,0.10566687229755932,-4.971078521913622,-1.3822738111995163,-0.1911369055997582,-0.023892113199969776,0.00012350002528323917,4.132052148499568e-05,0.03535392204989417,0.0006545929355288939,0.00021901308436508395
