,deltaz,deltaz2,deltay,anisotropyMean,deltax2,deltay2,deltax, max Anisotropy
mp-300002074,inf,inf,inf,inf,inf,inf,inf,inf
mp-300003731,0.6583349853690592,0.6583349853690592,0.6583349853690592,0.6583349853690592,0.6583349853690592,0.6583349853690592,0.6583349853690592,0.6583349853690592
mp-300003731,-0.6587860501819222,-0.6587860501819222,-0.6587860501819222,-0.6587860501819222,-0.6587860501819222,-0.6587860501819222,-0.6587860501819222,-0.6587860501819222
mp-300003924,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300003924,2.9762582207684987,2.9762582207684987,2.9762582207684987,2.9762582207684987,2.9762582207684987,2.9762582207684987,2.9762582207684987,2.9762582207684987
mp-300003924,-0.8553240632847269,-0.8553240632847269,-0.8553240632847269,-0.8553240632847269,-0.8553240632847269,-0.8553240632847269,-0.8553240632847269,-0.8553240632847269
mp-300004226,inf,inf,inf,inf,inf,inf,inf,inf
mp-300004711,-0.016546997536149854,-0.016546997536149854,-0.016546997536149854,-0.016546997536149854,-0.016546997536149854,-0.016546997536149854,-0.016546997536149854,-0.016546997536149854
mp-300004711,-0.4745051046837815,-0.4745051046837815,-0.4745051046837815,-0.4745051046837815,-0.4745051046837815,-0.4745051046837815,-0.4745051046837815,-0.4745051046837815
mp-300005127,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300005127,0.05317951620750186,0.05317951620750186,0.05317951620750186,0.05317951620750186,0.05317951620750186,0.05317951620750186,0.05317951620750186,0.05317951620750186
mp-300006944,inf,inf,inf,inf,inf,inf,inf,inf
mp-300006944,0.9977559028703312,0.9977559028703312,0.9977559028703312,0.9977559028703312,0.9977559028703312,0.9977559028703312,0.9977559028703312,0.9977559028703312
mp-300006944,-0.8548387461058679,-0.8548387461058679,-0.8548387461058679,-0.8548387461058679,-0.8548387461058679,-0.8548387461058679,-0.8548387461058679,-0.8548387461058679
mp-300006944,-0.02693809659679225,-0.02693809659679225,-0.02693809659679225,-0.02693809659679225,-0.02693809659679225,-0.02693809659679225,-0.02693809659679225,-0.02693809659679225
mp-300007543,inf,inf,inf,inf,inf,inf,inf,inf
mp-300007554,inf,inf,inf,inf,inf,inf,inf,inf
mp-300007936,inf,inf,inf,inf,inf,inf,inf,inf
mp-300007936,0.7032874890598024,0.7032874890598024,0.7032874890598024,0.7032874890598024,0.7032874890598024,0.7032874890598024,0.7032874890598024,0.7032874890598024
