,VolRatio,VoverLi,dVoriginal,dvnormweight,dVraw,dVweight,VnormLiFrac,dVdensity,dvnormweight2,dVperAtom,dVnormLiPerFormulaUnit,dVraw3,dVnormLiPerFormulaUnit2,avgVolt3,energy_grav2,avgVolt2,volumetricCap4,energy_vol4,gravCap3,volumetricCap3,volumetricCap2,energy_vol3,avgVolt4,energy_grav4,gravCap2,gravCap4,energy_vol2,energy_grav3,Anisotropy Ratio,Mean Anisotropy,Anisotropy Ratio Std,Std Anisotropy
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",2.1402739121781043,0.5020988699630164,1.5062966098890493,0.05476030889776231,1.5062966098890493,54.194558406696885,1.0,-12.543488198521802,0.054760308897762296,-0.49790113003698355,0.5020988699630164,1.1402739121781043,0.5020988699630164,1.589579194172447,0.0009396120843198363,1.589579194172447,0.0006032256626624451,0.000636577787179471,0.002671149387983639,0.0007968583346179303,0.0002656194448726434,0.0008409163381871171,1.2033192364347443,0.002133872851369135,0.0008903831293278797,0.0020220731711482797,0.0002803054460623724,0.0028188362529595087,0.01596264037674086,0.4692813537068359,0.007524860832248385,0.2212213512439138
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",0.9868841772691268,-inf,0.008785514017957352,4.6541506070537846e-05,-0.008709000967871621,-21.335720395585042,-0.028429676375695222,7.28305559138455,-inf,-1.7547697874708295,0.09302308960190138,-0.013115822730873162,-0.09221295142452304,-0.0017384890332054522,-0.0010723447895400586,-0.0017384890332054522,0.001281878350623185,0.0002558883002405416,-0.0005073495104002551,-0.00011564236587660171,-0.0012244485798699003,-2.3084505971703555e-05,0.0192708912306403,0.0011226405034183075,-0.005371935992473289,0.005623893532888615,-0.00024442418087686115,-0.00010127700790100553,1.7381641557372463,60.98577490695912,0.756894912674654,27.923181097734282
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",0.9941902625697043,0.059283036353300206,0.0032202443827529237,2.463226617193103e-06,-0.0032099076955271443,-16.180293070604268,-7.62318524666074,5.549084920146243,5.580115670456418e-05,-1.58924553967042,0.0579643988895526,-0.005809737430295699,-0.05777833851948857,-0.0006540464527798937,-0.0011689693797623957,-0.0006540464527798937,0.17883124679432783,0.03643841309674407,-0.0003187238622974269,-7.222604053324742e-05,-0.001300068729598453,-1.4716680381474174e-05,1.6194151271270987,0.16079784621223003,-0.005737029521353682,0.7891583874311235,-0.000264900246866535,-6.494274332013312e-05,6.7933678690407495,10.577006598188557,3.0197073121770743,4.383892137596866
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",0.9832043009937065,0.5105227078572059,0.010522707857205882,-6.369429514868569e-05,0.010522707857205936,-4.3123185620164985,1.0,1.4069360933159958,-0.0012098904341084481,-0.9368637528567638,0.021045415714411764,-0.016795699006293477,0.02104541571441187,0.0031548318058088206,6.0444966896862054e-05,0.0031548318058088206,-0.0009408402492004302,-0.00028207499273392826,0.00010080485541622987,1.9473306372779378e-05,3.8946612745558756e-05,5.838326706659766e-06,-0.15242366578855254,-0.0014601798130606486,0.00020160971083245973,-0.004870321632847735,1.1676653413319533e-05,3.0222483448431027e-05,0.8652428477159029,2.192180370189006,0.36488302515510207,0.9117022727914488
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",0.9825596790819687,0.39219205306069743,0.013184822219325376,-1.6867721811616513e-05,-0.013013244898837692,-27.737873879900302,0.7036262084664558,8.03021902948186,-0.0005025304975660927,-1.804315666709709,0.15821786663190443,-0.017440320918031244,-0.15615893878605225,-0.0048970114424244805,-0.003392891248699466,-0.0048970114424244805,-0.007369774511860038,-0.002773318291726789,-0.0007513515343926742,-0.000142613409047568,-0.0017113609085708152,-5.366682187096016e-05,-0.2530608471790286,-0.014611087188534794,-0.009016218412712086,-0.03882728436683766,-0.0006440018624515216,-0.0002827409373916223,1.6792155756066094,6.829032561295362,0.686369234153166,3.0372237805326177
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",0.9532169862939138,0.16751349986736497,0.026067233996917905,3.64422713913462e-05,-0.025404996020949016,-15.283459913994335,-3.008820821197261,4.505624879615195,0.0013480194123638132,-1.4554102091263055,0.06256136159260298,-0.04678301370608614,-0.060971990450277645,-0.010474762446430549,-0.0002968078633254723,-0.010474762446430549,0.010081071550579683,0.0041565379349288644,-0.0002999432614555188,-5.4268531043835326e-05,-0.0001302444745052048,-2.237551899367241e-05,1.945820674830792,0.022973268680501226,-0.0007198638274932452,0.05571828501134266,-5.370124558481379e-05,-0.00012366994305228012,0.6198618085370385,5.553341579613619,0.2598374358681942,2.3158190388902318
"mp-300004226, CrS2, LiCrS2, mp-755263, mp-4226",1.0481099107309952,0.11075673078595147,0.11075673078595138,0.006931265052729475,0.11075673078595147,5.9207471949224715,1.0,-2.9253051874385263,0.006931265052729478,-0.6677298076421454,0.11075673078595138,0.048109910730995305,0.11075673078595147,0.046538878344945744,0.00021369731421556519,0.046538878344945744,6.889221283748833e-05,2.8947823661879457e-05,0.0005085729768737474,0.0001586009234802899,0.0001586009234802899,6.664253297174324e-05,0.020215306706939978,9.282468557358634e-05,0.0005085729768737474,0.0002209111838528192,6.664253297174324e-05,0.00021369731421556519,0.04866402801787653,0.23169010090930797,0.022846161956912286,0.1088250289484968
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",1.0341990902467744,0.05703119080900013,0.05703119080900021,0.004927112843505914,0.05703119080900023,12.053982274742578,0.18494509052369398,-6.489544278500468,0.004927112843505896,-0.373525417030999,0.17109357242700055,0.03419909024677442,0.17109357242700063,0.02136683106269703,0.0007685401035610009,0.02136683106269703,0.00011640123423478059,4.360991717170114e-05,0.0006837819041726086,0.00019411337998013025,0.0005823401399403904,7.272490260522525e-05,0.01281274638378132,0.00015361987003434762,0.002051345712517825,0.0004100338554779036,0.00021817470781567566,0.00025618003452033375,0.5004038776315693,3.328661148960092,0.21011620572601203,1.3686676132979176
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",0.9821098397022047,0.22185293077752555,0.0033236230022699598,8.442235288413859e-05,0.0033236230022700227,-6.584076281834164,-1.6696983577006517,2.8152950055329606,0.0008591538345961342,-1.4831744323950067,0.009970869006809881,-0.0178901602977953,0.00997086900681007,0.0013548158737299893,4.978375723569842e-05,0.0013548158737299893,0.006646613712430074,0.0027093740048138248,4.070969935136e-05,1.1349999064894149e-05,3.404999719468246e-05,4.626625489544567e-06,0.7933866525156106,0.009717868744810301,0.00012212909805408,0.023839794557743297,1.3879876468633706e-05,1.65945857452328e-05,0.9377045780592498,3.308797414279755,0.435323793993452,1.458904098650602
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",0.908073597006317,-0.010832884403447948,0.0335902924767808,-0.004414657013575522,-0.03249865321034384,-10.387824492104103,1.0,4.622290742835868,-0.004414657013575518,-1.0866630752275837,0.044787056635707735,-0.09192640299368302,-0.04333153761379179,-0.008521056242258098,-4.790244601273163e-05,-0.008521056242258098,-9.431275542668718e-05,-2.4728541461445732e-05,-0.00013702218392608892,-3.3342298100519645e-05,-4.4456397467359524e-05,-8.742257579776714e-06,-0.024102846508369774,-0.00010162343177842695,-0.00018269624523478527,-0.00038758395362227196,-1.1656343439702285e-05,-3.592683450954872e-05,0.09986155841044236,2.6128635091015564,0.046608782623235326,1.2317113118470595
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",1.0038870283442853,0.024441262309658283,0.024441262309658374,0.0005600098464609225,0.024441262309658283,1.4327025988124602,0.20133847758417786,-0.5863422750711986,0.000560009846460925,-1.0053259075664185,0.0977650492386335,0.0038870283442852802,0.09776504923863313,0.008407225691513304,0.00043407192157772365,0.008407225691513304,1.2256209934692537e-05,4.2158511184101084e-06,0.0003154805784281524,7.706587536889717e-05,0.0003082635014755887,2.6508868450887024e-05,0.0013370473319130514,1.7258211147754944e-05,0.0012619223137126097,5.0172611172261854e-05,0.0001060354738035481,0.00010851798039443091,0.12642344879911072,0.18897402223364734,0.051894734863068726,0.08907884958742751
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",0.9767630412890473,0.5057308952774782,0.008596342916217248,-2.3236131504671094e-05,0.008596342916217246,-5.11018985579193,1.0,2.402861518507889,-0.0005579637590873712,-0.9312292566702625,0.02292358110991266,-0.02323695871095266,0.022923581109912657,0.002921451243957963,6.392434833496392e-05,0.002921451243957963,-0.0017153114909483217,-0.0005829454382924387,7.053629854163558e-05,1.9509427789751274e-05,5.202514077267007e-05,6.630242958055179e-06,-0.2568603724830337,-0.002107638107688666,0.0001880967961110282,-0.0062017053868175685,1.7680647888147144e-05,2.397163062561147e-05,0.8961474408521457,17.952103882948485,0.42134611618193873,7.642360978321902
"mp-300006944, Li3Ti8O16, Li7Ti16O32, mp-531914, mp-530141",0.9952148904673257,0.0004500498738624611,0.0004500498738624348,-0.0006893977139712042,0.0004500498738624611,-6.554017527778419,0.12737685092229875,2.9230393664982848,-0.0006893977139712299,-1.0976594701628548,0.0072007979817989565,-0.004785109532674307,0.007200797981799378,0.00019118165942466937,0.00015138921573391864,0.00019118165942466937,-6.518825325862346e-05,-2.769203849791096e-05,2.2273546548025796e-05,6.131095841386358e-06,9.809753346218173e-05,2.604495957277288e-06,-0.0020327195586884133,-0.00010060190289791193,0.00035637674476841273,-0.00023682121938777668,4.167193531643661e-05,9.461825983369915e-06,1.1685529628783462,14.087199430725574,0.48246837601562087,5.772710085383524
"mp-300006944, Li7Ti16O32, LiTi2O4, mp-530141, mp-5670",0.9954288160629523,0.14996811498324042,0.0006377003351920596,4.602969281121522e-06,0.0006377003351920324,-6.326880179283715,-2.561365279803691,2.798489442071211,0.0001317154282393795,-1.1056449267925903,0.010203205363072954,-0.0045711839370476655,0.010203205363072518,0.0002812808823285857,0.0002239007666861662,0.0002812808823285857,0.040646250638364356,0.01792850436477364,3.172575949338941e-05,8.693025778532327e-06,0.00013908841245651723,3.834374589679947e-06,1.3151937580976827,0.06543123557250308,0.0005076121518942305,0.14834111906642583,6.134999343487916e-05,1.3993797917885388e-05,3.0411506902520204,5.468569831244493,1.2826833150191694,2.295272558829731
"mp-300006944, LiTi2O4, LiTiO2, mp-5670, mp-6944",0.9343315492267744,-0.013379332131263575,0.02749437706758595,-0.004730474771158737,-0.02675866426252715,-11.896354069878521,0.4128603559613795,5.052195366657944,-0.0047304747711587386,-1.3851957581439711,0.0549887541351719,-0.06566845077322561,-0.0535173285250543,-0.029874602645748205,-0.00038704107826491584,-0.029874602645748205,-0.00010890345347492112,-0.00012158482080397133,-0.00017333623465902998,-4.437611842905396e-05,-8.875223685810792e-05,-4.954353819839912e-05,-0.07331527665076033,-0.0004749188477028899,-0.00034667246931805996,-0.00042538453643454707,-9.908707639679824e-05,-0.00019352053913245792,3.0459574862362615e-09,7.680249325403565e-09,1.2579700708833948e-09,3.1502270067313945e-09
"mp-300007543, VS2, LiVS2, mp-9561, mp-7543",1.0366248820778348,0.09915307808207757,0.09915307808207752,0.005276600212913794,0.09915307808207757,4.4686934245218,1.0,-2.2428349167656494,0.005276600212913795,-0.7025407657537671,0.09915307808207752,0.03662488207783465,0.09915307808207757,0.05548605807471112,0.000252597694876043,0.05548605807471112,5.224094968586749e-05,2.9234033115428316e-05,0.0004513897694745816,0.00014142983320128004,0.00014142983320128004,7.91441283548149e-05,0.02049528237810204,9.330381836769388e-05,0.0004513897694745816,0.0001667330696931312,7.91441283548149e-05,0.000252597694876043,0.12355742129856956,0.7762381667787457,0.05824552658091103,0.3659221794322779
"mp-300007554, MgSnAu, LiMgSnAu, mp-5549, mp-7554",1.0678370598951075,0.08963782119676471,0.08963782119676478,0.009773384223470353,0.08963782119676471,23.53420709221755,1.0,-4.802754984393975,0.009773384223470316,-0.731086536409706,0.08963782119676478,0.06783705989510747,0.08963782119676471,0.2959547385481889,0.003830884309476262,0.2959547385481889,0.00011523583321763678,0.000380470993560242,0.0011602859425155368,0.00015226911410067917,0.00015226911410067917,0.0005027427624965226,0.22397576220715845,0.002899177209837718,0.0011602859425155368,0.0008780934869568046,0.0005027427624965226,0.003830884309476262,1.7772670002358382e-09,1.2478782451808001e-08,7.77603696508564e-10,5.528222509687464e-09
"mp-300007936, NbS2, Li9(NbS2)14, mp-10033, mp-767218",0.9504033591446623,0.6490953915976722,0.023113818424841392,-2.5474600244779e-05,-0.0225916393744216,-12.459658857638287,1.0,5.198050042260815,-0.0007939400479491845,-1.105427650413967,0.035954828660864385,-0.049596640855337604,-0.035142550137989156,-0.009483101452848556,-0.0001382709659275766,-0.009483101452848556,-0.001934268059453345,-0.0008119313495048295,-0.0002117594598853055,-5.056337196146965e-05,-7.865413416228612e-05,-2.1224559146054048e-05,-0.362769719131434,-0.0034003694248498167,-0.00032940360426603074,-0.008100716855975543,-3.301598089386185e-05,-8.888847809629925e-05,0.28801599782299725,8.839956475941264,0.11835094223028574,3.7205476789461214
"mp-300007936, Li9(NbS2)14, Li5(NbS2)7, mp-767218, mp-767171",0.9947137462904685,-0.002232572012573963,0.00223756754324711,-0.0007615982869228729,-0.002232572012573868,-12.329449626844056,0.08029964390149083,4.659915487525854,-0.0007615982869228513,-1.352545709635824,0.03132594560545955,-0.005286253709531511,-0.03125600817603417,-0.0010679909534176313,-0.0012652151844849931,-0.0010679909534176313,-0.00010624490590135685,-5.0824160524408775e-05,-0.00018891840139693598,-4.487098357882997e-05,-0.0006281937701036199,-2.1464841565353957e-05,-0.0025287744840719485,-0.00021398281011033123,-0.002644857619557105,-0.00044731842671088607,-0.0003005077819149555,-9.037251317749947e-05,3.4264848156968317,12.669209331598275,1.4583600013127689,5.1721854958864295
"mp-300007936, Li5(NbS2)7, LiNbS2, mp-767171, mp-7936",0.9924138922935772,0.10706137355738221,0.004563080786596174,3.910436233135483e-06,0.004563080786596138,-4.4912815552942,-4.360156557216005,1.736977353086655,0.00013661770109535252,-1.1646513663871683,0.01597078275308661,-0.0075861077064227345,0.015970782753086485,0.0026147983295969927,0.0001959744326097209,0.0026147983295969927,0.03001703348385692,0.017200766912477808,9.771277118976278e-05,2.3032203701125245e-05,8.061271295393837e-05,1.3198225186270458e-05,3.407771571992978,0.0729732431779975,0.00034199469916416973,0.12734550122358737,4.61937881519466e-05,5.599269503134882e-05,1.8162727479844607,8.377677086629653,0.7436093531119333,3.5660347929747394
"mp-300007955, Sb, Li3Sb, mp-80, mp-7955",2.47706439282629,0.3167806509011593,1.9006839054069555,0.03546713712784638,1.9006839054069558,70.2014241074503,1.0,-15.802855688937292,0.03546713712784637,-0.36643869819768143,0.6335613018023185,1.4770643928262899,0.6335613018023186,2.0379706101394266,0.0012046595852511735,2.0379706101394266,0.0008795590395827575,0.0009430897307294894,0.0033705251790031613,0.0011318150505214666,0.00037727168350715554,0.001213566233982684,1.5837529919099822,0.0028085045184887,0.0011235083930010536,0.0026193112452141706,0.000404522077994228,0.003613978755753521,0.011444722956618164,1.5566471329672038,0.005395094122200535,0.7338104950577612
"mp-300009158, CuO2, LiCuO2, mp-704672, mp-9158",0.5987921002072769,-0.6788538600561048,0.5569235865246616,0.0045281116587857755,-0.3577077201122098,-41.118112576577055,1.0,26.180308663926414,-0.057802607663553246,-2.0731231603366296,0.5569235865246616,-0.4012078997927231,-0.3577077201122098,-0.0780853757952537,-0.00029858953703405827,-0.0780853757952537,0.00017347052325539342,3.786753887656543e-05,-0.0013678333676957904,-0.0003140521623194938,-0.0003140521623194938,-6.855563840315514e-05,0.0431314049798405,0.00016492955452155044,-0.0013678333676957904,0.0007555393609389819,-6.855563840315514e-05,-0.00029858953703405827,0.29779109949428906,6.585502856592452,0.1216081869580618,2.938880188412865
"mp-300009615, TiS2, LiTiS2, mp-2156, mp-9615",0.9267702694788663,-0.015793259540189484,0.016046689065359443,-0.010550314150862071,-0.015793259540189484,-8.709797688722595,1.0,5.04764198747683,-0.010550314150862074,-1.0473797786205683,0.016046689065359443,-0.07322973052113366,-0.015793259540189484,-0.008396982174408171,-3.7263620452852425e-05,-0.008396982174408171,-0.00010511211222141583,-5.5886153861499225e-05,-7.008637353222568e-05,-2.266924727588966e-05,-2.266924727588966e-05,-1.2052816886754757e-05,-0.03893488486388135,-0.0001727828810170651,-7.008637353222568e-05,-0.00032497447622562296,-1.2052816886754757e-05,-3.7263620452852425e-05,0.02765867682633122,0.2152462262471233,0.0130384249706523,0.10146804266364201
"mp-300010179, MgSbPd, LiMgSbPd, mp-10183, mp-10179",1.0719602698082606,0.10142925304583547,0.10142925304583539,0.010367421093251837,0.10142925304583547,18.668364955277845,1.0,-4.740315731220964,0.010367421093251799,-0.6957122408624936,0.10142925304583539,0.07196026980826073,0.10142925304583547,0.23166093306584012,0.0022423710911574743,0.23166093306584012,0.00011417685708552049,0.00026077602321495914,0.0009817884345783784,0.0001609342677586239,0.0001609342677586239,0.00036756834455226533,0.1643547866799138,0.0015908786063623796,0.0009817884345783784,0.0006965422550727422,0.00036756834455226533,0.0022423710911574743,8.460985245761776e-10,2.8124533812956543e-09,3.458100491036592e-10,1.2300716096045574e-09
"mp-300010189, TiTe2, LiTiTe2, mp-1907, mp-10189",1.1017697077744664,0.12700301770811973,0.12700301770811984,0.014662110326245035,0.12700301770811973,31.549423567746782,1.0,-8.778742323198758,0.014662110326244981,-0.6189909468756409,0.12700301770811984,0.10176970777446641,0.12700301770811973,0.10451302843113061,0.0012088836913911505,0.10451302843113061,0.0002173277856589354,0.00017884287673894243,0.0014690214145500343,0.00027121316562759423,0.00027121316562759423,0.00022318610850080204,0.08374809161231962,0.0009686993445221897,0.0014690214145500343,0.0011771521871769832,0.00022318610850080204,0.0012088836913911505,0.03314159973087005,0.13235209194838227,0.015623099866491914,0.06239137402137969
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",0.965141815928803,-0.0006843487705355097,0.001370573441570322,-0.0025110347263504495,-0.0013686975410710195,-7.2147865914096165,1.0,3.916016421967998,-0.0025110347263504504,-1.0123182778696393,0.001370573441570322,-0.03485818407119695,-0.0013686975410710195,-0.000864401440364944,-6.675370844960379e-06,-0.000864401440364944,-8.49234760997687e-05,-5.363345286935746e-05,-1.0569815405880227e-05,-3.334498225138487e-06,-3.334498225138487e-06,-2.1059035924391255e-06,-0.02201469909566055,-0.00017000929619194547,-1.0569815405880227e-05,-0.00026919356538657527,-2.1059035924391255e-06,-6.675370844960379e-06,0.20583092511810655,2.5097803626420783,0.09098017360881071,1.0247765438594385
"mp-300011977, SnAu, LiSnAu, mp-1775, mp-11977",1.2264276806677843,0.12669699899606568,0.25339399799213136,0.016310883206150643,0.25339399799213136,73.04954789134887,1.0,-11.082970470316889,0.01631088320615072,-0.4932120040157374,0.25339399799213136,0.22642768066778426,0.25339399799213136,0.2729404480376521,0.0032854669259766434,0.2729404480376521,0.0003054149176607948,0.00032897418693519546,0.0030501803804809974,0.00034178818951934514,0.00034178818951934514,0.00036815324088412257,0.24389398762124812,0.0029358258753339026,0.0030501803804809974,0.002725578642916943,0.00036815324088412257,0.0032854669259766434,0.004923907845249209,0.13617020013076164,0.0023211520497341117,0.0641912455508172
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",1.1144263459699526,0.07386583174854756,0.1477316634970951,0.008242785331360936,0.14773166349709513,27.370003856860052,1.0,-12.811027351740876,0.00824278533136094,-0.11361001901743006,0.2954633269941902,0.11442634596995255,0.29546332699419026,0.059560938620513246,0.0010631181751562955,0.059560938620513246,0.0003207948996495165,0.00012933480118955176,0.0013184498107938173,0.00041416654324565624,0.0008283330864913125,0.0001669794238891091,0.04613324190328343,0.0004117219194508389,0.0026368996215876345,0.0010212123157800784,0.0003339588477782182,0.0005315590875781478,0.020832688273128768,0.12015736281311984,0.008798178321677763,0.049728181650284704
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",1.0378242244869886,0.03403694683316992,0.06807389366633987,0.0027246956120867785,0.06807389366633984,9.269850868777928,1.0,-4.351608154495761,0.0027246956120867798,-0.5915566380019612,0.13614778733267974,0.037824224486988675,0.13614778733267968,0.03571018036614231,0.0006530793314533526,0.03571018036614231,0.00010147655411224291,5.323253680837431e-05,0.000622478695279725,0.00018263174587068362,0.00036526349174136725,9.580490015147153e-05,0.01984181902772077,0.00018143680279095358,0.00124495739055945,0.0003458708271342822,0.00019160980030294306,0.0003265396657266763,0.014644226338280091,0.11902334454180252,0.006818183240141661,0.0554357824510972
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",0.8666215652019974,-0.023892113199969776,0.10566687229755933,-0.0048040064399222935,-0.0955684527998791,-22.14506161069501,1.0,8.005568775034774,-0.004804006439922295,-1.3822738111995163,0.21133374459511867,-0.1333784347980026,-0.1911369055997582,-0.03197520241917823,-0.00039616468549876665,-0.03197520241917823,-0.00015588840392101447,-5.215699453264937e-05,-0.000592034501466666,-0.00011169731894617393,-0.00022339463789234785,-3.737158317779045e-05,-0.04462563038401196,-0.00027645014712498984,-0.001184069002933332,-0.0008262625671819978,-7.47431663555809e-05,-0.00019808234274938332,2.270274221360466,6.62528788,0.9290837548949096,2.723737137351477
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",0.9788018827201971,-0.007268798317754751,0.014752056076291042,-0.0015270218469819097,-0.014537596635509503,-21.769638447896693,1.0,6.305953021991869,-0.0015270218469819166,-1.2762143360746807,0.014752056076291042,-0.021198117279802964,-0.014537596635509503,-0.00314563605241231,-0.00012053233903675018,-0.00314563605241231,-0.00013868760641231093,-3.000913738985744e-05,-0.0005570417229631484,-9.51114881455745e-05,-9.51114881455745e-05,-2.0580164219064504e-05,-0.004586835336711457,-0.0001757552312786711,-0.0005570417229631484,-0.0008122550149915126,-2.0580164219064504e-05,-0.00012053233903675018,0.002717813973811062,0.02342118998579945,0.0012793940257627959,0.011029589070001539
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",0.9710437165273731,-0.008474085322163134,0.017240363262875702,-0.002085887009986118,-0.016948170644326268,-16.453811583880725,1.0,5.1154205930005,-0.0020858870099860934,-1.1864298770875892,0.017240363262875702,-0.028956283472626947,-0.016948170644326268,-0.005896255884535811,-0.00012500897897280781,-0.005896255884535811,-0.00011161235083487938,-3.8829853333896136e-05,-0.000359325230992911,-6.532693222706376e-05,-6.532693222706376e-05,-2.2727190836460266e-05,-0.010073869351611711,-0.00021358030360474817,-0.000359325230992911,-0.0006139142368725838,-2.2727190836460266e-05,-0.00012500897897280781,0.28293484292946297,3.38971859643265,0.12051885578466145,1.4430094798967963
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",0.9837148997119103,0.0007307784669541336,0.001461556933908259,-0.0011731090828475533,0.0014615569339082673,-6.378671013804018,1.0,2.5915311058275745,-0.001173109082847549,-0.989769101462642,0.001461556933908259,-0.016285100288089674,0.0014615569339082673,0.0004539162164171841,6.633712562910235e-06,0.0004539162164171841,-5.728195096106692e-05,-1.779007430091267e-05,2.135977575422174e-05,5.140946701824799e-06,5.140946701824799e-06,1.5966255036365058e-06,-0.005057668938682627,-7.391479036021868e-05,2.135977575422174e-05,-0.0002379969484722375,1.5966255036365058e-06,6.633712562910235e-06,0.14344287907814673,0.8213347555876451,0.06099449166638206,0.338385503476918
"mp-300018767, MnO2, LiMnO2, mp-33009, mp-18767",1.2244507660898227,0.16110519210302401,0.322210384206048,0.016168474721929307,0.32221038420604803,21.07095422911164,1.0,-7.107267126064983,0.016168474721929314,-0.033368847381856206,0.322210384206048,0.22445076608982273,0.32221038420604803,0.09823606000302613,0.0003440925204801596,0.09823606000302613,0.0001955402164950216,5.9616639879383197e-05,0.0011286098325087993,0.00028070783353611176,0.00028070783353611176,8.558269047262861e-05,0.0684309383127297,0.00023969379515143563,0.0011286098325087993,0.0007861861502300758,8.558269047262861e-05,0.0003440925204801596,0.4117168833879258,2.2263846158942417,0.17696572446362455,0.9293450163488871
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",1.0070399550452398,1.0503456905153126,0.03356379367687512,1.9273966523424703e-05,0.03356379367687516,1.9041135369781275,1.0,-0.7605151179876718,0.0005071282988935197,-0.6979258569081228,0.10069138103062536,0.007039955045239839,0.10069138103062548,0.008265222849689152,0.00025023033780445996,0.008265222849689152,-0.0016238807389780637,-0.0003998873404533804,0.00033871558708504904,8.204419082593578e-05,0.0002461325724778074,2.0203720926993697e-05,-0.1635915480895781,-0.0016509160968740742,0.0010161467612551474,-0.00670411533494193,6.0611162780981104e-05,8.341011260148665e-05,0.572102952241771,3.4377964208125107,0.26719584390721296,1.6205475564083585
"mp-300018782, Li(FeO2)3, LiFeO2, mp-762931, mp-18782",0.9786450506636257,-inf,0.02887402261533878,6.077534594466068e-05,0.02887402261533874,-3.116155260608482,-0.166323547512327,1.2390984952045423,-inf,-0.9506998743592293,0.04331103392300816,-0.021354949336374326,0.043311033923008106,0.007461879113032015,5.9375955321037554e-05,0.007461879113032015,0.0024344440932180978,0.0006291304738875635,0.0001531716654546867,3.630916755195549e-05,5.4463751327933235e-05,9.38333472190286e-06,0.5003014047357291,0.002654011892059048,0.00022975749818203003,0.010269799099110938,1.4075002082854292e-05,3.958397021402504e-05,0.4742980053438788,4.595412119987159,0.19882359747126177,1.951533824564051
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",1.008152401604239,0.5484484935913659,0.058138192309639125,2.9883326622522054e-05,0.05813819230963912,1.1978527487148483,1.0,-0.4985697422758175,0.0003915094656984589,-0.7093090384518037,0.09689698718273188,0.00815240160423901,0.09689698718273186,0.014051908306943833,0.00012839352132073737,0.014051908306943833,-0.0008266908253917467,-0.0001998098533013822,0.0003187282639825419,8.054158856260325e-05,0.0001342359809376721,1.9466773430959505e-05,-0.1442308735637517,-0.000790710101525436,0.0005312137733042365,-0.0032714742325028905,3.244462238493251e-05,7.70361127924424e-05,0.6097593055871291,7.201323227287414,0.2489381277496299,3.0889512623419764
"mp-300018793, Li3Cr5O10, Li3Cr4O8, mp-762282, mp-771288",0.9826172501884517,-inf,0.005811774281870408,0.00020695006258175596,-0.00577819272996659,-10.849542877075033,-0.04772059821028158,4.2395563006646855,-inf,-1.3664119506230408,0.03874516187913605,-0.01738274981154834,-0.03852128486644393,-0.0014490309965545529,-0.00021434056034738794,-0.0014490309965545529,0.001257632509009691,0.0003153838186079771,-0.00012820647768899699,-3.1834201919174334e-05,-0.00021222801279449554,-7.983247961292349e-06,0.05724498740243526,0.0012701511602676613,-0.0008547098512599798,0.005064886960781398,-5.3221653075282314e-05,-3.21510840521082e-05,0.21614976448712517,1.4854654853464657,0.09120584174213865,0.6081578243712458
